cell_id,kind,origin,introduction_years,selection_onset_years,s,target_observed_replicates,matched_null_id,candidate_legacy_selected_reuse,tmrca_cutoffs_years,pair_sets,alpha,status
I50_s0.001,selected,introgressed,50000,50000,0.001,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.002,selected,introgressed,50000,50000,0.002,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.003,selected,introgressed,50000,50000,0.003,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.004,selected,introgressed,50000,50000,0.004,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.005,selected,introgressed,50000,50000,0.005,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.006,selected,introgressed,50000,50000,0.006,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.007,selected,introgressed,50000,50000,0.007,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.008,selected,introgressed,50000,50000,0.008,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.009,selected,introgressed,50000,50000,0.009,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.010,selected,introgressed,50000,50000,0.010,100,N_I50,100,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.015,selected,introgressed,50000,50000,0.015,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.020,selected,introgressed,50000,50000,0.020,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.030,selected,introgressed,50000,50000,0.030,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.040,selected,introgressed,50000,50000,0.040,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I50_s0.050,selected,introgressed,50000,50000,0.050,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I10_s0.001,selected,introgressed,50000,10000,0.001,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
I10_s0.002,selected,introgressed,50000,10000,0.002,100,N_I50,0,10000;20000;30000;40000;50000,all;focal_ALT_ALT_raw,0.05,DRAFT_NOT_AUTHORIZED_TO_RUN
