scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,decoded,aa_g0_r1_T10000,0.01,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T10000,0.05,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T10000,0.1,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T20000,0.01,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T20000,0.05,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T20000,0.1,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T30000,0.01,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T30000,0.05,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T30000,0.1,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T40000,0.01,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T40000,0.05,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T40000,0.1,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T5000,0.01,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T5000,0.05,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T5000,0.1,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T50000,0.01,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T50000,0.05,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
archaic_sites,decoded,aa_g0_r1_T50000,0.1,50000,0,100,0,1000,0.0,0.0,3.469446951953614e-18,0.03699349820698568,2.168404344971009e-19,0.0038267584855551234,,0.0,,0.0,,0.0
