key,onset_years,fold
neutral/rep0000,0,1
onset50000/rep0000,50000,3
neutral/rep0001,0,3
onset50000/rep0001,50000,1
neutral/rep0002,0,4
onset50000/rep0002,50000,4
neutral/rep0003,0,3
onset50000/rep0003,50000,2
neutral/rep0004,0,4
onset50000/rep0004,50000,4
neutral/rep0005,0,3
onset50000/rep0005,50000,3
neutral/rep0006,0,4
onset50000/rep0006,50000,4
neutral/rep0007,0,3
onset50000/rep0007,50000,3
neutral/rep0008,0,4
onset50000/rep0008,50000,4
neutral/rep0009,0,0
onset50000/rep0009,50000,0
neutral/rep0010,0,4
onset50000/rep0010,50000,2
neutral/rep0011,0,3
onset50000/rep0011,50000,3
neutral/rep0012,0,3
onset50000/rep0012,50000,2
neutral/rep0013,0,2
onset50000/rep0013,50000,4
neutral/rep0014,0,2
onset50000/rep0014,50000,2
neutral/rep0015,0,4
onset50000/rep0015,50000,0
neutral/rep0016,0,1
onset50000/rep0016,50000,4
neutral/rep0017,0,0
onset50000/rep0017,50000,2
neutral/rep0018,0,3
onset50000/rep0018,50000,1
neutral/rep0019,0,1
onset50000/rep0019,50000,0
neutral/rep0020,0,4
onset50000/rep0020,50000,3
neutral/rep0021,0,1
onset50000/rep0021,50000,2
neutral/rep0022,0,1
onset50000/rep0022,50000,1
neutral/rep0023,0,3
onset50000/rep0023,50000,2
neutral/rep0024,0,2
onset50000/rep0024,50000,1
neutral/rep0025,0,4
onset50000/rep0025,50000,0
neutral/rep0026,0,3
onset50000/rep0026,50000,2
neutral/rep0027,0,0
onset50000/rep0027,50000,0
neutral/rep0028,0,4
onset50000/rep0028,50000,2
neutral/rep0029,0,2
onset50000/rep0029,50000,0
neutral/rep0030,0,4
onset50000/rep0030,50000,0
neutral/rep0031,0,4
onset50000/rep0031,50000,4
neutral/rep0032,0,4
onset50000/rep0032,50000,4
neutral/rep0033,0,3
onset50000/rep0033,50000,4
neutral/rep0034,0,2
onset50000/rep0034,50000,2
neutral/rep0035,0,1
onset50000/rep0035,50000,4
neutral/rep0036,0,0
onset50000/rep0036,50000,4
neutral/rep0037,0,0
onset50000/rep0037,50000,1
neutral/rep0038,0,4
onset50000/rep0038,50000,1
neutral/rep0039,0,3
onset50000/rep0039,50000,3
neutral/rep0040,0,2
onset50000/rep0040,50000,0
neutral/rep0041,0,0
onset50000/rep0041,50000,0
neutral/rep0042,0,4
onset50000/rep0042,50000,2
neutral/rep0043,0,2
onset50000/rep0043,50000,0
neutral/rep0044,0,4
onset50000/rep0044,50000,4
neutral/rep0045,0,4
