scheme,source,years,family,onset_years,regions,saturated_regions,marker_free_regions,median_minimum_pairs_at_max
archaic_sites,decoded,5000,aa,0,1000,386,16,3.0
archaic_sites,decoded,5000,aa,50000,100,54,0,2.0
archaic_sites,decoded,5000,rr,0,1000,0,16,5138.5
archaic_sites,decoded,5000,rr,50000,100,0,0,464.5
archaic_sites,decoded,10000,aa,0,1000,700,16,1.0
archaic_sites,decoded,10000,aa,50000,100,78,0,1.0
archaic_sites,decoded,10000,rr,0,1000,0,16,6587.5
archaic_sites,decoded,10000,rr,50000,100,0,0,920.0
archaic_sites,decoded,20000,aa,0,1000,910,16,1.0
archaic_sites,decoded,20000,aa,50000,100,94,0,1.0
archaic_sites,decoded,20000,rr,0,1000,0,16,7891.5
archaic_sites,decoded,20000,rr,50000,100,1,0,3887.5
archaic_sites,decoded,30000,aa,0,1000,953,16,1.0
archaic_sites,decoded,30000,aa,50000,100,96,0,1.0
archaic_sites,decoded,30000,rr,0,1000,0,16,8126.0
archaic_sites,decoded,30000,rr,50000,100,1,0,5524.0
archaic_sites,decoded,40000,aa,0,1000,964,16,1.0
archaic_sites,decoded,40000,aa,50000,100,98,0,1.0
archaic_sites,decoded,40000,rr,0,1000,0,16,8222.0
archaic_sites,decoded,40000,rr,50000,100,2,0,5673.0
archaic_sites,decoded,50000,aa,0,1000,970,16,1.0
archaic_sites,decoded,50000,aa,50000,100,99,0,1.0
archaic_sites,decoded,50000,rr,0,1000,0,16,8342.5
archaic_sites,decoded,50000,rr,50000,100,2,0,5596.5
archaic_sites,truth,5000,aa,0,1000,333,16,3.0
archaic_sites,truth,5000,aa,50000,100,43,0,2.5
archaic_sites,truth,5000,rr,0,1000,0,16,4841.5
archaic_sites,truth,5000,rr,50000,100,0,0,387.5
archaic_sites,truth,10000,aa,0,1000,651,16,1.0
archaic_sites,truth,10000,aa,50000,100,77,0,1.0
archaic_sites,truth,10000,rr,0,1000,0,16,4670.5
archaic_sites,truth,10000,rr,50000,100,1,0,331.5
archaic_sites,truth,20000,aa,0,1000,952,16,1.0
archaic_sites,truth,20000,aa,50000,100,97,0,1.0
archaic_sites,truth,20000,rr,0,1000,0,16,5772.0
archaic_sites,truth,20000,rr,50000,100,1,0,647.5
archaic_sites,truth,30000,aa,0,1000,977,16,1.0
archaic_sites,truth,30000,aa,50000,100,99,0,1.0
archaic_sites,truth,30000,rr,0,1000,0,16,6909.0
archaic_sites,truth,30000,rr,50000,100,4,0,2128.5
archaic_sites,truth,40000,aa,0,1000,984,16,1.0
archaic_sites,truth,40000,aa,50000,100,100,0,1.0
archaic_sites,truth,40000,rr,0,1000,0,16,7754.5
archaic_sites,truth,40000,rr,50000,100,6,0,3931.5
archaic_sites,truth,50000,aa,0,1000,984,16,1.0
archaic_sites,truth,50000,aa,50000,100,100,0,1.0
archaic_sites,truth,50000,rr,0,1000,1,16,7857.5
archaic_sites,truth,50000,rr,50000,100,6,0,5104.5
grid10kb,decoded,5000,aa,0,1000,365,16,3.0
grid10kb,decoded,5000,aa,50000,100,53,0,2.0
grid10kb,decoded,5000,rr,0,1000,0,16,5210.5
grid10kb,decoded,5000,rr,50000,100,0,0,540.0
grid10kb,decoded,10000,aa,0,1000,684,16,1.0
grid10kb,decoded,10000,aa,50000,100,78,0,1.0
grid10kb,decoded,10000,rr,0,1000,0,16,6686.5
grid10kb,decoded,10000,rr,50000,100,0,0,995.5
grid10kb,decoded,20000,aa,0,1000,896,16,1.0
grid10kb,decoded,20000,aa,50000,100,94,0,1.0
grid10kb,decoded,20000,rr,0,1000,0,16,8017.5
grid10kb,decoded,20000,rr,50000,100,1,0,3629.0
grid10kb,decoded,30000,aa,0,1000,949,16,1.0
grid10kb,decoded,30000,aa,50000,100,96,0,1.0
grid10kb,decoded,30000,rr,0,1000,0,16,8183.0
grid10kb,decoded,30000,rr,50000,100,1,0,5585.5
grid10kb,decoded,40000,aa,0,1000,962,16,1.0
grid10kb,decoded,40000,aa,50000,100,97,0,1.0
grid10kb,decoded,40000,rr,0,1000,0,16,8302.5
grid10kb,decoded,40000,rr,50000,100,2,0,5683.5
grid10kb,decoded,50000,aa,0,1000,968,16,1.0
grid10kb,decoded,50000,aa,50000,100,99,0,1.0
grid10kb,decoded,50000,rr,0,1000,0,16,8417.0
grid10kb,decoded,50000,rr,50000,100,2,0,6154.0
grid10kb,truth,5000,aa,0,1000,313,16,3.0
grid10kb,truth,5000,aa,50000,100,40,0,3.0
grid10kb,truth,5000,rr,0,1000,0,16,4914.0
grid10kb,truth,5000,rr,50000,100,0,0,474.0
grid10kb,truth,10000,aa,0,1000,629,16,1.0
grid10kb,truth,10000,aa,50000,100,74,0,1.0
grid10kb,truth,10000,rr,0,1000,0,16,4700.0
grid10kb,truth,10000,rr,50000,100,1,0,357.0
grid10kb,truth,20000,aa,0,1000,948,16,1.0
grid10kb,truth,20000,aa,50000,100,97,0,1.0
grid10kb,truth,20000,rr,0,1000,0,16,5851.0
grid10kb,truth,20000,rr,50000,100,1,0,654.0
grid10kb,truth,30000,aa,0,1000,977,16,1.0
grid10kb,truth,30000,aa,50000,100,99,0,1.0
grid10kb,truth,30000,rr,0,1000,0,16,7018.5
grid10kb,truth,30000,rr,50000,100,4,0,2276.5
grid10kb,truth,40000,aa,0,1000,984,16,1.0
grid10kb,truth,40000,aa,50000,100,100,0,1.0
grid10kb,truth,40000,rr,0,1000,0,16,7816.5
grid10kb,truth,40000,rr,50000,100,6,0,4206.5
grid10kb,truth,50000,aa,0,1000,984,16,1.0
grid10kb,truth,50000,aa,50000,100,100,0,1.0
grid10kb,truth,50000,rr,0,1000,1,16,7914.0
grid10kb,truth,50000,rr,50000,100,6,0,5173.5
