scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,decoded,aa_g0_r1_T50000,0.7,50000,99,100,970,1000,0.99,0.97,0.9455138038212946,0.9982325679358593,0.9574965858524128,0.9789062611711653,0.49489795918367346,0.668918918918919,0.8981481481481481,0.18470149253731344,0.9897959183673469,0.020199959192001633
archaic_sites,decoded,aa_g50_r1_T50000,0.7,50000,99,100,946,1000,0.99,0.946,0.9455138038212946,0.9982325679358593,0.9302078451539475,0.9583786862769372,0.48863636363636365,0.6743869209809265,0.8958333333333334,0.1884996191926885,0.9895397489539749,0.020701769060265152
archaic_sites,decoded,af_r1,0.7,50000,71,100,14,1000,0.71,0.014,0.6146110882442888,0.7898516425087772,0.00835757513042392,0.02336203411753566,0.019337016574585638,0.8236658932714617,0.1507177033492823,0.7734204793028321,0.6612595419847329,0.45865633074935397
archaic_sites,decoded,all_r1_T50000,0.7,50000,70,100,280,1000,0.7,0.28,0.6041514536665332,0.7810511470506724,0.25305370081259326,0.30863007292105105,0.28571428571428575,0.7070707070707071,0.782608695652174,0.3317535545023696,0.9753694581280788,0.04758667573079537
archaic_sites,decoded,contrast_g0_r1_T50000,0.7,50000,72,100,617,1000,0.72,0.617,0.6251197129007884,0.7986031478881379,0.5864772698839885,0.6466272686303917,0.46148092744951386,0.6161745827984596,0.8852223816355811,0.19799257527842704,0.9883500800931994,0.022928840978934127
archaic_sites,decoded,contrast_g50_r1_T50000,0.7,50000,69,100,609,1000,0.69,0.609,0.5937394428051057,0.7722030278762395,0.5783935161547875,0.6387722504953615,0.46882217090069284,0.6002609830361026,0.88818667963053,0.19244177938920648,0.9886850002459783,0.022264887626853393
archaic_sites,decoded,joint_g0_r1_T50000,0.7,50000,72,100,24,1000,0.72,0.024,0.6251197129007884,0.7986031478881379,0.016180168466636995,0.03546290561161149,0.03225806451612903,0.8256880733944953,0.2307692307692308,0.7438016528925618,0.7674418604651162,0.3515625
archaic_sites,decoded,joint_g50_r1_T50000,0.7,50000,72,100,24,1000,0.72,0.024,0.6251197129007884,0.7986031478881379,0.016180168466636995,0.03546290561161149,0.03225806451612903,0.8256880733944953,0.2307692307692308,0.7438016528925618,0.7674418604651162,0.3515625
archaic_sites,decoded,mass_g0_r1_T50000,0.7,50000,69,100,14,1000,0.69,0.014,0.5937394428051057,0.7722030278762395,0.00835757513042392,0.02336203411753566,0.01988636363636364,0.8098591549295774,0.15441176470588236,0.7599118942731277,0.6676300578034682,0.4486345903771131
archaic_sites,decoded,mass_g50_r1_T50000,0.7,50000,69,100,14,1000,0.69,0.014,0.5937394428051057,0.7722030278762395,0.00835757513042392,0.02336203411753566,0.01988636363636364,0.8098591549295774,0.15441176470588236,0.7599118942731277,0.6676300578034682,0.4486345903771131
archaic_sites,decoded,rr_g0_r1_T50000,0.7,50000,72,100,401,1000,0.72,0.401,0.6251197129007884,0.7986031478881379,0.37105844196706284,0.43169925621307714,0.3577163247100803,0.6789250353606789,0.8336798336798337,0.270219553387127,0.9821865954130483,0.03476665298534489
archaic_sites,decoded,rr_g50_r1_T50000,0.7,50000,72,100,401,1000,0.72,0.401,0.6251197129007884,0.7986031478881379,0.37105844196706284,0.43169925621307714,0.3577163247100803,0.6789250353606789,0.8336798336798337,0.270219553387127,0.9821865954130483,0.03476665298534489
archaic_sites,decoded,weighted_contrast_g0_r1_T50000,0.7,50000,72,100,24,1000,0.72,0.024,0.6251197129007884,0.7986031478881379,0.016180168466636995,0.03546290561161149,0.03225806451612903,0.8256880733944953,0.2307692307692308,0.7438016528925618,0.7674418604651162,0.3515625
archaic_sites,decoded,weighted_contrast_g50_r1_T50000,0.7,50000,72,100,24,1000,0.72,0.024,0.6251197129007884,0.7986031478881379,0.016180168466636995,0.03546290561161149,0.03225806451612903,0.8256880733944953,0.2307692307692308,0.7438016528925618,0.7674418604651162,0.3515625
archaic_sites,truth,aa_g0_r1_T50000,0.7,50000,100,100,984,1000,1.0,0.984,0.9630065017930143,1.0,0.97416793978826,0.9901277579977227,0.4959677419354839,0.6702412868632708,0.898538961038961,0.18422991893883567,0.9898390505608844,0.020117486118934578
archaic_sites,truth,aa_g50_r1_T50000,0.7,50000,100,100,979,1000,1.0,0.979,0.9630065017930143,1.0,0.9681097049387625,0.9862242604320758,0.4946942900454775,0.671366230278617,0.8980735908673938,0.1849967625566553,0.9897876859917689,0.020218153880369183
