key,onset_years,fold,marker_position,distance_to_anchor,af,nAA,nRR
neutral/rep0000,0,1,5288754.0,288754.0,0.2625,722,5390
onset50000/rep0000,50000,3,5000000.0,0.0,0.4675,2204,2814
neutral/rep0001,0,3,4908013.0,91987.0,0.0975,82,8146
onset50000/rep0001,50000,1,5000000.0,0.0,0.745,5587,648
neutral/rep0002,0,4,5506017.0,506017.0,0.09,78,8325
onset50000/rep0002,50000,4,5000000.0,0.0,0.955,9189,16
neutral/rep0003,0,3,5267770.0,267770.0,0.05,24,8984
onset50000/rep0003,50000,2,5000000.0,0.0,0.6825,4646,1022
neutral/rep0004,0,4,4688430.0,311570.0,0.1475,216,7215
onset50000/rep0004,50000,4,5000000.0,0.0,0.7225,5166,769
neutral/rep0005,0,3,5000000.0,0.0,0.3175,981,4641
onset50000/rep0005,50000,3,5000000.0,0.0,0.7925,6291,420
neutral/rep0006,0,4,,,0.0,0,0
onset50000/rep0006,50000,4,5000000.0,0.0,0.48,2308,2672
neutral/rep0007,0,3,5229136.0,229136.0,0.0275,9,9461
onset50000/rep0007,50000,3,5000000.0,0.0,0.55,3056,2034
neutral/rep0008,0,4,4276621.0,723379.0,0.0475,27,9078
onset50000/rep0008,50000,4,5000000.0,0.0,0.99,9818,1
neutral/rep0009,0,0,4999471.0,529.0,0.25,610,5579
onset50000/rep0009,50000,0,5000000.0,0.0,0.9225,8506,57
neutral/rep0010,0,4,5000764.0,764.0,0.0475,20,9066
onset50000/rep0010,50000,2,5000000.0,0.0,0.9875,9769,0
neutral/rep0011,0,3,4151678.0,848322.0,0.0275,3,9438
onset50000/rep0011,50000,3,5000000.0,0.0,0.6925,4716,967
neutral/rep0012,0,3,5608468.0,608468.0,0.065,49,8724
onset50000/rep0012,50000,2,5000000.0,0.0,0.7525,5763,576
neutral/rep0013,0,2,4030888.0,969112.0,0.405,1554,3573
onset50000/rep0013,50000,4,5000000.0,0.0,0.91,8272,84
neutral/rep0014,0,2,,,0.0,0,0
onset50000/rep0014,50000,2,5000000.0,0.0,0.8225,6809,348
neutral/rep0015,0,4,4997979.0,2021.0,0.0575,35,8840
onset50000/rep0015,50000,0,5000000.0,0.0,0.8325,6941,266
neutral/rep0016,0,1,5295873.0,295873.0,0.1425,166,7386
onset50000/rep0016,50000,4,5000000.0,0.0,0.755,5744,616
neutral/rep0017,0,0,5160489.0,160489.0,0.025,8,9494
onset50000/rep0017,50000,2,5000000.0,0.0,0.9025,8150,89
neutral/rep0018,0,3,5175764.0,175764.0,0.3375,1061,4376
onset50000/rep0018,50000,1,5000000.0,0.0,0.9325,8685,50
neutral/rep0019,0,1,4998179.0,1821.0,0.07,45,8675
onset50000/rep0019,50000,0,5000000.0,0.0,0.795,6294,419
neutral/rep0020,0,4,3786610.0,1213390.0,0.1125,135,7884
onset50000/rep0020,50000,3,5000000.0,0.0,0.2575,640,5532
neutral/rep0021,0,1,5029010.0,29010.0,0.04,19,9171
onset50000/rep0021,50000,2,5000000.0,0.0,0.9675,9350,9
neutral/rep0022,0,1,7298232.0,2298232.0,0.0575,41,8849
onset50000/rep0022,50000,1,5000000.0,0.0,0.935,8733,44
