operating_point,scheme,source,cohort,fold,n,both,mass_only,contrast_only,neither,mass_called,contrast_called,mass_rate,contrast_rate,mass_minus_contrast_pp,mcnemar_p_nominal
regional_p_0.05,grid10kb,decoded,selected,0,20,15,1,0,4,16,15,0.8,0.75,5.0,1.0
regional_p_0.05,grid10kb,decoded,selected,1,20,16,0,0,4,16,16,0.8,0.8,0.0,1.0
regional_p_0.05,grid10kb,decoded,selected,2,20,18,0,0,2,18,18,0.9,0.9,0.0,1.0
regional_p_0.05,grid10kb,decoded,selected,3,20,15,1,1,3,16,16,0.8,0.8,0.0,1.0
regional_p_0.05,grid10kb,decoded,selected,4,20,16,1,0,3,17,16,0.85,0.8,5.0,1.0
regional_p_0.05,grid10kb,decoded,neutral,0,200,11,0,0,189,11,11,0.055,0.055,0.0,1.0
regional_p_0.05,grid10kb,decoded,neutral,1,200,12,3,2,183,15,14,0.075,0.07,0.5,1.0
regional_p_0.05,grid10kb,decoded,neutral,2,200,8,1,0,191,9,8,0.045,0.04,0.5,1.0
regional_p_0.05,grid10kb,decoded,neutral,3,200,3,2,2,193,5,5,0.025,0.025,0.0,1.0
regional_p_0.05,grid10kb,decoded,neutral,4,200,8,0,2,190,8,10,0.04,0.05,-1.0,0.5
regional_p_0.05,grid10kb,truth,selected,0,20,16,2,0,2,18,16,0.9,0.8,10.0,0.5
regional_p_0.05,grid10kb,truth,selected,1,20,16,0,0,4,16,16,0.8,0.8,0.0,1.0
regional_p_0.05,grid10kb,truth,selected,2,20,16,0,1,3,16,17,0.8,0.85,-5.0,1.0
regional_p_0.05,grid10kb,truth,selected,3,20,13,2,2,3,15,15,0.75,0.75,0.0,1.0
regional_p_0.05,grid10kb,truth,selected,4,20,16,2,0,2,18,16,0.9,0.8,10.0,0.5
regional_p_0.05,grid10kb,truth,neutral,0,200,13,5,2,180,18,15,0.09,0.075,1.5,0.453125
regional_p_0.05,grid10kb,truth,neutral,1,200,10,3,1,186,13,11,0.065,0.055,1.0,0.625
regional_p_0.05,grid10kb,truth,neutral,2,200,5,0,1,194,5,6,0.025,0.03,-0.5,1.0
regional_p_0.05,grid10kb,truth,neutral,3,200,4,1,4,191,5,8,0.025,0.04,-1.5,0.375
regional_p_0.05,grid10kb,truth,neutral,4,200,9,0,4,187,9,13,0.045,0.065,-2.0,0.125
regional_p_0.05,archaic_sites,decoded,selected,0,20,15,1,0,4,16,15,0.8,0.75,5.0,1.0
regional_p_0.05,archaic_sites,decoded,selected,1,20,16,0,0,4,16,16,0.8,0.8,0.0,1.0
regional_p_0.05,archaic_sites,decoded,selected,2,20,18,0,0,2,18,18,0.9,0.9,0.0,1.0
regional_p_0.05,archaic_sites,decoded,selected,3,20,15,1,0,4,16,15,0.8,0.75,5.0,1.0
regional_p_0.05,archaic_sites,decoded,selected,4,20,16,2,0,2,18,16,0.9,0.8,10.0,0.5
regional_p_0.05,archaic_sites,decoded,neutral,0,200,10,2,0,188,12,10,0.06,0.05,1.0,0.5
regional_p_0.05,archaic_sites,decoded,neutral,1,200,12,2,2,184,14,14,0.07,0.07,0.0,1.0
regional_p_0.05,archaic_sites,decoded,neutral,2,200,8,0,1,191,8,9,0.04,0.045,-0.5,1.0
regional_p_0.05,archaic_sites,decoded,neutral,3,200,4,2,0,194,6,4,0.03,0.02,1.0,0.5
