scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,decoded,mass_g0_r1_T10000,0.01,50000,46,100,9,1000,0.46,0.009,0.36560808309024106,0.5573513967663177,0.004742060667477063,0.01701581616533807,0.019189765458422173,0.6262763784887679,0.1497227356746765,0.5970149253731345,0.6595114729829755,0.3913228413441089
archaic_sites,decoded,mass_g0_r1_T10000,0.05,50000,79,100,51,1000,0.79,0.051,0.7002003116591013,0.858343459380847,0.03900094277526684,0.06643548634476165,0.060642092746730075,0.8582292232482347,0.3674939951961569,0.7025344597598934,0.8647028600787805,0.23102792805965788
archaic_sites,decoded,mass_g0_r1_T10000,0.1,50000,92,100,99,1000,0.92,0.099,0.8500189229905127,0.9589065385156194,0.08199544136866538,0.11907361893674984,0.09715407262021589,0.9113422486379396,0.4919933738266151,0.6545713269299183,0.9141871094114356,0.15698319256036175
archaic_sites,decoded,mass_g0_r1_T20000,0.01,50000,51,100,9,1000,0.51,0.009,0.4134801193402717,0.6057800106955886,0.004742060667477063,0.01701581616533807,0.017341040462427744,0.6714944042132983,0.13705583756345177,0.6411062225015713,0.6359743040685224,0.4248229904206581
archaic_sites,decoded,mass_g0_r1_T20000,0.05,50000,82,100,50,1000,0.82,0.05,0.7333264161369926,0.8829977450105364,0.03813026239274882,0.06531382024425081,0.0574712643678161,0.8770053475935828,0.35433070866141736,0.7224669603524229,0.8578856152512998,0.24224519940915804
archaic_sites,decoded,mass_g0_r1_T20000,0.1,50000,91,100,103,1000,0.91,0.103,0.837737871472837,0.9519274599974348,0.08565481000508716,0.1233836362324436,0.10167818361303059,0.9041231992051663,0.5046271094175285,0.6415227352837505,0.91806968578374,0.1503262575369621
archaic_sites,decoded,mass_g0_r1_T30000,0.01,50000,56,100,10,1000,0.56,0.01,0.4622810465167699,0.6532797336983921,0.005440754445529249,0.018309468870314774,0.017543859649122806,0.713375796178344,0.13846153846153847,0.6787878787878787,0.6387096774193548,0.43921568627450985
archaic_sites,decoded,mass_g0_r1_T30000,0.05,50000,82,100,49,1000,0.82,0.049,0.7333264161369926,0.8829977450105364,0.037261034647360615,0.06419070150661013,0.05638665132336019,0.877474585339754,0.3497224425059477,0.725342768686422,0.8554046905307706,0.2458402038674861
archaic_sites,decoded,mass_g0_r1_T30000,0.1,50000,92,100,95,1000,0.92,0.095,0.8500189229905127,0.9589065385156194,0.07834523457904741,0.11475443979425223,0.09359605911330048,0.913151364764268,0.4816901408450704,0.6630630630630631,0.9108958837772397,0.16247240618101547
archaic_sites,decoded,mass_g0_r1_T40000,0.01,50000,60,100,11,1000,0.6,0.011,0.5020025867910618,0.6905987135675411,0.006153174098086638,0.019589395700786275,0.01800327332242226,0.74487895716946,0.14163090128755365,0.7062978222483812,0.6447602131438721,0.44626255113425073
archaic_sites,decoded,mass_g0_r1_T40000,0.05,50000,80,100,50,1000,0.8,0.05,0.7111708344068411,0.8666330666689676,0.03813026239274882,0.06531382024425081,0.058823529411764705,0.8648648648648649,0.36,0.7111111111111111,0.8608695652173913,0.23703703703703702
archaic_sites,decoded,mass_g0_r1_T40000,0.1,50000,92,100,99,1000,0.92,0.099,0.8500189229905127,0.9589065385156194,0.08199544136866538,0.11907361893674984,0.09715407262021589,0.9113422486379396,0.4919933738266151,0.6545713269299183,0.9141871094114356,0.15698319256036175
archaic_sites,decoded,mass_g0_r1_T5000,0.01,50000,50,100,10,1000,0.5,0.01,0.4038315303659956,0.5961684696340044,0.005440754445529249,0.018309468870314774,0.0196078431372549,0.6622516556291391,0.15254237288135594,0.6289308176100628,0.6644295302013423,0.4016064257028113
archaic_sites,decoded,mass_g0_r1_T5000,0.05,50000,87,100,42,1000,0.87,0.042,0.7901964855992357,0.9224283257275948,0.031220885546165447,0.056284425226603055,0.04605263157894737,0.9100418410041841,0.30288461538461536,0.7740213523131673,0.8269689737470167,0.28865295288652953
archaic_sites,decoded,mass_g0_r1_T5000,0.1,50000,89,100,94,1000,0.89,0.094,0.8136870349691969,0.9374580364293543,0.07743417357376373,0.11367315431650704,0.09552845528455285,0.8971774193548386,0.48732718894009214,0.6505847953216374,0.9127108670066693,0.15898535191139693
archaic_sites,decoded,mass_g0_r1_T50000,0.01,50000,62,100,13,1000,0.62,0.013,0.5220975529551107,0.7090240074752127,0.0076128203893510256,0.022114442375579666,0.020537124802527645,0.7593386405388854,0.1587516960651289,0.7138744962579159,0.67488201363398,0.4265565875472996
archaic_sites,decoded,mass_g0_r1_T50000,0.05,50000,84,100,49,1000,0.84,0.049,0.7557973061072976,0.8990471151119521,0.037261034647360615,0.06419070150661013,0.05511811023622047,0.8893594494441505,0.34426229508196726,0.7365190705830776,0.8523985239852399,0.25108354506052905
archaic_sites,decoded,mass_g0_r1_T50000,0.1,50000,91,100,98,1000,0.91,0.098,0.837737871472837,0.9519274599974348,0.08108201152335034,0.11799470229903597,0.09722222222222222,0.906374501992032,0.49218749999999994,0.6518624641833811,0.9142480211081795,0.1567344126765415
archaic_sites,truth,mass_g0_r1_T10000,0.01,50000,48,100,8,1000,0.48,0.008,0.384645517580519,0.5768342223477603,0.004059195818806103,0.015706334530980144,0.01639344262295082,0.6451612903225806,0.13043478260869568,0.6185567010309279,0.6226415094339623,0.42253521126760557
archaic_sites,truth,mass_g0_r1_T10000,0.05,50000,84,100,50,1000,0.84,0.05,0.7557973061072976,0.8990471151119521,0.03813026239274882,0.06531382024425081,0.05617977528089888,0.888888888888889,0.3488372093023256,0.7336244541484717,0.8549222797927462,0.24742268041237112
archaic_sites,truth,mass_g0_r1_T10000,0.1,50000,92,100,90,1000,0.92,0.09,0.8500189229905127,0.9589065385156194,0.07379614931508309,0.1093417926430721,0.0891089108910891,0.9154228855721395,0.4682080924855491,0.673992673992674,0.9064089521871821,0.16989843028624194
archaic_sites,truth,mass_g0_r1_T20000,0.01,50000,35,100,14,1000,0.35,0.014,0.26364248243097527,0.44745556703112027,0.00835757513042392,0.02336203411753566,0.038461538461538464,0.5131964809384163,0.2647058823529412,0.4742547425474254,0.7983870967741936,0.2558479532163742
archaic_sites,truth,mass_g0_r1_T20000,0.05,50000,77,100,48,1000,0.77,0.048,0.6784561697712622,0.8415673411969654,0.036393301020807914,0.06306608865013393,0.05867970660146699,0.847084708470847,0.35940099833610645,0.6993642143505905,0.8605577689243028,0.23612388837779824
archaic_sites,truth,mass_g0_r1_T20000,0.1,50000,93,100,93,1000,0.93,0.093,0.8625048526092651,0.9656807389327273,0.07652372564174531,0.11259125576549656,0.0909090909090909,0.9194265941670786,0.4736842105263157,0.6722081676906396,0.908256880733945,0.1670108646852833
archaic_sites,truth,mass_g0_r1_T30000,0.01,50000,36,100,10,1000,0.36,0.01,0.2727122040140433,0.4576459754839126,0.005440754445529249,0.018309468870314774,0.02702702702702703,0.5255474452554745,0.20000000000000004,0.496551724137931,0.7333333333333333,0.30638297872340425
