haplotypes,mode,cutoff_years,n,mean_region_rmse,mean_bias,error_roughness
200,neutral,5000,1000,0.002229890124653618,0.0019875616,0.00016774384384384388
200,neutral,10000,1000,0.014838679845919828,0.013558653899999997,0.0009436300300300301
200,neutral,20000,1000,0.03941771683467914,0.029513758400000017,0.00546271961961962
200,neutral,30000,1000,0.05471228776705631,0.028601111100000003,0.012644429329329328
200,neutral,40000,1000,0.06528318914262901,0.019440956899999993,0.020779383783783783
200,neutral,50000,1000,0.07381535424718084,0.009862673300000003,0.028913708608608608
200,selected,5000,100,0.002398760747944538,0.002141554,0.00017122322322322327
200,selected,10000,100,0.015950641502615364,0.014261619000000003,0.0009876606606606607
200,selected,20000,100,0.04206612132101222,0.030620865,0.00562375075075075
200,selected,30000,100,0.05688238642318724,0.029075717000000004,0.012881805805805805
200,selected,40000,100,0.06718379494396438,0.018758795,0.021032716716716714
200,selected,50000,100,0.0744343000342837,0.006095347,0.029056434434434432
400,neutral,5000,1000,0.002204312975458501,0.002002609500000001,0.00015958158158158162
400,neutral,10000,1000,0.014768105662728912,0.0136138173,0.0008705548548548549
400,neutral,20000,1000,0.03909541411622003,0.029613772800000018,0.005190914314314314
400,neutral,30000,1000,0.05409812665483483,0.028731909100000008,0.012197545645645645
400,neutral,40000,1000,0.0644011570115146,0.019544134600000006,0.02024341821821822
400,neutral,50000,1000,0.07302626115774528,0.0097533264,0.02823702012012012
400,selected,5000,100,0.0023710120261324747,0.002156359,0.00016257857857857863
400,selected,10000,100,0.015661364178016685,0.014203006000000002,0.0009015555555555555
400,selected,20000,100,0.041496769472168404,0.030458667000000005,0.005344938938938938
400,selected,30000,100,0.05598595434739195,0.028761517000000004,0.01245513113113113
400,selected,40000,100,0.06561771486799328,0.018442034,0.02041832832832833
400,selected,50000,100,0.0736816422659176,0.0056681729999999994,0.02847081281281281
