source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,200_selected_n,200_selected_called,200_selected_fraction,200_neutral_n,200_neutral_called,200_neutral_fraction,400_selected_n,400_selected_called,400_selected_fraction,400_neutral_n,400_neutral_called,400_neutral_fraction
decoded,10000,0.001,10000,0,1,100,33,0.33,1000,163,0.163,100,32,0.32,1000,161,0.161
decoded,10000,0.001,10000,0,10,100,7,0.07,1000,26,0.026,100,17,0.17,1000,30,0.03
decoded,10000,0.001,10000,0,20,100,2,0.02,1000,0,0.0,100,4,0.04,1000,2,0.002
decoded,10000,0.001,10000,0,3,100,27,0.27,1000,115,0.115,100,29,0.29,1000,111,0.111
decoded,10000,0.001,10000,0,5,100,22,0.22,1000,79,0.079,100,25,0.25,1000,77,0.077
decoded,10000,0.001,10000,1,1,100,33,0.33,1000,163,0.163,100,32,0.32,1000,161,0.161
decoded,10000,0.001,10000,1,10,100,7,0.07,1000,28,0.028,100,18,0.18,1000,30,0.03
decoded,10000,0.001,10000,1,20,100,2,0.02,1000,0,0.0,100,4,0.04,1000,2,0.002
decoded,10000,0.001,10000,1,3,100,27,0.27,1000,116,0.116,100,29,0.29,1000,111,0.111
decoded,10000,0.001,10000,1,5,100,22,0.22,1000,84,0.084,100,26,0.26,1000,79,0.079
decoded,10000,0.001,20000,0,1,100,31,0.31,1000,150,0.15,100,31,0.31,1000,142,0.142
decoded,10000,0.001,20000,0,10,100,2,0.02,1000,0,0.0,100,4,0.04,1000,2,0.002
decoded,10000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,10000,0.001,20000,0,3,100,19,0.19,1000,76,0.076,100,23,0.23,1000,73,0.073
decoded,10000,0.001,20000,0,5,100,9,0.09,1000,31,0.031,100,18,0.18,1000,35,0.035
decoded,10000,0.001,20000,1,1,100,31,0.31,1000,150,0.15,100,31,0.31,1000,142,0.142
decoded,10000,0.001,20000,1,10,100,2,0.02,1000,0,0.0,100,4,0.04,1000,2,0.002
