haplotypes,source,method,cutoff_years,policy,target,mode,n,called,region_call_rate
200,decoded,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,8,0.008
200,decoded,maximum_frac_recent,5000,neutral_target,0.01,selected,100,3,0.03
200,decoded,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,48,0.048
200,decoded,maximum_frac_recent,5000,neutral_target,0.05,selected,100,9,0.09
200,decoded,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,91,0.091
200,decoded,maximum_frac_recent,5000,neutral_target,0.1,selected,100,16,0.16
200,decoded,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,631,0.631
200,decoded,maximum_frac_recent,5000,selected_target,0.7,selected,100,72,0.72
200,decoded,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,10,0.01
200,decoded,maximum_frac_recent,10000,neutral_target,0.01,selected,100,9,0.09
200,decoded,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,51,0.051
200,decoded,maximum_frac_recent,10000,neutral_target,0.05,selected,100,19,0.19
200,decoded,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,104,0.104
200,decoded,maximum_frac_recent,10000,neutral_target,0.1,selected,100,30,0.3
200,decoded,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,464,0.464
200,decoded,maximum_frac_recent,10000,selected_target,0.7,selected,100,69,0.69
200,decoded,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,10,0.01
200,decoded,maximum_frac_recent,20000,neutral_target,0.01,selected,100,12,0.12
200,decoded,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,56,0.056
200,decoded,maximum_frac_recent,20000,neutral_target,0.05,selected,100,19,0.19
200,decoded,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,107,0.107
200,decoded,maximum_frac_recent,20000,neutral_target,0.1,selected,100,30,0.3
200,decoded,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,547,0.547
200,decoded,maximum_frac_recent,20000,selected_target,0.7,selected,100,68,0.68
200,decoded,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
200,decoded,maximum_frac_recent,30000,neutral_target,0.01,selected,100,7,0.07
200,decoded,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,54,0.054
200,decoded,maximum_frac_recent,30000,neutral_target,0.05,selected,100,18,0.18
200,decoded,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,108,0.108
200,decoded,maximum_frac_recent,30000,neutral_target,0.1,selected,100,25,0.25
200,decoded,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,529,0.529
200,decoded,maximum_frac_recent,30000,selected_target,0.7,selected,100,66,0.66
200,decoded,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,12,0.012
200,decoded,maximum_frac_recent,40000,neutral_target,0.01,selected,100,4,0.04
200,decoded,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,55,0.055
200,decoded,maximum_frac_recent,40000,neutral_target,0.05,selected,100,15,0.15
200,decoded,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,102,0.102
200,decoded,maximum_frac_recent,40000,neutral_target,0.1,selected,100,25,0.25
200,decoded,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,574,0.574
200,decoded,maximum_frac_recent,40000,selected_target,0.7,selected,100,69,0.69
200,decoded,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,10,0.01
200,decoded,maximum_frac_recent,50000,neutral_target,0.01,selected,100,4,0.04
200,decoded,maximum_frac_recent,50000,neutral_target,0.05,neutral,1000,53,0.053
200,decoded,maximum_frac_recent,50000,neutral_target,0.05,selected,100,9,0.09
200,decoded,maximum_frac_recent,50000,neutral_target,0.1,neutral,1000,104,0.104
200,decoded,maximum_frac_recent,50000,neutral_target,0.1,selected,100,21,0.21
200,decoded,maximum_frac_recent,50000,selected_target,0.7,neutral,1000,567,0.567
200,decoded,maximum_frac_recent,50000,selected_target,0.7,selected,100,69,0.69
200,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.01,neutral,1000,9,0.009
200,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.01,selected,100,3,0.03
200,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.05,neutral,1000,45,0.045
200,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.05,selected,100,9,0.09
200,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.1,neutral,1000,101,0.101
200,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.1,selected,100,13,0.13
200,decoded,maximum_standardized_frac_recent,5000,selected_target,0.7,neutral,1000,604,0.604
200,decoded,maximum_standardized_frac_recent,5000,selected_target,0.7,selected,100,68,0.68
200,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
200,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.01,selected,100,6,0.06
200,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.05,neutral,1000,55,0.055
200,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.05,selected,100,18,0.18
200,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.1,neutral,1000,108,0.108
200,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.1,selected,100,27,0.27
200,decoded,maximum_standardized_frac_recent,10000,selected_target,0.7,neutral,1000,467,0.467
200,decoded,maximum_standardized_frac_recent,10000,selected_target,0.7,selected,100,72,0.72
200,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.01,neutral,1000,13,0.013
200,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.01,selected,100,7,0.07
200,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.05,neutral,1000,49,0.049
200,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.05,selected,100,16,0.16
200,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.1,neutral,1000,101,0.101
200,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.1,selected,100,23,0.23
200,decoded,maximum_standardized_frac_recent,20000,selected_target,0.7,neutral,1000,554,0.554
200,decoded,maximum_standardized_frac_recent,20000,selected_target,0.7,selected,100,72,0.72
200,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
200,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.01,selected,100,4,0.04
200,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.05,neutral,1000,48,0.048
200,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.05,selected,100,16,0.16
200,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.1,neutral,1000,97,0.097
200,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.1,selected,100,23,0.23
200,decoded,maximum_standardized_frac_recent,30000,selected_target,0.7,neutral,1000,588,0.588
200,decoded,maximum_standardized_frac_recent,30000,selected_target,0.7,selected,100,71,0.71
200,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.01,neutral,1000,10,0.01
200,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.01,selected,100,3,0.03
200,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.05,neutral,1000,53,0.053
200,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.05,selected,100,12,0.12
200,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.1,neutral,1000,107,0.107
200,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.1,selected,100,18,0.18
200,decoded,maximum_standardized_frac_recent,40000,selected_target,0.7,neutral,1000,539,0.539
200,decoded,maximum_standardized_frac_recent,40000,selected_target,0.7,selected,100,70,0.7
200,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.01,neutral,1000,6,0.006
200,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.01,selected,100,3,0.03
200,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.05,neutral,1000,47,0.047
200,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.05,selected,100,8,0.08
200,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.1,neutral,1000,96,0.096
200,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.1,selected,100,15,0.15
200,decoded,maximum_standardized_frac_recent,50000,selected_target,0.7,neutral,1000,594,0.594
200,decoded,maximum_standardized_frac_recent,50000,selected_target,0.7,selected,100,73,0.73
200,truth,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,9,0.009
200,truth,maximum_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
200,truth,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,38,0.038
200,truth,maximum_frac_recent,5000,neutral_target,0.05,selected,100,1,0.01
200,truth,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,87,0.087
200,truth,maximum_frac_recent,5000,neutral_target,0.1,selected,100,8,0.08
200,truth,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,790,0.79
200,truth,maximum_frac_recent,5000,selected_target,0.7,selected,100,73,0.73
200,truth,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
200,truth,maximum_frac_recent,10000,neutral_target,0.01,selected,100,1,0.01
200,truth,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,40,0.04
200,truth,maximum_frac_recent,10000,neutral_target,0.05,selected,100,6,0.06
200,truth,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,81,0.081
200,truth,maximum_frac_recent,10000,neutral_target,0.1,selected,100,9,0.09
200,truth,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,600,0.6
200,truth,maximum_frac_recent,10000,selected_target,0.7,selected,100,72,0.72
200,truth,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,10,0.01
200,truth,maximum_frac_recent,20000,neutral_target,0.01,selected,100,6,0.06
200,truth,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,44,0.044
200,truth,maximum_frac_recent,20000,neutral_target,0.05,selected,100,10,0.1
200,truth,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,97,0.097
200,truth,maximum_frac_recent,20000,neutral_target,0.1,selected,100,17,0.17
200,truth,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,622,0.622
200,truth,maximum_frac_recent,20000,selected_target,0.7,selected,100,69,0.69
200,truth,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
200,truth,maximum_frac_recent,30000,neutral_target,0.01,selected,100,8,0.08
200,truth,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,57,0.057
200,truth,maximum_frac_recent,30000,neutral_target,0.05,selected,100,14,0.14
200,truth,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,106,0.106
200,truth,maximum_frac_recent,30000,neutral_target,0.1,selected,100,25,0.25
200,truth,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,473,0.473
200,truth,maximum_frac_recent,30000,selected_target,0.7,selected,100,70,0.7
200,truth,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,9,0.009
200,truth,maximum_frac_recent,40000,neutral_target,0.01,selected,100,11,0.11
200,truth,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,46,0.046
200,truth,maximum_frac_recent,40000,neutral_target,0.05,selected,100,23,0.23
200,truth,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,91,0.091
200,truth,maximum_frac_recent,40000,neutral_target,0.1,selected,100,32,0.32
200,truth,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,531,0.531
200,truth,maximum_frac_recent,40000,selected_target,0.7,selected,100,69,0.69
200,truth,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,9,0.009
200,truth,maximum_frac_recent,50000,neutral_target,0.01,selected,100,26,0.26
200,truth,maximum_frac_recent,50000,neutral_target,0.05,neutral,1000,47,0.047
200,truth,maximum_frac_recent,50000,neutral_target,0.05,selected,100,38,0.38
200,truth,maximum_frac_recent,50000,neutral_target,0.1,neutral,1000,100,0.1
200,truth,maximum_frac_recent,50000,neutral_target,0.1,selected,100,47,0.47
200,truth,maximum_frac_recent,50000,selected_target,0.7,neutral,1000,239,0.239
200,truth,maximum_frac_recent,50000,selected_target,0.7,selected,100,68,0.68
200,truth,maximum_standardized_frac_recent,5000,neutral_target,0.01,neutral,1000,12,0.012
200,truth,maximum_standardized_frac_recent,5000,neutral_target,0.01,selected,100,0,0.0
200,truth,maximum_standardized_frac_recent,5000,neutral_target,0.05,neutral,1000,45,0.045
200,truth,maximum_standardized_frac_recent,5000,neutral_target,0.05,selected,100,3,0.03
200,truth,maximum_standardized_frac_recent,5000,neutral_target,0.1,neutral,1000,103,0.103
200,truth,maximum_standardized_frac_recent,5000,neutral_target,0.1,selected,100,9,0.09
200,truth,maximum_standardized_frac_recent,5000,selected_target,0.7,neutral,1000,749,0.749
200,truth,maximum_standardized_frac_recent,5000,selected_target,0.7,selected,100,70,0.7
200,truth,maximum_standardized_frac_recent,10000,neutral_target,0.01,neutral,1000,12,0.012
200,truth,maximum_standardized_frac_recent,10000,neutral_target,0.01,selected,100,1,0.01
200,truth,maximum_standardized_frac_recent,10000,neutral_target,0.05,neutral,1000,45,0.045
200,truth,maximum_standardized_frac_recent,10000,neutral_target,0.05,selected,100,6,0.06
200,truth,maximum_standardized_frac_recent,10000,neutral_target,0.1,neutral,1000,83,0.083
200,truth,maximum_standardized_frac_recent,10000,neutral_target,0.1,selected,100,9,0.09
200,truth,maximum_standardized_frac_recent,10000,selected_target,0.7,neutral,1000,576,0.576
200,truth,maximum_standardized_frac_recent,10000,selected_target,0.7,selected,100,69,0.69
200,truth,maximum_standardized_frac_recent,20000,neutral_target,0.01,neutral,1000,9,0.009
200,truth,maximum_standardized_frac_recent,20000,neutral_target,0.01,selected,100,6,0.06
200,truth,maximum_standardized_frac_recent,20000,neutral_target,0.05,neutral,1000,45,0.045
200,truth,maximum_standardized_frac_recent,20000,neutral_target,0.05,selected,100,13,0.13
200,truth,maximum_standardized_frac_recent,20000,neutral_target,0.1,neutral,1000,89,0.089
200,truth,maximum_standardized_frac_recent,20000,neutral_target,0.1,selected,100,20,0.2
200,truth,maximum_standardized_frac_recent,20000,selected_target,0.7,neutral,1000,593,0.593
200,truth,maximum_standardized_frac_recent,20000,selected_target,0.7,selected,100,69,0.69
200,truth,maximum_standardized_frac_recent,30000,neutral_target,0.01,neutral,1000,9,0.009
200,truth,maximum_standardized_frac_recent,30000,neutral_target,0.01,selected,100,7,0.07
200,truth,maximum_standardized_frac_recent,30000,neutral_target,0.05,neutral,1000,54,0.054
200,truth,maximum_standardized_frac_recent,30000,neutral_target,0.05,selected,100,14,0.14
200,truth,maximum_standardized_frac_recent,30000,neutral_target,0.1,neutral,1000,116,0.116
200,truth,maximum_standardized_frac_recent,30000,neutral_target,0.1,selected,100,22,0.22
200,truth,maximum_standardized_frac_recent,30000,selected_target,0.7,neutral,1000,481,0.481
200,truth,maximum_standardized_frac_recent,30000,selected_target,0.7,selected,100,66,0.66
200,truth,maximum_standardized_frac_recent,40000,neutral_target,0.01,neutral,1000,15,0.015
200,truth,maximum_standardized_frac_recent,40000,neutral_target,0.01,selected,100,10,0.1
200,truth,maximum_standardized_frac_recent,40000,neutral_target,0.05,neutral,1000,39,0.039
200,truth,maximum_standardized_frac_recent,40000,neutral_target,0.05,selected,100,22,0.22
200,truth,maximum_standardized_frac_recent,40000,neutral_target,0.1,neutral,1000,87,0.087
200,truth,maximum_standardized_frac_recent,40000,neutral_target,0.1,selected,100,30,0.3
200,truth,maximum_standardized_frac_recent,40000,selected_target,0.7,neutral,1000,551,0.551
200,truth,maximum_standardized_frac_recent,40000,selected_target,0.7,selected,100,71,0.71
200,truth,maximum_standardized_frac_recent,50000,neutral_target,0.01,neutral,1000,10,0.01
200,truth,maximum_standardized_frac_recent,50000,neutral_target,0.01,selected,100,18,0.18
200,truth,maximum_standardized_frac_recent,50000,neutral_target,0.05,neutral,1000,45,0.045
200,truth,maximum_standardized_frac_recent,50000,neutral_target,0.05,selected,100,37,0.37
200,truth,maximum_standardized_frac_recent,50000,neutral_target,0.1,neutral,1000,85,0.085
200,truth,maximum_standardized_frac_recent,50000,neutral_target,0.1,selected,100,42,0.42
200,truth,maximum_standardized_frac_recent,50000,selected_target,0.7,neutral,1000,295,0.295
200,truth,maximum_standardized_frac_recent,50000,selected_target,0.7,selected,100,72,0.72
400,decoded,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,12,0.012
400,decoded,maximum_frac_recent,5000,neutral_target,0.01,selected,100,5,0.05
400,decoded,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,42,0.042
400,decoded,maximum_frac_recent,5000,neutral_target,0.05,selected,100,12,0.12
400,decoded,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,87,0.087
400,decoded,maximum_frac_recent,5000,neutral_target,0.1,selected,100,17,0.17
400,decoded,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,580,0.58
400,decoded,maximum_frac_recent,5000,selected_target,0.7,selected,100,71,0.71
400,decoded,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
400,decoded,maximum_frac_recent,10000,neutral_target,0.01,selected,100,6,0.06
