haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n
200,decoded,maximum_frac_recent,5000,0,0.7,0.0077,400,400,80
200,decoded,maximum_frac_recent,10000,0,0.7,0.0469,400,400,80
200,decoded,maximum_frac_recent,20000,0,0.7,0.2047,400,400,80
200,decoded,maximum_frac_recent,30000,0,0.7,0.3801,400,400,80
200,decoded,maximum_frac_recent,40000,0,0.7,0.51,400,400,80
200,decoded,maximum_frac_recent,50000,0,0.7,0.6189,400,400,80
200,decoded,maximum_standardized_frac_recent,5000,0,0.7,2.7614360292171805,400,400,80
200,decoded,maximum_standardized_frac_recent,10000,0,0.7,4.185147797995359,400,400,80
200,decoded,maximum_standardized_frac_recent,20000,0,0.7,4.9369977245326835,400,400,80
200,decoded,maximum_standardized_frac_recent,30000,0,0.7,4.978936195982327,400,400,80
200,decoded,maximum_standardized_frac_recent,40000,0,0.7,5.221220768182867,400,400,80
200,decoded,maximum_standardized_frac_recent,50000,0,0.7,5.0325843977646105,400,400,80
200,decoded,maximum_frac_recent,5000,1,0.7,0.0077,400,400,80
200,decoded,maximum_frac_recent,10000,1,0.7,0.046,400,400,80
200,decoded,maximum_frac_recent,20000,1,0.7,0.1984,400,400,80
200,decoded,maximum_frac_recent,30000,1,0.7,0.3731,400,400,80
200,decoded,maximum_frac_recent,40000,1,0.7,0.51,400,400,80
200,decoded,maximum_frac_recent,50000,1,0.7,0.6166,400,400,80
200,decoded,maximum_standardized_frac_recent,5000,1,0.7,2.9196111001595675,400,400,80
200,decoded,maximum_standardized_frac_recent,10000,1,0.7,4.168782917329411,400,400,80
200,decoded,maximum_standardized_frac_recent,20000,1,0.7,4.8285144751023275,400,400,80
200,decoded,maximum_standardized_frac_recent,30000,1,0.7,4.920431764389772,400,400,80
200,decoded,maximum_standardized_frac_recent,40000,1,0.7,5.008835479180492,400,400,80
200,decoded,maximum_standardized_frac_recent,50000,1,0.7,4.828722677827888,400,400,80
200,decoded,maximum_frac_recent,5000,2,0.7,0.0077,400,400,80
200,decoded,maximum_frac_recent,10000,2,0.7,0.0454,400,400,80
200,decoded,maximum_frac_recent,20000,2,0.7,0.1947,400,400,80
200,decoded,maximum_frac_recent,30000,2,0.7,0.368,400,400,80
200,decoded,maximum_frac_recent,40000,2,0.7,0.5043,400,400,80
200,decoded,maximum_frac_recent,50000,2,0.7,0.6189,400,400,80
200,decoded,maximum_standardized_frac_recent,5000,2,0.7,2.828711709329797,400,400,80
200,decoded,maximum_standardized_frac_recent,10000,2,0.7,4.123902381874398,400,400,80
200,decoded,maximum_standardized_frac_recent,20000,2,0.7,4.686548622308207,400,400,80
200,decoded,maximum_standardized_frac_recent,30000,2,0.7,4.696583984661024,400,400,80
200,decoded,maximum_standardized_frac_recent,40000,2,0.7,4.982854067769968,400,400,80
200,decoded,maximum_standardized_frac_recent,50000,2,0.7,4.850974858925066,400,400,80
200,decoded,maximum_frac_recent,5000,3,0.7,0.0077,400,400,80
200,decoded,maximum_frac_recent,10000,3,0.7,0.0463,400,400,80
200,decoded,maximum_frac_recent,20000,3,0.7,0.1947,400,400,80
200,decoded,maximum_frac_recent,30000,3,0.7,0.3711,400,400,80
200,decoded,maximum_frac_recent,40000,3,0.7,0.5043,400,400,80
200,decoded,maximum_frac_recent,50000,3,0.7,0.6205,400,400,80
200,decoded,maximum_standardized_frac_recent,5000,3,0.7,2.87605994175621,400,400,80
200,decoded,maximum_standardized_frac_recent,10000,3,0.7,4.1167184172721525,400,400,80
200,decoded,maximum_standardized_frac_recent,20000,3,0.7,4.44890526681048,400,400,80
200,decoded,maximum_standardized_frac_recent,30000,3,0.7,4.557832402388191,400,400,80
200,decoded,maximum_standardized_frac_recent,40000,3,0.7,4.891929178306989,400,400,80
200,decoded,maximum_standardized_frac_recent,50000,3,0.7,4.878446852776908,400,400,80
200,decoded,maximum_frac_recent,5000,4,0.7,0.0076,400,400,80
200,decoded,maximum_frac_recent,10000,4,0.7,0.046,400,400,80
200,decoded,maximum_frac_recent,20000,4,0.7,0.2014,400,400,80
200,decoded,maximum_frac_recent,30000,4,0.7,0.3702,400,400,80
200,decoded,maximum_frac_recent,40000,4,0.7,0.5042,400,400,80
200,decoded,maximum_frac_recent,50000,4,0.7,0.6205,400,400,80
200,decoded,maximum_standardized_frac_recent,5000,4,0.7,2.890012061444679,400,400,80
200,decoded,maximum_standardized_frac_recent,10000,4,0.7,4.329873875915478,400,400,80
200,decoded,maximum_standardized_frac_recent,20000,4,0.7,4.664282981986409,400,400,80
200,decoded,maximum_standardized_frac_recent,30000,4,0.7,4.765620724395915,400,400,80
200,decoded,maximum_standardized_frac_recent,40000,4,0.7,5.051757749451819,400,400,80
200,decoded,maximum_standardized_frac_recent,50000,4,0.7,4.961469925955608,400,400,80
200,truth,maximum_frac_recent,5000,0,0.7,0.0039,400,400,80
200,truth,maximum_frac_recent,10000,0,0.7,0.0112,400,400,80
200,truth,maximum_frac_recent,20000,0,0.7,0.0765,400,400,80
200,truth,maximum_frac_recent,30000,0,0.7,0.2122,400,400,80
200,truth,maximum_frac_recent,40000,0,0.7,0.373,400,400,80
200,truth,maximum_frac_recent,50000,0,0.7,0.5965,400,400,80
200,truth,maximum_standardized_frac_recent,5000,0,0.7,2.0826609848848583,400,400,80
200,truth,maximum_standardized_frac_recent,10000,0,0.7,2.9990227450666556,400,400,80
200,truth,maximum_standardized_frac_recent,20000,0,0.7,3.5308220590176758,400,400,80
200,truth,maximum_standardized_frac_recent,30000,0,0.7,4.474520429729344,400,400,80
