source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,0.0,neutral,5000,1000,0.004787499999999999,3.061717101825642e-05
decoded,0.0,neutral,10000,1000,0.0212205,0.0001805168027250263
decoded,0.0,neutral,20000,1000,0.0748899,0.0008084597424393778
decoded,0.0,neutral,30000,1000,0.1287507,0.0014788569834461639
decoded,0.0,neutral,40000,1000,0.17434789999999997,0.002058439590840387
decoded,0.0,neutral,50000,1000,0.2121206,0.0025382723341048495
decoded,0.0,selected,5000,100,0.005852,0.00016686339904063428
decoded,0.0,selected,10000,100,0.037319000000000005,0.0017670998296872784
decoded,0.0,selected,20000,100,0.16390500000000002,0.008262057411853763
decoded,0.0,selected,30000,100,0.28850800000000004,0.01342630169224992
decoded,0.0,selected,40000,100,0.384741,0.016222571075915532
decoded,0.0,selected,50000,100,0.45207100000000006,0.017786034601860692
decoded,30000.0,neutral,5000,1000,0.00478105,2.90641690647337e-05
decoded,30000.0,neutral,10000,1000,0.021210459999999997,0.0001674876762932429
decoded,30000.0,neutral,20000,1000,0.07506563,0.0006946902791799286
decoded,30000.0,neutral,30000,1000,0.12913009,0.0012230862016016895
decoded,30000.0,neutral,40000,1000,0.17520985000000003,0.001662170427425331
decoded,30000.0,neutral,50000,1000,0.21370124,0.0020266763602340486
decoded,30000.0,selected,5000,100,0.005803900000000001,0.00015438813052979445
decoded,30000.0,selected,10000,100,0.03627040000000001,0.001677965699075141
decoded,30000.0,selected,20000,100,0.15185580000000004,0.007123710728903225
decoded,30000.0,selected,30000,100,0.2585599,0.011022990524853504
decoded,30000.0,selected,40000,100,0.3344068,0.013264146037291124
decoded,30000.0,selected,50000,100,0.3867693,0.014463203561371762
decoded,80000.0,neutral,5000,1000,0.00477311,2.6991446164777205e-05
decoded,80000.0,neutral,10000,1000,0.021161569999999998,0.00014151723910557352
decoded,80000.0,neutral,20000,1000,0.07533691,0.0006039675545580729
decoded,80000.0,neutral,30000,1000,0.12939288,0.001070698900457566
decoded,80000.0,neutral,40000,1000,0.17503039999999997,0.0014396874818812192
decoded,80000.0,neutral,50000,1000,0.21295695999999997,0.0017338233980235512
decoded,80000.0,selected,5000,100,0.005664200000000001,0.00013789068866389064
decoded,80000.0,selected,10000,100,0.0333633,0.0012884068233773261
decoded,80000.0,selected,20000,100,0.1254449,0.005237802682355735
decoded,80000.0,selected,30000,100,0.2033104,0.00785215650481838
decoded,80000.0,selected,40000,100,0.2588142,0.00941780614203164
decoded,80000.0,selected,50000,100,0.2975747,0.01021379452283266
decoded,130000.0,neutral,5000,1000,0.00477887,2.5346590949726807e-05
decoded,130000.0,neutral,10000,1000,0.02125837,0.00013127703722892135
decoded,130000.0,neutral,20000,1000,0.07594822000000001,0.0006017386456172058
decoded,130000.0,neutral,30000,1000,0.13045202999999997,0.0010826023299364746
decoded,130000.0,neutral,40000,1000,0.17673005999999997,0.0014692454147231786
decoded,130000.0,neutral,50000,1000,0.21481375000000003,0.001772833312071355
decoded,130000.0,selected,5000,100,0.005562500000000001,0.00012376397992660355
