source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,10000,0,1,neutral,all,1000,0.0,0.139,1.0,0.0,0.217,0.139,0.001,0,217,0.0,0.0,0.139,0.0,0.0,0.139,0.0,0.0,0.139,0.0,0.0,0.139
decoded,5000,0.001,10000,0,1,selected,all,100,0.08,0.18083333333333332,0.7837837837837838,0.057333333333333326,0.29,0.23,0.05,8,29,0.06,0.07,0.18416666666666665,0.08,0.08,0.18083333333333332,0.08,0.08,0.18083333333333332,0.09,0.09,0.1708333333333333
decoded,5000,0.001,10000,0,1,selected,nonfixed,100,0.08,0.18083333333333332,0.7837837837837838,0.057333333333333326,0.29,0.23,0.05,8,29,0.06,0.07,0.18416666666666665,0.08,0.08,0.18083333333333332,0.08,0.08,0.18083333333333332,0.09,0.09,0.1708333333333333
decoded,5000,0.001,10000,0,3,neutral,all,1000,0.0,0.081,1.0,0.0,0.093,0.081,0.001,0,93,0.0,0.0,0.081,0.0,0.0,0.081,0.0,0.0,0.081,0.0,0.0,0.081
decoded,5000,0.001,10000,0,3,selected,all,100,0.05,0.08,0.6153846153846154,0.05,0.08,0.13,0.05,5,8,0.04,0.05,0.08,0.05,0.05,0.08,0.06,0.06,0.07,0.07,0.07,0.06
decoded,5000,0.001,10000,0,3,selected,nonfixed,100,0.05,0.08,0.6153846153846154,0.05,0.08,0.13,0.05,5,8,0.04,0.05,0.08,0.05,0.05,0.08,0.06,0.06,0.07,0.07,0.07,0.06
decoded,5000,0.001,10000,0,5,neutral,all,1000,0.0,0.057,1.0,0.0,0.059,0.057,0.001,0,59,0.0,0.0,0.057,0.0,0.0,0.057,0.0,0.0,0.057,0.0,0.0,0.057
decoded,5000,0.001,10000,0,5,selected,all,100,0.05,0.05,0.5,0.05,0.05,0.1,0.05,5,5,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
decoded,5000,0.001,10000,0,5,selected,nonfixed,100,0.05,0.05,0.5,0.05,0.05,0.1,0.05,5,5,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
decoded,5000,0.001,10000,0,10,neutral,all,1000,0.0,0.032,1.0,0.0,0.033,0.032,0.001,0,33,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.032
decoded,5000,0.001,10000,0,10,selected,all,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,10000,0,10,selected,nonfixed,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,10000,0,20,neutral,all,1000,0.0,0.005,1.0,0.0,0.005,0.005,0.001,0,5,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005
decoded,5000,0.001,10000,0,20,selected,all,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
decoded,5000,0.001,10000,0,20,selected,nonfixed,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
decoded,5000,0.001,10000,1,1,neutral,all,1000,0.0,0.139,1.0,0.0,0.196,0.139,0.001,0,196,0.0,0.0,0.139,0.0,0.0,0.139,0.0,0.0,0.139,0.0,0.0,0.139
decoded,5000,0.001,10000,1,1,selected,all,100,0.08,0.1775,0.7647058823529411,0.06066666666666667,0.26,0.23,0.05,8,26,0.06,0.07,0.1825,0.08,0.08,0.1775,0.08,0.08,0.1775,0.09,0.09,0.1675
decoded,5000,0.001,10000,1,1,selected,nonfixed,100,0.08,0.1775,0.7647058823529411,0.06066666666666667,0.26,0.23,0.05,8,26,0.06,0.07,0.1825,0.08,0.08,0.1775,0.08,0.08,0.1775,0.09,0.09,0.1675
decoded,5000,0.001,10000,1,3,neutral,all,1000,0.0,0.085,1.0,0.0,0.096,0.085,0.001,0,96,0.0,0.0,0.085,0.0,0.0,0.085,0.0,0.0,0.085,0.0,0.0,0.085
decoded,5000,0.001,10000,1,3,selected,all,100,0.05,0.09,0.6428571428571429,0.05,0.09,0.14,0.05,5,9,0.04,0.05,0.09,0.05,0.05,0.09,0.06,0.06,0.08,0.07,0.07,0.07
decoded,5000,0.001,10000,1,3,selected,nonfixed,100,0.05,0.09,0.6428571428571429,0.05,0.09,0.14,0.05,5,9,0.04,0.05,0.09,0.05,0.05,0.09,0.06,0.06,0.08,0.07,0.07,0.07
decoded,5000,0.001,10000,1,5,neutral,all,1000,0.0,0.06,1.0,0.0,0.062,0.06,0.001,0,62,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.06
decoded,5000,0.001,10000,1,5,selected,all,100,0.05,0.05,0.5,0.05,0.05,0.1,0.05,5,5,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
decoded,5000,0.001,10000,1,5,selected,nonfixed,100,0.05,0.05,0.5,0.05,0.05,0.1,0.05,5,5,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
decoded,5000,0.001,10000,1,10,neutral,all,1000,0.0,0.032,1.0,0.0,0.032,0.032,0.001,0,32,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.032
decoded,5000,0.001,10000,1,10,selected,all,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,10000,1,10,selected,nonfixed,100,0.03,0.04,0.5714285714285714,0.03,0.04,0.07,0.05,3,4,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,10000,1,20,neutral,all,1000,0.0,0.006,1.0,0.0,0.006,0.006,0.001,0,6,0.0,0.0,0.006,0.0,0.0,0.006,0.0,0.0,0.006,0.0,0.0,0.006
decoded,5000,0.001,10000,1,20,selected,all,100,0.01,0.02,0.6666666666666666,0.01,0.02,0.03,0.05,1,2,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
