cutoff_years,alpha,mode,both,decoded_only,truth_only,jaccard
5000,0.05,neutral,8464,37829,34610,0.10461911177583032
5000,0.05,selected,591,4938,2069,0.0777836272703343
5000,0.01,neutral,710,8550,7667,0.041944821882200035
5000,0.01,selected,31,1391,388,0.01712707182320442
5000,0.001,neutral,24,908,777,0.014043300175541252
5000,0.001,selected,0,199,58,0.0
10000,0.05,neutral,3662,45824,42797,0.03968228167701527
10000,0.05,selected,371,6048,4195,0.034953834558130774
10000,0.01,neutral,105,9817,9069,0.0055289347585698485
10000,0.01,selected,10,1754,789,0.0039169604386995694
10000,0.001,neutral,0,992,908,0.0
10000,0.001,selected,0,391,50,0.0
20000,0.05,neutral,5177,44724,44453,0.05486783814146724
20000,0.05,selected,1077,4860,5477,0.0943578062029087
20000,0.01,neutral,346,9637,9598,0.01767019049078188
20000,0.01,selected,149,1387,1564,0.04806451612903226
20000,0.001,neutral,1,998,991,0.0005025125628140704
20000,0.001,selected,20,288,301,0.03284072249589491
30000,0.05,neutral,8347,41611,41551,0.09121507174157734
30000,0.05,selected,1579,4129,5005,0.14739102025576403
30000,0.01,neutral,749,9239,9231,0.03897185077267287
30000,0.01,selected,312,1175,1460,0.10587037665422463
30000,0.001,neutral,17,983,982,0.008577194752774974
30000,0.001,selected,17,296,142,0.03736263736263736
40000,0.05,neutral,11813,38143,38142,0.13408930963245477
40000,0.05,selected,1710,3777,4246,0.17569094832014795
40000,0.01,neutral,1135,8858,8859,0.060205813706768516
40000,0.01,selected,446,953,1170,0.17360840794083301
40000,0.001,neutral,40,957,960,0.020439448134900357
40000,0.001,selected,86,236,312,0.13564668769716087
50000,0.05,neutral,14606,35355,35349,0.17121087797444615
50000,0.05,selected,2240,3124,4280,0.2322687681459975
50000,0.01,neutral,1708,8291,8284,0.09342011704862441
50000,0.01,selected,570,728,1436,0.20848573518653987
50000,0.001,neutral,75,925,925,0.03896103896103896
50000,0.001,selected,125,156,399,0.18382352941176472
