method,alpha,neutral_regions,neutral_called,neutral_region_call_fraction
af_r1,0.01,1000,12,0.012
af_r1,0.05,1000,49,0.049
all_r1_T5000,0.01,1000,8,0.008
all_r1_T5000,0.05,1000,34,0.034
mass_g0_r1_T5000,0.01,1000,8,0.008
mass_g0_r1_T5000,0.05,1000,48,0.048
all_r1_T10000,0.01,1000,10,0.01
all_r1_T10000,0.05,1000,44,0.044
mass_g0_r1_T10000,0.01,1000,8,0.008
mass_g0_r1_T10000,0.05,1000,51,0.051
all_r1_T20000,0.01,1000,10,0.01
all_r1_T20000,0.05,1000,50,0.05
mass_g0_r1_T20000,0.01,1000,12,0.012
mass_g0_r1_T20000,0.05,1000,49,0.049
all_r1_T30000,0.01,1000,12,0.012
all_r1_T30000,0.05,1000,52,0.052
mass_g0_r1_T30000,0.01,1000,13,0.013
mass_g0_r1_T30000,0.05,1000,49,0.049
all_r1_T40000,0.01,1000,7,0.007
all_r1_T40000,0.05,1000,50,0.05
mass_g0_r1_T40000,0.01,1000,10,0.01
mass_g0_r1_T40000,0.05,1000,46,0.046
all_r1_T50000,0.01,1000,7,0.007
all_r1_T50000,0.05,1000,52,0.052
mass_g0_r1_T50000,0.01,1000,9,0.009
mass_g0_r1_T50000,0.05,1000,50,0.05
