metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,5000,50000,0.001,100,1,0.01,0.6088888888888888,0.002,0.01,1.8,1.81,39,1,180,99,0.994475138121547,0.0071174377224199285,0.5188611111111111,0.7,0.0,0.006000000000000001
peak,1,0.01,5000,50000,0.002,100,2,0.02,0.583,0.01,0.02,1.27,1.29,41,2,127,98,0.9844961240310077,0.017467248908296942,0.488,0.68,0.0,0.026666666666666665
peak,1,0.01,5000,50000,0.003,100,12,0.12,0.6221666666666666,0.061968253968253964,0.12,1.83,1.95,33,12,183,88,0.9384615384615385,0.08135593220338982,0.52606875,0.7080833333333332,0.027877777777777783,0.10234682539682534
peak,1,0.01,5000,50000,0.004,100,12,0.12,0.6362188644688644,0.04954639804639804,0.12,1.8,1.92,33,12,180,88,0.9375,0.0821917808219178,0.5465739239926739,0.7253755952380952,0.021772817460317465,0.08084166666666665
peak,1,0.01,5000,50000,0.005,100,11,0.11,0.6732222222222223,0.05085714285714285,0.11,1.88,1.99,29,11,188,89,0.9447236180904522,0.07357859531772576,0.5859930555555555,0.7588930555555555,0.022000000000000002,0.08533809523809521
peak,1,0.01,5000,50000,0.006,100,16,0.16,0.6560714285714286,0.07616666666666666,0.16,1.72,1.88,29,16,172,84,0.9148936170212766,0.1111111111111111,0.5689047619047619,0.7399089285714285,0.04232916666666667,0.11267083333333332
peak,1,0.01,5000,50000,0.007,100,17,0.17,0.6699603174603175,0.07302380952380952,0.17,1.85,2.02,28,17,185,83,0.9158415841584159,0.11258278145695365,0.5866878968253968,0.7553365079365079,0.04254226190476191,0.10900833333333328
peak,1,0.01,5000,50000,0.008,100,24,0.24,0.55425,0.14823809523809522,0.24,1.87,2.11,32,24,187,76,0.8862559241706162,0.15434083601286175,0.4610666666666667,0.6476020833333332,0.09288095238095238,0.21053968253968253
peak,1,0.01,5000,50000,0.009,100,15,0.15,0.5938928571428572,0.08122222222222224,0.15,2.11,2.26,34,15,211,85,0.9336283185840708,0.09202453987730061,0.4987107142857143,0.6858214285714286,0.04115277777777778,0.1289472222222222
peak,1,0.01,5000,50000,0.01,100,22,0.22,0.6199242424242424,0.13438095238095238,0.22,1.97,2.19,27,22,197,78,0.8995433789954338,0.13793103448275862,0.5291647727272727,0.711592803030303,0.08419047619047619,0.1898690476190475
peak,1,0.01,5000,100000,0.001,100,2,0.02,0.6038888888888888,0.008666666666666666,0.02,1.79,1.81,39,2,179,98,0.988950276243094,0.014234875444839857,0.5088888888888888,0.7028055555555554,0.0,0.024
peak,1,0.01,5000,100000,0.002,100,3,0.03,0.578,0.016666666666666666,0.03,1.26,1.29,41,3,126,97,0.9767441860465116,0.026200873362445413,0.485,0.67,0.0,0.039999999999999994
