endpoint,method,alpha,s,selected_regions,selected_called,power,wilson_low,wilson_high,neutral_regions,neutral_called,local_fpr
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.001,92,3,0.03260869565217391,0.011151177410971533,0.09153359952993573,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.002,93,6,0.06451612903225806,0.029901431618647632,0.13367994162383134,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.003,95,22,0.23157894736842105,0.15819679922789248,0.3258253853038246,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.004,94,35,0.3723404255319149,0.2814318660117187,0.4732733449563353,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.005,100,58,0.58,0.4820648670304296,0.6720161732564526,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.006,94,56,0.5957446808510638,0.49467299278537785,0.6892980989885815,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.007,94,53,0.5638297872340425,0.4630290566620046,0.6596183378539684,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.008,95,47,0.49473684210526314,0.3963757882123102,0.5935069997196842,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.009,95,34,0.35789473684210527,0.2687504166729956,0.4580848574908546,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.01,95,33,0.3473684210526316,0.2592472968100605,0.44735355321777864,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.001,92,8,0.08695652173913043,0.044721188963793644,0.16230256740258947,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.002,93,18,0.1935483870967742,0.1260843953896367,0.28532471911433,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.003,95,35,0.3684210526315789,0.2783009458551568,0.46876875244470445,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.004,94,55,0.5851063829787234,0.48408020528974016,0.6794496540648904,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.005,100,81,0.81,0.7222115462093562,0.8748524849023126,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.006,94,67,0.7127659574468085,0.6143682600686844,0.7944563883178923,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.007,94,71,0.7553191489361702,0.6595241890282197,0.8310653890356723,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.008,95,60,0.631578947368421,0.5312312475552954,0.7216990541448431,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.009,95,51,0.5368421052631579,0.4370969126824784,0.6337235717935605,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.01,95,45,0.47368421052631576,0.37626742136015695,0.5731465182998152,1000,50,0.05
positional,nearest_core_abs_ihs,0.01,0.001,92,1,0.010869565217391304,0.001921329040091721,0.05902785613062518,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.002,93,3,0.03225806451612903,0.011030612815892044,0.09059382511121503,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.003,95,18,0.18947368421052632,0.12334852229116193,0.27973596569651077,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.004,94,29,0.30851063829787234,0.2242009454589739,0.407856870993107,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.005,100,50,0.5,0.4038315303659956,0.5961684696340044,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.006,94,43,0.4574468085106383,0.36038954698507203,0.5578455233376126,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.007,94,34,0.3617021276595745,0.27176918645474224,0.4624947920939829,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.008,95,28,0.29473684210526313,0.21247932282989435,0.39294940651788923,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.009,95,14,0.14736842105263157,0.08986080653616779,0.2322859849074605,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.01,95,6,0.06315789473684211,0.02926488835484705,0.1310065100006925,1000,7,0.007
positional,nearest_core_abs_ihs,0.05,0.001,92,10,0.10869565217391304,0.06012152356953175,0.18863782456704176,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.002,93,12,0.12903225806451613,0.07537736320204348,0.21211788067117937,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.003,95,31,0.3263157894736842,0.24038712734007606,0.42574487441574094,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.004,94,50,0.5319148936170213,0.4317826374815637,0.6295410597764227,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.005,100,67,0.67,0.5730534379509052,0.7543687726587197,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.006,94,61,0.648936170212766,0.5483320855549355,0.7378451683156683,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.007,94,41,0.43617021276595747,0.34038166214603166,0.5369709433379954,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.008,95,31,0.3263157894736842,0.24038712734007606,0.42574487441574094,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.009,95,26,0.2736842105263158,0.1941455436715417,0.37081433740421976,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.01,95,14,0.14736842105263157,0.08986080653616779,0.2322859849074605,1000,48,0.048
