task_id,mode,s,replicate,fold,eligible_cores,finite_cores,focal_valid,focal_af
neutral/rep0000,neutral,0.0,0,1,14669,14669,False,0.0125
selected_s0p001/rep0000,selected,0.001,0,3,13696,13696,True,0.255
selected_s0p002/rep0000,selected,0.002,0,3,15197,15197,True,0.3325
selected_s0p003/rep0000,selected,0.003,0,3,16148,16148,True,0.6475
selected_s0p004/rep0000,selected,0.004,0,3,15309,15309,True,0.4725
selected_s0p005/rep0000,selected,0.005,0,3,14646,14646,True,0.4675
selected_s0p006/rep0000,selected,0.006,0,3,12966,12966,False,0.9625
selected_s0p007/rep0000,selected,0.007,0,3,13710,13710,False,0.9625
selected_s0p008/rep0000,selected,0.008,0,3,15238,15238,False,0.99
selected_s0p009/rep0000,selected,0.009,0,3,13756,13756,False,0.9975
selected_s0p010/rep0000,selected,0.01,0,3,13802,13802,False,0.9925
neutral/rep0001,neutral,0.0,1,3,14236,14236,True,0.155
selected_s0p001/rep0001,selected,0.001,1,1,15618,15618,True,0.3325
selected_s0p002/rep0001,selected,0.002,1,1,15656,15656,True,0.27
selected_s0p003/rep0001,selected,0.003,1,1,14889,14889,False,0.0375
selected_s0p004/rep0001,selected,0.004,1,1,13926,13926,True,0.13
selected_s0p005/rep0001,selected,0.005,1,1,13971,13971,True,0.745
selected_s0p006/rep0001,selected,0.006,1,1,13888,13888,True,0.6825
selected_s0p007/rep0001,selected,0.007,1,1,13434,13434,False,0.995
selected_s0p008/rep0001,selected,0.008,1,1,15393,15392,True,0.9
selected_s0p009/rep0001,selected,0.009,1,1,15073,15073,False,0.995
selected_s0p010/rep0001,selected,0.01,1,1,15637,15637,False,1.0
neutral/rep0002,neutral,0.0,2,4,13895,13885,False,0.0025
selected_s0p001/rep0002,selected,0.001,2,4,13609,13609,True,0.0675
selected_s0p002/rep0002,selected,0.002,2,4,14004,14004,True,0.5125
selected_s0p003/rep0002,selected,0.003,2,4,15743,15743,True,0.8225
selected_s0p004/rep0002,selected,0.004,2,4,15040,15040,True,0.44
selected_s0p005/rep0002,selected,0.005,2,4,17193,17193,False,0.955
selected_s0p006/rep0002,selected,0.006,2,4,14150,14150,True,0.845
selected_s0p007/rep0002,selected,0.007,2,4,14884,14884,True,0.9225
selected_s0p008/rep0002,selected,0.008,2,4,15692,15692,False,0.9875
selected_s0p009/rep0002,selected,0.009,2,4,14649,14649,False,0.995
selected_s0p010/rep0002,selected,0.01,2,4,14077,14077,False,0.9625
neutral/rep0003,neutral,0.0,3,3,13556,13556,False,0.0025
selected_s0p001/rep0003,selected,0.001,3,2,15584,15584,True,0.15
selected_s0p002/rep0003,selected,0.002,3,2,13164,13162,True,0.105
selected_s0p003/rep0003,selected,0.003,3,2,14793,14793,True,0.065
selected_s0p004/rep0003,selected,0.004,3,2,16359,16359,True,0.255
selected_s0p005/rep0003,selected,0.005,3,2,12138,12138,True,0.6825
selected_s0p006/rep0003,selected,0.006,3,2,15481,15477,True,0.8575
selected_s0p007/rep0003,selected,0.007,3,2,14714,14714,False,0.995
selected_s0p008/rep0003,selected,0.008,3,2,14387,14387,False,1.0
selected_s0p009/rep0003,selected,0.009,3,2,15447,15447,False,0.9825
selected_s0p010/rep0003,selected,0.01,3,2,15498,15498,False,1.0
neutral/rep0004,neutral,0.0,4,4,13469,13469,True,0.07
selected_s0p001/rep0004,selected,0.001,4,4,14375,14375,True,0.065
selected_s0p002/rep0004,selected,0.002,4,4,13174,13174,True,0.0525
selected_s0p003/rep0004,selected,0.003,4,4,14980,14980,True,0.265
selected_s0p004/rep0004,selected,0.004,4,4,14250,14249,True,0.8575
selected_s0p005/rep0004,selected,0.005,4,4,13448,13448,True,0.7225
selected_s0p006/rep0004,selected,0.006,4,4,14330,14330,True,0.93
selected_s0p007/rep0004,selected,0.007,4,4,14522,14522,False,0.9525
selected_s0p008/rep0004,selected,0.008,4,4,14043,14043,False,1.0
selected_s0p009/rep0004,selected,0.009,4,4,15142,15142,False,0.9975
selected_s0p010/rep0004,selected,0.01,4,4,14031,14031,False,1.0
neutral/rep0005,neutral,0.0,5,3,16271,16271,True,0.3175
selected_s0p001/rep0005,selected,0.001,5,3,13561,13561,False,0.0425
selected_s0p002/rep0005,selected,0.002,5,3,15150,15150,True,0.66
selected_s0p003/rep0005,selected,0.003,5,3,14344,14344,True,0.74
selected_s0p004/rep0005,selected,0.004,5,3,15179,15179,True,0.795
selected_s0p005/rep0005,selected,0.005,5,3,14172,14172,True,0.7925
selected_s0p006/rep0005,selected,0.006,5,3,14158,14158,True,0.9325
selected_s0p007/rep0005,selected,0.007,5,3,15572,15572,False,0.9875
selected_s0p008/rep0005,selected,0.008,5,3,16067,16067,False,0.98
selected_s0p009/rep0005,selected,0.009,5,3,13981,13981,False,0.96
selected_s0p010/rep0005,selected,0.01,5,3,16038,16037,False,1.0
neutral/rep0006,neutral,0.0,6,4,13351,13351,True,0.915
selected_s0p001/rep0006,selected,0.001,6,4,15858,15858,False,0.02
selected_s0p002/rep0006,selected,0.002,6,4,14705,14705,True,0.2525
selected_s0p003/rep0006,selected,0.003,6,4,16095,16095,True,0.4675
selected_s0p004/rep0006,selected,0.004,6,4,15542,15542,True,0.81
selected_s0p005/rep0006,selected,0.005,6,4,13516,13516,True,0.48
selected_s0p006/rep0006,selected,0.006,6,4,14599,14599,True,0.87
selected_s0p007/rep0006,selected,0.007,6,4,14576,14576,False,0.9525
selected_s0p008/rep0006,selected,0.008,6,4,15372,15372,False,0.9875
selected_s0p009/rep0006,selected,0.009,6,4,13990,13990,False,1.0
selected_s0p010/rep0006,selected,0.01,6,4,13711,13711,False,0.995
neutral/rep0007,neutral,0.0,7,3,13306,13297,False,0.0025
selected_s0p001/rep0007,selected,0.001,7,3,14049,14049,True,0.075
selected_s0p002/rep0007,selected,0.002,7,3,13421,13421,True,0.3325
selected_s0p003/rep0007,selected,0.003,7,3,14885,14885,True,0.91
selected_s0p004/rep0007,selected,0.004,7,3,15517,15517,True,0.73
selected_s0p005/rep0007,selected,0.005,7,3,13530,13529,True,0.55
selected_s0p006/rep0007,selected,0.006,7,3,13598,13598,True,0.2275
selected_s0p007/rep0007,selected,0.007,7,3,14906,14906,True,0.8875
selected_s0p008/rep0007,selected,0.008,7,3,14832,14832,False,0.99
selected_s0p009/rep0007,selected,0.009,7,3,16517,16515,False,0.96
selected_s0p010/rep0007,selected,0.01,7,3,14414,14414,False,1.0
neutral/rep0008,neutral,0.0,8,4,14912,14912,False,0.0075
selected_s0p001/rep0008,selected,0.001,8,4,14121,14121,False,0.0375
selected_s0p002/rep0008,selected,0.002,8,4,14252,14252,True,0.1725
selected_s0p003/rep0008,selected,0.003,8,4,13871,13871,True,0.565
selected_s0p004/rep0008,selected,0.004,8,4,14642,14641,True,0.1
selected_s0p005/rep0008,selected,0.005,8,4,15627,15627,False,0.99
selected_s0p006/rep0008,selected,0.006,8,4,14131,14131,True,0.5625
selected_s0p007/rep0008,selected,0.007,8,4,13134,13134,False,0.98
selected_s0p008/rep0008,selected,0.008,8,4,15916,15916,False,1.0
selected_s0p009/rep0008,selected,0.009,8,4,15146,15146,False,0.985
selected_s0p010/rep0008,selected,0.01,8,4,14612,14612,False,1.0
neutral/rep0009,neutral,0.0,9,0,14130,14130,False,0.005
selected_s0p001/rep0009,selected,0.001,9,0,15038,15038,True,0.34
selected_s0p002/rep0009,selected,0.002,9,0,15829,15829,True,0.4125
selected_s0p003/rep0009,selected,0.003,9,0,14073,14073,True,0.83
selected_s0p004/rep0009,selected,0.004,9,0,13230,13230,True,0.7275
selected_s0p005/rep0009,selected,0.005,9,0,16330,16330,True,0.9225
selected_s0p006/rep0009,selected,0.006,9,0,15684,15684,False,0.98
selected_s0p007/rep0009,selected,0.007,9,0,14189,14189,True,0.8725
selected_s0p008/rep0009,selected,0.008,9,0,15776,15776,False,0.9925
selected_s0p009/rep0009,selected,0.009,9,0,15716,15716,False,0.99
selected_s0p010/rep0009,selected,0.01,9,0,14745,14745,False,0.9925
neutral/rep0010,neutral,0.0,10,4,13183,13183,True,0.07
selected_s0p001/rep0010,selected,0.001,10,2,15076,15076,False,0.015
selected_s0p002/rep0010,selected,0.002,10,2,14470,14470,True,0.735
selected_s0p003/rep0010,selected,0.003,10,2,14421,14421,True,0.545
selected_s0p004/rep0010,selected,0.004,10,2,14771,14771,False,0.995
selected_s0p005/rep0010,selected,0.005,10,2,13539,13539,False,0.9875
selected_s0p006/rep0010,selected,0.006,10,2,14653,14653,False,0.9925
selected_s0p007/rep0010,selected,0.007,10,2,15253,15253,True,0.83
selected_s0p008/rep0010,selected,0.008,10,2,14451,14451,False,0.985
selected_s0p009/rep0010,selected,0.009,10,2,13859,13859,False,1.0
selected_s0p010/rep0010,selected,0.01,10,2,14106,14106,False,1.0
neutral/rep0011,neutral,0.0,11,3,14006,14006,True,0.475
selected_s0p001/rep0011,selected,0.001,11,3,15609,15609,True,0.1475
selected_s0p002/rep0011,selected,0.002,11,3,14061,14061,True,0.4875
selected_s0p003/rep0011,selected,0.003,11,3,14909,14909,True,0.215
selected_s0p004/rep0011,selected,0.004,11,3,14077,14077,False,0.9875
selected_s0p005/rep0011,selected,0.005,11,3,14975,14975,True,0.6925
selected_s0p006/rep0011,selected,0.006,11,3,15122,15122,True,0.9275
selected_s0p007/rep0011,selected,0.007,11,3,13646,13646,True,0.935
selected_s0p008/rep0011,selected,0.008,11,3,16157,16157,True,0.9325
selected_s0p009/rep0011,selected,0.009,11,3,13729,13729,True,0.95
selected_s0p010/rep0011,selected,0.01,11,3,15705,15705,False,0.9975
neutral/rep0012,neutral,0.0,12,3,15065,15065,False,0.0025
selected_s0p001/rep0012,selected,0.001,12,2,15762,15762,True,0.325
selected_s0p002/rep0012,selected,0.002,12,2,14455,14455,True,0.2225
selected_s0p003/rep0012,selected,0.003,12,2,14697,14697,True,0.65
selected_s0p004/rep0012,selected,0.004,12,2,14614,14614,True,0.26
selected_s0p005/rep0012,selected,0.005,12,2,14543,14543,True,0.7525
selected_s0p006/rep0012,selected,0.006,12,2,14881,14881,True,0.9425
selected_s0p007/rep0012,selected,0.007,12,2,14365,14365,False,0.96
selected_s0p008/rep0012,selected,0.008,12,2,15009,15009,False,0.9625
