fold,scheme,method,alpha,threshold,comparison
0,grid10kb,af_r1,0.01,0.7425,strictly greater
0,grid10kb,af_r1,0.05,0.6275,strictly greater
0,grid10kb,af_r1,0.1,0.5825,strictly greater
0,grid10kb,af_r2,0.01,0.7025,strictly greater
0,grid10kb,af_r2,0.05,0.59,strictly greater
0,grid10kb,af_r2,0.1,0.5325,strictly greater
0,grid10kb,af_r3,0.01,0.6675,strictly greater
0,grid10kb,af_r3,0.05,0.5725,strictly greater
0,grid10kb,af_r3,0.1,0.515,strictly greater
0,archaic_sites,af_r1,0.01,0.7425,strictly greater
0,archaic_sites,af_r1,0.05,0.6375,strictly greater
0,archaic_sites,af_r1,0.1,0.5825,strictly greater
0,archaic_sites,af_r2,0.01,0.7325,strictly greater
0,archaic_sites,af_r2,0.05,0.6075,strictly greater
0,archaic_sites,af_r2,0.1,0.555,strictly greater
0,archaic_sites,af_r3,0.01,0.71,strictly greater
0,archaic_sites,af_r3,0.05,0.58,strictly greater
0,archaic_sites,af_r3,0.1,0.525,strictly greater
1,grid10kb,af_r1,0.01,0.7725,strictly greater
1,grid10kb,af_r1,0.05,0.6675,strictly greater
1,grid10kb,af_r1,0.1,0.595,strictly greater
1,grid10kb,af_r2,0.01,0.73,strictly greater
1,grid10kb,af_r2,0.05,0.64,strictly greater
1,grid10kb,af_r2,0.1,0.555,strictly greater
1,grid10kb,af_r3,0.01,0.7025,strictly greater
1,grid10kb,af_r3,0.05,0.59,strictly greater
1,grid10kb,af_r3,0.1,0.5275,strictly greater
1,archaic_sites,af_r1,0.01,0.7725,strictly greater
1,archaic_sites,af_r1,0.05,0.6675,strictly greater
1,archaic_sites,af_r1,0.1,0.6,strictly greater
1,archaic_sites,af_r2,0.01,0.755,strictly greater
1,archaic_sites,af_r2,0.05,0.6475,strictly greater
1,archaic_sites,af_r2,0.1,0.57,strictly greater
1,archaic_sites,af_r3,0.01,0.7325,strictly greater
1,archaic_sites,af_r3,0.05,0.5925,strictly greater
1,archaic_sites,af_r3,0.1,0.545,strictly greater
2,grid10kb,af_r1,0.01,0.775,strictly greater
2,grid10kb,af_r1,0.05,0.67,strictly greater
2,grid10kb,af_r1,0.1,0.6175,strictly greater
2,grid10kb,af_r2,0.01,0.7425,strictly greater
2,grid10kb,af_r2,0.05,0.6325,strictly greater
2,grid10kb,af_r2,0.1,0.5775,strictly greater
2,grid10kb,af_r3,0.01,0.7325,strictly greater
2,grid10kb,af_r3,0.05,0.6,strictly greater
2,grid10kb,af_r3,0.1,0.54,strictly greater
2,archaic_sites,af_r1,0.01,0.8175,strictly greater
2,archaic_sites,af_r1,0.05,0.67,strictly greater
2,archaic_sites,af_r1,0.1,0.6225,strictly greater
2,archaic_sites,af_r2,0.01,0.775,strictly greater
2,archaic_sites,af_r2,0.05,0.6475,strictly greater
2,archaic_sites,af_r2,0.1,0.595,strictly greater
2,archaic_sites,af_r3,0.01,0.7425,strictly greater
2,archaic_sites,af_r3,0.05,0.62,strictly greater
2,archaic_sites,af_r3,0.1,0.5575,strictly greater
3,grid10kb,af_r1,0.01,0.82,strictly greater
3,grid10kb,af_r1,0.05,0.6525,strictly greater
3,grid10kb,af_r1,0.1,0.5825,strictly greater
3,grid10kb,af_r2,0.01,0.7825,strictly greater
3,grid10kb,af_r2,0.05,0.6175,strictly greater
3,grid10kb,af_r2,0.1,0.555,strictly greater
3,grid10kb,af_r3,0.01,0.7825,strictly greater
3,grid10kb,af_r3,0.05,0.585,strictly greater
3,grid10kb,af_r3,0.1,0.5125,strictly greater
3,archaic_sites,af_r1,0.01,0.8225,strictly greater
3,archaic_sites,af_r1,0.05,0.6525,strictly greater
3,archaic_sites,af_r1,0.1,0.5875,strictly greater
3,archaic_sites,af_r2,0.01,0.8025,strictly greater
3,archaic_sites,af_r2,0.05,0.6275,strictly greater
3,archaic_sites,af_r2,0.1,0.5625,strictly greater
3,archaic_sites,af_r3,0.01,0.785,strictly greater
3,archaic_sites,af_r3,0.05,0.6025,strictly greater
3,archaic_sites,af_r3,0.1,0.535,strictly greater
4,grid10kb,af_r1,0.01,0.7475,strictly greater
4,grid10kb,af_r1,0.05,0.6275,strictly greater
4,grid10kb,af_r1,0.1,0.5825,strictly greater
4,grid10kb,af_r2,0.01,0.71,strictly greater
4,grid10kb,af_r2,0.05,0.6,strictly greater
4,grid10kb,af_r2,0.1,0.5325,strictly greater
4,grid10kb,af_r3,0.01,0.69,strictly greater
4,grid10kb,af_r3,0.05,0.575,strictly greater
4,grid10kb,af_r3,0.1,0.5125,strictly greater
4,archaic_sites,af_r1,0.01,0.7475,strictly greater
4,archaic_sites,af_r1,0.05,0.635,strictly greater
4,archaic_sites,af_r1,0.1,0.585,strictly greater
4,archaic_sites,af_r2,0.01,0.7325,strictly greater
4,archaic_sites,af_r2,0.05,0.6075,strictly greater
4,archaic_sites,af_r2,0.1,0.5625,strictly greater
4,archaic_sites,af_r3,0.01,0.71,strictly greater
4,archaic_sites,af_r3,0.05,0.59,strictly greater
4,archaic_sites,af_r3,0.1,0.5275,strictly greater
