key,onset_years,fold,grid10kb_r1,grid10kb_r2,grid10kb_r3,archaic_sites_r1,archaic_sites_r2,archaic_sites_r3
onset10000/rep0000,10000,0,0.3075,0.26,0.26,0.315,0.3,0.3
onset50000/rep0000,50000,3,0.68,0.6475,0.6475,0.68,0.6475,0.6475
onset10000/rep0001,10000,3,0.4425,0.44,0.34,0.4425,0.44,0.44
onset50000/rep0001,50000,1,0.745,0.745,0.6975,0.7625,0.745,0.745
onset10000/rep0002,10000,0,0.2975,0.2975,0.2875,0.3,0.2975,0.2975
onset50000/rep0002,50000,4,0.955,0.95,0.92,0.955,0.95,0.92
onset10000/rep0003,10000,0,0.6,0.575,0.5725,0.6625,0.5975,0.575
onset50000/rep0003,50000,2,0.7775,0.7725,0.685,0.7775,0.7725,0.6825
onset10000/rep0004,10000,1,0.44,0.4275,0.425,0.445,0.4425,0.4275
onset50000/rep0004,50000,4,0.7525,0.745,0.735,0.755,0.7525,0.735
onset10000/rep0005,10000,1,0.385,0.38,0.34,0.3875,0.385,0.375
onset50000/rep0005,50000,3,0.7925,0.79,0.67,0.8125,0.7925,0.7925
onset10000/rep0006,10000,1,0.475,0.4325,0.43,0.4875,0.475,0.4325
onset50000/rep0006,50000,4,0.48,0.4725,0.4175,0.4925,0.48,0.425
onset10000/rep0007,10000,1,0.265,0.22,0.215,0.2675,0.265,0.2175
onset50000/rep0007,50000,3,0.68,0.65,0.64,0.68,0.6425,0.6425
onset10000/rep0008,10000,1,0.49,0.4725,0.45,0.49,0.475,0.4725
onset50000/rep0008,50000,4,0.99,0.99,0.975,0.99,0.99,0.975
onset10000/rep0009,10000,1,0.1625,0.16,0.1575,0.1625,0.16,0.1575
onset50000/rep0009,50000,0,0.9225,0.9175,0.9175,0.925,0.9225,0.9225
onset10000/rep0010,10000,0,0.4,0.3875,0.37,0.41,0.3825,0.3325
onset50000/rep0010,50000,2,0.9875,0.985,0.975,0.9875,0.9875,0.985
onset10000/rep0011,10000,2,0.5925,0.5875,0.5675,0.5975,0.5875,0.5875
onset50000/rep0011,50000,3,0.6925,0.675,0.6525,0.6925,0.675,0.675
onset10000/rep0012,10000,0,0.4875,0.435,0.435,0.49,0.4875,0.455
onset50000/rep0012,50000,2,0.7525,0.7525,0.75,0.8125,0.7525,0.7525
onset10000/rep0013,10000,2,0.2925,0.2475,0.2475,0.2925,0.2475,0.2475
onset50000/rep0013,50000,4,0.92,0.91,0.91,0.9275,0.92,0.905
onset10000/rep0014,10000,4,0.455,0.44,0.44,0.46,0.455,0.4525
onset50000/rep0014,50000,2,0.915,0.875,0.875,0.915,0.8775,0.875
onset10000/rep0015,10000,2,0.275,0.275,0.2625,0.29,0.275,0.2725
onset50000/rep0015,50000,0,0.8325,0.805,0.805,0.8325,0.8325,0.8
onset10000/rep0016,10000,0,0.4525,0.435,0.4125,0.4525,0.45,0.44
onset50000/rep0016,50000,4,0.7925,0.76,0.755,0.82,0.7925,0.76
onset10000/rep0017,10000,1,0.385,0.3175,0.3175,0.395,0.39,0.3175
onset50000/rep0017,50000,2,0.9025,0.8875,0.8675,0.9025,0.9025,0.865
onset10000/rep0018,10000,3,0.72,0.645,0.6275,0.725,0.7175,0.645
onset50000/rep0018,50000,1,0.9325,0.93,0.9275,0.9475,0.935,0.93
onset10000/rep0019,10000,3,0.715,0.71,0.7025,0.715,0.71,0.7075
onset50000/rep0019,50000,0,0.8075,0.795,0.795,0.8075,0.8075,0.795
onset10000/rep0020,10000,2,0.3625,0.3575,0.3425,0.3625,0.3575,0.3425
onset50000/rep0020,50000,3,0.56,0.5575,0.5525,0.5675,0.565,0.5575
onset10000/rep0021,10000,2,0.225,0.215,0.2125,0.225,0.225,0.2175
onset50000/rep0021,50000,2,0.9675,0.9625,0.9575,0.9725,0.9675,0.9575
onset10000/rep0022,10000,3,0.4925,0.4825,0.46,0.4925,0.4825,0.46
onset50000/rep0022,50000,1,0.935,0.9025,0.83,0.935,0.905,0.9
onset10000/rep0023,10000,1,0.66,0.645,0.625,0.665,0.625,0.61
onset50000/rep0023,50000,2,0.755,0.75,0.635,0.765,0.76,0.7475
onset10000/rep0024,10000,3,0.3,0.295,0.2125,0.3125,0.3,0.295
onset50000/rep0024,50000,1,0.49,0.4825,0.155,0.49,0.49,0.2075
onset10000/rep0025,10000,3,0.4475,0.3825,0.375,0.4475,0.3925,0.3625
onset50000/rep0025,50000,0,0.885,0.83,0.825,0.8925,0.845,0.845
onset10000/rep0026,10000,1,0.6575,0.655,0.6525,0.6575,0.655,0.58
onset50000/rep0026,50000,2,0.8175,0.81,0.8025,0.8175,0.805,0.8025
onset10000/rep0027,10000,0,0.3875,0.385,0.3825,0.395,0.3875,0.3875
onset50000/rep0027,50000,0,0.91,0.9075,0.9025,0.92,0.91,0.9075
onset10000/rep0028,10000,0,0.61,0.595,0.56,0.6425,0.605,0.595
onset50000/rep0028,50000,2,0.715,0.695,0.615,0.715,0.71,0.695
onset10000/rep0029,10000,2,0.635,0.605,0.605,0.635,0.615,0.605
onset50000/rep0029,50000,0,0.9475,0.92,0.66,0.965,0.9475,0.92
onset10000/rep0030,10000,1,0.4625,0.4525,0.44,0.5275,0.4525,0.4425
onset50000/rep0030,50000,0,0.925,0.9,0.8975,0.925,0.9025,0.9
onset10000/rep0031,10000,0,0.5625,0.5525,0.5475,0.5625,0.56,0.56
onset50000/rep0031,50000,4,0.865,0.855,0.855,0.865,0.8575,0.8525
onset10000/rep0032,10000,1,0.435,0.4,0.3925,0.48,0.4275,0.4
onset50000/rep0032,50000,4,0.9225,0.875,0.6775,0.9225,0.7125,0.6675
onset10000/rep0033,10000,3,0.795,0.7375,0.7275,0.795,0.795,0.74
onset50000/rep0033,50000,4,0.615,0.545,0.47,0.635,0.6175,0.4825
onset10000/rep0034,10000,1,0.4825,0.4425,0.44,0.485,0.4825,0.4425
onset50000/rep0034,50000,2,0.835,0.815,0.78,0.835,0.8325,0.7875
onset10000/rep0035,10000,4,0.4625,0.46,0.43,0.48,0.4625,0.445
onset50000/rep0035,50000,4,0.9725,0.9375,0.9375,0.9725,0.9475,0.9175
onset10000/rep0036,10000,1,0.3975,0.38,0.295,0.3975,0.38,0.335
onset50000/rep0036,50000,4,0.6225,0.6025,0.6,0.635,0.6225,0.605
onset10000/rep0037,10000,4,0.6475,0.5825,0.5825,0.6475,0.645,0.585
onset50000/rep0037,50000,1,0.95,0.9325,0.9325,0.95,0.935,0.9325
onset10000/rep0038,10000,2,0.695,0.685,0.6725,0.695,0.6875,0.6675
onset50000/rep0038,50000,1,0.82,0.775,0.735,0.825,0.82,0.775
onset10000/rep0039,10000,1,0.435,0.4175,0.3975,0.435,0.4175,0.4025
onset50000/rep0039,50000,3,0.9175,0.89,0.875,0.9175,0.89,0.8675
onset10000/rep0040,10000,4,0.575,0.555,0.555,0.58,0.575,0.56
onset50000/rep0040,50000,0,0.5925,0.5875,0.585,0.5975,0.595,0.555
onset10000/rep0041,10000,1,0.6275,0.6125,0.605,0.6275,0.61,0.61
onset50000/rep0041,50000,0,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925
onset10000/rep0042,10000,3,0.5925,0.5825,0.57,0.6,0.57,0.57
onset50000/rep0042,50000,2,0.37,0.355,0.355,0.3725,0.37,0.37
onset10000/rep0043,10000,1,0.7075,0.6825,0.675,0.725,0.7075,0.6825
onset50000/rep0043,50000,0,0.8925,0.8875,0.8875,0.8925,0.89,0.89
