scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,decoded,af_r1,0.01,10000,1,100,12,1000,0.01,0.012,0.0017674320641406505,0.054486196178705315,0.006877647806403522,0.02085726847549828,0.5454545454545455,0.019569471624266144,0.9152542372881355,0.017889087656529516,0.991652754590985,0.009099181073703368
archaic_sites,decoded,af_r1,0.01,50000,63,100,12,1000,0.63,0.012,0.5322052958094291,0.7181763946567546,0.006877647806403522,0.02085726847549828,0.018691588785046728,0.7673568818514008,0.14634146341463414,0.7249712313003452,0.6534653465346534,0.447125621007807
archaic_sites,decoded,af_r1,0.05,10000,14,100,52,1000,0.14,0.052,0.08526343659939134,0.22137188210963837,0.03987303628377742,0.06755573931927998,0.2708333333333333,0.2348993288590604,0.769736842105263,0.17412935323383083,0.9735249621785175,0.044529262086514
archaic_sites,decoded,af_r1,0.05,50000,85,100,52,1000,0.85,0.052,0.7671644040916763,0.9069401471634337,0.03987303628377742,0.06755573931927998,0.057649667405764965,0.8937960042060987,0.3550834597875569,0.7333908541846419,0.8582860953651217,0.24292655044298372
archaic_sites,decoded,af_r1,0.1,10000,22,100,96,1000,0.22,0.096,0.150012823846054,0.31070353514985793,0.07925690009839675,0.11583512075793179,0.3037974683544304,0.3343465045592705,0.7970479704797048,0.21113243761996164,0.9773755656108598,0.041029466616933984
archaic_sites,decoded,af_r1,0.1,50000,92,100,96,1000,0.92,0.096,0.8500189229905127,0.9589065385156194,0.07925690009839675,0.11583512075793179,0.09448818897637795,0.9126984126984128,0.484304932735426,0.6609195402298852,0.9117421335379893,0.16106442577030813
archaic_sites,decoded,af_r2,0.01,10000,0,100,13,1000,0.0,0.013,3.469446951953614e-18,0.03699349820698568,0.0076128203893510256,0.022114442375579666,1.0,0.0,1.0,0.0,1.0,0.0
archaic_sites,decoded,af_r2,0.01,50000,65,100,13,1000,0.65,0.013,0.5525444329688796,0.7363575175690247,0.0076128203893510256,0.022114442375579666,0.0196078431372549,0.7817197835237524,0.15254237288135591,0.7357102433503113,0.6644295302013423,0.442628532516173
archaic_sites,decoded,af_r2,0.05,10000,12,100,52,1000,0.12,0.052,0.06999406437019488,0.19812099426711421,0.03987303628377742,0.06755573931927998,0.3023255813953489,0.204778156996587,0.7959183673469388,0.15113350125944583,0.9772209567198178,0.03828972559029993
archaic_sites,decoded,af_r2,0.05,50000,87,100,52,1000,0.87,0.052,0.7901964855992357,0.9224283257275948,0.03987303628377742,0.06755573931927998,0.05639913232104121,0.9053069719042663,0.34977578475336324,0.7442258340461932,0.8554336989032901,0.24793388429752067
archaic_sites,decoded,af_r2,0.1,10000,26,100,102,1000,0.26,0.102,0.18404698464748132,0.3537098944918718,0.08473913518484719,0.12230696456965467,0.281767955801105,0.381791483113069,0.7792869269949066,0.23875114784205695,0.9748986290789727,0.045782708223278755
archaic_sites,decoded,af_r2,0.1,50000,93,100,102,1000,0.93,0.102,0.8625048526092651,0.9656807389327273,0.08473913518484719,0.12230696456965467,0.09883720930232558,0.9153543307086615,0.49675324675324667,0.6530898876404494,0.9156692056583242,0.154639175257732
archaic_sites,decoded,af_r3,0.01,10000,0,100,11,1000,0.0,0.011,3.469446951953614e-18,0.03699349820698568,0.006153174098086638,0.019589395700786275,1.0,0.0,1.0,0.0,1.0,0.0
archaic_sites,decoded,af_r3,0.01,50000,67,100,11,1000,0.67,0.011,0.5730534379509052,0.7543687726587197,0.006153174098086638,0.019589395700786275,0.016152716593245225,0.7971445568114219,0.12873862158647595,0.7574901074053138,0.61910176236498,0.48568321855744845
archaic_sites,decoded,af_r3,0.05,10000,13,100,51,1000,0.13,0.051,0.07757167427240512,0.20980351440076428,0.03900094277526684,0.06643548634476165,0.281767955801105,0.22015241320914483,0.7792869269949066,0.16362492133417247,0.9748986290789727,0.04207800614986245
archaic_sites,decoded,af_r3,0.05,50000,87,100,51,1000,0.87,0.051,0.7901964855992357,0.9224283257275948,0.03900094277526684,0.06643548634476165,0.05537459283387622,0.9057782404997397,0.3453724604966139,0.7471017604121941,0.8530157121135327,0.25148142795201617
archaic_sites,decoded,af_r3,0.1,10000,25,100,103,1000,0.25,0.103,0.17545211362287672,0.34304463548061603,0.08565481000508716,0.1233836362324436,0.29178470254957506,0.36954915003695493,0.7875955819881053,0.2296738631143776,0.9760696850770556,0.04367956669869835
archaic_sites,decoded,af_r3,0.1,50000,92,100,103,1000,0.92,0.103,0.8500189229905127,0.9589065385156194,0.08565481000508716,0.1233836362324436,0.10068426197458454,0.9095402867029164,0.5018949648077964,0.646294344924482,0.9172438607538005,0.15185276883717094
archaic_sites,decoded,all_r1_T10000,0.01,10000,2,100,12,1000,0.02,0.012,0.00550196755016235,0.07001179072854388,0.006877647806403522,0.02085726847549828,0.375,0.03875968992248062,0.84375,0.035460992907801414,0.9834437086092714,0.018115942028985504
archaic_sites,decoded,all_r1_T10000,0.01,50000,15,100,12,1000,0.15,0.012,0.0930598528365663,0.23283559590832364,0.006877647806403522,0.02085726847549828,0.07407407407407407,0.25817555938037867,0.4186046511627907,0.2384737678855326,0.8878923766816144,0.1283147989734816
archaic_sites,decoded,all_r1_T10000,0.05,10000,9,100,50,1000,0.09,0.05,0.04807254000256516,0.1622621285271631,0.03813026239274882,0.06531382024425081,0.35714285714285715,0.15789473684210523,0.8333333333333334,0.11688311688311685,0.9821428571428572,0.029801324503311258
archaic_sites,decoded,all_r1_T10000,0.05,50000,32,100,50,1000,0.32,0.05,0.23669147324999093,0.41662618610452384,0.03813026239274882,0.06531382024425081,0.13513513513513514,0.46715328467153283,0.5844155844155844,0.36158192090395475,0.9392789373814041,0.10207336523125997
archaic_sites,decoded,all_r1_T10000,0.1,10000,20,100,100,1000,0.2,0.1,0.1333669333310325,0.2888291655931589,0.08290944359309571,0.1201519631953484,0.3333333333333333,0.3076923076923077,0.8181818181818181,0.1904761904761905,0.9801980198019802,0.036036036036036036
archaic_sites,decoded,all_r1_T10000,0.1,50000,42,100,100,1000,0.42,0.1,0.3279838267435473,0.5179351329695703,0.08290944359309571,0.1201519631953484,0.19230769230769232,0.5526315789473684,0.6818181818181819,0.36206896551724144,0.9593023255813954,0.07420494699646642
archaic_sites,decoded,all_r1_T20000,0.01,10000,0,100,11,1000,0.0,0.011,3.469446951953614e-18,0.03699349820698568,0.006153174098086638,0.019589395700786275,1.0,0.0,1.0,0.0,1.0,0.0
