key,onset_years,fold,markers,valid_grid_positions,class_partition,native_decoded_counts_exact,original_decoded_grid_changed_cells,original_decoded_grid_max_abs_count_difference,original_truth_exact
neutral/rep0000,0,1,818,244,True,True,0,0,True
onset50000/rep0000,50000,3,1022,313,True,True,0,0,True
neutral/rep0001,0,3,501,155,True,True,0,0,True
onset50000/rep0001,50000,1,204,62,True,True,0,0,True
neutral/rep0002,0,4,263,83,True,True,0,0,True
onset50000/rep0002,50000,4,1963,607,True,True,0,0,True
neutral/rep0003,0,3,455,136,True,True,0,0,True
onset50000/rep0003,50000,2,384,105,True,True,0,0,True
neutral/rep0004,0,4,271,89,True,True,0,0,True
onset50000/rep0004,50000,4,244,77,True,True,0,0,True
neutral/rep0005,0,3,1502,455,True,True,0,0,True
onset50000/rep0005,50000,3,575,182,True,True,0,0,True
neutral/rep0006,0,4,0,0,True,True,0,0,True
onset50000/rep0006,50000,4,366,119,True,True,0,0,True
neutral/rep0007,0,3,18,8,True,True,0,0,True
onset50000/rep0007,50000,3,341,96,True,True,0,0,True
neutral/rep0008,0,4,1063,324,True,True,0,0,True
onset50000/rep0008,50000,4,990,308,True,True,0,0,True
neutral/rep0009,0,0,964,303,True,True,0,0,True
onset50000/rep0009,50000,0,1651,510,True,True,0,0,True
neutral/rep0010,0,4,182,60,True,True,0,0,True
onset50000/rep0010,50000,2,207,66,True,True,0,0,True
neutral/rep0011,0,3,379,133,True,True,0,0,True
onset50000/rep0011,50000,3,1019,306,True,True,0,0,True
neutral/rep0012,0,3,893,274,True,True,0,0,True
onset50000/rep0012,50000,2,1085,324,True,True,0,0,True
neutral/rep0013,0,2,112,33,True,True,0,0,True
onset50000/rep0013,50000,4,600,172,True,True,0,0,True
neutral/rep0014,0,2,0,0,True,True,0,0,True
onset50000/rep0014,50000,2,69,21,True,True,0,0,True
neutral/rep0015,0,4,1299,388,True,True,0,0,True
onset50000/rep0015,50000,0,806,243,True,True,0,0,True
neutral/rep0016,0,1,999,313,True,True,0,0,True
onset50000/rep0016,50000,4,1065,324,True,True,0,0,True
neutral/rep0017,0,0,719,220,True,True,0,0,True
onset50000/rep0017,50000,2,709,217,True,True,0,0,True
neutral/rep0018,0,3,465,145,True,True,0,0,True
onset50000/rep0018,50000,1,1172,359,True,True,0,0,True
neutral/rep0019,0,1,1610,479,True,True,0,0,True
onset50000/rep0019,50000,0,647,195,True,True,0,0,True
neutral/rep0020,0,4,113,40,True,True,0,0,True
onset50000/rep0020,50000,3,535,164,True,True,0,0,True
neutral/rep0021,0,1,139,41,True,True,0,0,True
onset50000/rep0021,50000,2,1082,324,True,True,0,0,True
neutral/rep0022,0,1,162,51,True,True,0,0,True
onset50000/rep0022,50000,1,632,196,True,True,0,0,True
neutral/rep0023,0,3,55,19,True,True,0,0,True
onset50000/rep0023,50000,2,664,199,True,True,0,0,True
neutral/rep0024,0,2,508,147,True,True,0,0,True
onset50000/rep0024,50000,1,138,42,True,True,0,0,True
neutral/rep0025,0,4,0,0,True,True,0,0,True
onset50000/rep0025,50000,0,1016,315,True,True,0,0,True
neutral/rep0026,0,3,691,215,True,True,0,0,True
onset50000/rep0026,50000,2,433,130,True,True,0,0,True
neutral/rep0027,0,0,843,263,True,True,0,0,True
onset50000/rep0027,50000,0,992,313,True,True,0,0,True
neutral/rep0028,0,4,31,10,True,True,0,0,True
onset50000/rep0028,50000,2,1274,386,True,True,0,0,True
neutral/rep0029,0,2,701,228,True,True,0,0,True
onset50000/rep0029,50000,0,497,166,True,True,0,0,True
neutral/rep0030,0,4,75,26,True,True,0,0,True
onset50000/rep0030,50000,0,1003,293,True,True,0,0,True
neutral/rep0031,0,4,600,180,True,True,0,0,True
onset50000/rep0031,50000,4,1617,473,True,True,0,0,True
neutral/rep0032,0,4,221,75,True,True,0,0,True
onset50000/rep0032,50000,4,1413,418,True,True,0,0,True
neutral/rep0033,0,3,378,123,True,True,0,0,True
onset50000/rep0033,50000,4,1364,404,True,True,0,0,True
neutral/rep0034,0,2,686,228,True,True,0,0,True
onset50000/rep0034,50000,2,811,251,True,True,0,0,True
neutral/rep0035,0,1,354,111,True,True,0,0,True
onset50000/rep0035,50000,4,1298,387,True,True,0,0,True
neutral/rep0036,0,0,765,245,True,True,0,0,True
onset50000/rep0036,50000,4,1027,309,True,True,0,0,True
neutral/rep0037,0,0,155,45,True,True,0,0,True
onset50000/rep0037,50000,1,1516,472,True,True,0,0,True
neutral/rep0038,0,4,400,130,True,True,0,0,True
onset50000/rep0038,50000,1,715,225,True,True,0,0,True
neutral/rep0039,0,3,495,157,True,True,0,0,True
onset50000/rep0039,50000,3,358,111,True,True,0,0,True
neutral/rep0040,0,2,761,231,True,True,0,0,True
onset50000/rep0040,50000,0,1521,464,True,True,0,0,True
neutral/rep0041,0,0,430,135,True,True,0,0,True
onset50000/rep0041,50000,0,1516,449,True,True,0,0,True
neutral/rep0042,0,4,275,86,True,True,0,0,True
onset50000/rep0042,50000,2,264,80,True,True,0,0,True
neutral/rep0043,0,2,380,120,True,True,0,0,True
onset50000/rep0043,50000,0,846,237,True,True,0,0,True
neutral/rep0044,0,4,100,32,True,True,0,0,True
onset50000/rep0044,50000,4,430,137,True,True,0,0,True
neutral/rep0045,0,4,297,92,True,True,0,0,True
onset50000/rep0045,50000,0,618,181,True,True,0,0,True
neutral/rep0046,0,4,543,155,True,True,0,0,True
onset50000/rep0046,50000,0,964,291,True,True,0,0,True
neutral/rep0047,0,3,753,238,True,True,0,0,True
onset50000/rep0047,50000,0,845,251,True,True,0,0,True
neutral/rep0048,0,3,576,183,True,True,0,0,True
onset50000/rep0048,50000,3,1441,424,True,True,0,0,True
neutral/rep0049,0,2,293,96,True,True,0,0,True
onset50000/rep0049,50000,3,969,300,True,True,0,0,True
neutral/rep0050,0,4,1516,452,True,True,0,0,True
onset50000/rep0050,50000,2,1345,409,True,True,0,0,True
neutral/rep0051,0,4,507,163,True,True,0,0,True
