scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01,target_onset
archaic_sites,decoded,af_r1,0.7,10000,72,100,491,1000,0.72,0.491,0.6251197129007884,0.7986031478881379,0.46010903314721446,0.5219598485055256,0.4054500412881916,0.6512890094979648,0.8598949211908932,0.23456589021013194,0.9854041233351578,0.02861173478511395,10000
archaic_sites,decoded,joint_g50_r1_T50000,0.7,10000,72,100,475,1000,0.72,0.475,0.6251197129007884,0.7986031478881379,0.44420380838551404,0.5059875295387637,0.397489539748954,0.6560364464692483,0.8558558558558559,0.24020016680567136,0.9849198868991518,0.029541491435018975,10000
archaic_sites,decoded,tuned_all,0.7,10000,75,100,585,1000,0.75,0.585,0.656955364519384,0.8245478863771232,0.5541928113038582,0.6151566397535974,0.4382022471910112,0.6423982869379015,0.8753117206982545,0.21382751247327159,0.9872155458961903,0.025140367049358923,10000
archaic_sites,decoded,tuned_joint,0.7,10000,70,100,455,1000,0.7,0.455,0.6041514536665332,0.7810511470506724,0.42436684599858754,0.48597756226511246,0.3939393939393939,0.6496519721577726,0.8540145985401459,0.2415875754961173,0.9846977811782708,0.029949727243555456,10000
archaic_sites,truth,af_r1,0.7,10000,72,100,491,1000,0.72,0.491,0.6251197129007884,0.7986031478881379,0.46010903314721446,0.5219598485055256,0.4054500412881916,0.6512890094979648,0.8598949211908932,0.23456589021013194,0.9854041233351578,0.02861173478511395,10000
archaic_sites,truth,joint_g50_r1_T50000,0.7,10000,70,100,483,1000,0.7,0.483,0.6041514536665332,0.7810511470506724,0.45215246974959655,0.5139776400389123,0.4082840236686391,0.641319285387082,0.8613037447988905,0.23151976186538775,0.985572067522724,0.02827311832300018,10000
archaic_sites,truth,tuned_all,0.7,10000,70,100,485,1000,0.7,0.485,0.6041514536665332,0.7810511470506724,0.4541408702709699,0.5159739324835967,0.4092827004219409,0.6407322654462242,0.861796643632774,0.23083264633140968,0.9856307092271375,0.02816051493513024,10000
archaic_sites,truth,tuned_joint,0.7,10000,75,100,464,1000,0.75,0.464,0.656955364519384,0.8245478863771232,0.43328733184788387,0.49498819476307615,0.38220757825370677,0.6775067750677507,0.8477466504263094,0.2531218359770503,0.9839352268345971,0.03145577318290483,10000
grid10kb,decoded,af_r1,0.7,10000,74,100,481,1000,0.74,0.481,0.6462901055081282,0.8159530153525186,0.4501645630755934,0.5119808537468576,0.3939393939393939,0.6663665015758667,0.8540145985401459,0.243862250782666,0.9846977811782708,0.029984400008103894,10000
grid10kb,decoded,joint_g50_r1_T50000,0.7,10000,70,100,493,1000,0.7,0.493,0.6041514536665332,0.7810511470506724,0.46209940740448396,0.5239541672143138,0.413243922883487,0.6383948928408573,0.8637336967101422,0.2281244907935473,0.9858605853717656,0.027718930049300095,10000
grid10kb,decoded,tuned_all,0.7,10000,75,100,656,1000,0.75,0.656,0.656955364519384,0.8245478863771232,0.6260105435553518,0.684795507797155,0.4665718349928876,0.6234413965087281,0.8872858431018936,0.1959759602822054,0.9885834322769204,0.022490778780699914,10000
grid10kb,decoded,tuned_joint,0.7,10000,75,100,469,1000,0.75,0.469,0.656955364519384,0.8245478863771232,0.438247507417386,0.49998975160871834,0.38474159146841674,0.6759801712483101,0.8491249245624622,0.25121420197621847,0.984103770585617,0.031132604138560845,10000
grid10kb,truth,af_r1,0.7,10000,74,100,481,1000,0.74,0.481,0.6462901055081282,0.8159530153525186,0.4501645630755934,0.5119808537468576,0.3939393939393939,0.6663665015758667,0.8540145985401459,0.243862250782666,0.9846977811782708,0.029984400008103894,10000
grid10kb,truth,joint_g50_r1_T50000,0.7,10000,70,100,477,1000,0.7,0.477,0.6041514536665332,0.7810511470506724,0.44619023214492903,0.5079857987454065,0.40526762956669493,0.6430868167202571,0.8598037252153015,0.23360587351910558,0.9853932349811155,0.02861639719559307,10000
grid10kb,truth,tuned_all,0.7,10000,69,100,697,1000,0.69,0.697,0.5937394428051057,0.7722030278762395,0.6678076814786311,0.72468457567806,0.5025234318673395,0.5781315458734813,0.9009047824213702,0.17330151952781614,0.9900994360983169,0.01952102754162364,10000
grid10kb,truth,tuned_joint,0.7,10000,71,100,450,1000,0.71,0.45,0.6146110882442888,0.7898516425087772,0.4194153840742968,0.4809672917742588,0.3879310344827587,0.6574074074074073,0.8508403361344538,0.24652777777777773,0.984312859036677,0.030696065715520967,10000
archaic_sites,decoded,af_r1,0.7,50000,71,100,14,1000,0.71,0.014,0.6146110882442888,0.7898516425087772,0.00835757513042392,0.02336203411753566,0.019337016574585638,0.8236658932714617,0.1507177033492823,0.7734204793028321,0.6612595419847329,0.45865633074935397,50000
archaic_sites,decoded,joint_g50_r1_T50000,0.7,50000,72,100,24,1000,0.72,0.024,0.6251197129007884,0.7986031478881379,0.016180168466636995,0.03546290561161149,0.03225806451612903,0.8256880733944953,0.2307692307692308,0.7438016528925618,0.7674418604651162,0.3515625,50000
archaic_sites,decoded,tuned_all,0.7,50000,71,100,303,1000,0.71,0.303,0.6146110882442888,0.7898516425087772,0.27531542432193984,0.3321923185213688,0.299111549851925,0.7054148037754595,0.7934244981088158,0.32003606040117194,0.9768782362327808,0.04478506323524773,50000
archaic_sites,decoded,tuned_joint,0.7,50000,66,100,18,1000,0.66,0.018,0.5627772885472462,0.7453847920265184,0.011415740009567788,0.028273255170507345,0.026548672566371678,0.7866507747318235,0.19708029197080293,0.7244785949506036,0.7297297297297297,0.3834979662986636,50000
archaic_sites,truth,af_r1,0.7,50000,71,100,14,1000,0.71,0.014,0.6146110882442888,0.7898516425087772,0.00835757513042392,0.02336203411753566,0.019337016574585638,0.8236658932714617,0.1507177033492823,0.7734204793028321,0.6612595419847329,0.45865633074935397,50000
archaic_sites,truth,joint_g50_r1_T50000,0.7,50000,69,100,21,1000,0.69,0.021,0.5937394428051057,0.7722030278762395,0.013775739567924286,0.03189029506123752,0.029535864978902957,0.8065458796025716,0.21501706484641642,0.7344332091538051,0.7508125677139762,0.3661448660122048,50000
archaic_sites,truth,tuned_all,0.7,50000,70,100,89,1000,0.7,0.089,0.6041514536665332,0.7810511470506724,0.07288824391300744,0.10825735156211885,0.11280101394169836,0.7825600894354388,0.5336442371752165,0.5597760895641744,0.9264010093575858,0.13319379697459804,50000
archaic_sites,truth,tuned_joint,0.7,50000,70,100,25,1000,0.7,0.025,0.6041514536665332,0.7810511470506724,0.016990131293434067,0.0366452892678433,0.034482758620689655,0.8115942028985508,0.24324324324324328,0.7272727272727272,0.7795275590551182,0.3353293413173652,50000
grid10kb,decoded,af_r1,0.7,50000,70,100,14,1000,0.7,0.014,0.6041514536665332,0.7810511470506724,0.00835757513042392,0.02336203411753566,0.0196078431372549,0.8168028004667445,0.15254237288135594,0.7667031763417305,0.6644295302013423,0.4536616979909267,50000
grid10kb,decoded,joint_g50_r1_T50000,0.7,50000,72,100,19,1000,0.72,0.019,0.6251197129007884,0.7986031478881379,0.012196885750790904,0.02948445591231312,0.02571041948579161,0.8280621046578494,0.19191919191919193,0.7615018508725541,0.7231833910034603,0.3998889197445154,50000
grid10kb,decoded,tuned_all,0.7,50000,71,100,556,1000,0.71,0.556,0.6146110882442888,0.7898516425087772,0.5250491625099077,0.5865222405397102,0.43917851500789895,0.6266548984995587,0.8757437871893595,0.21149836163240984,0.9872654876780141,0.025020262888959366,50000
grid10kb,decoded,tuned_joint,0.7,50000,72,100,20,1000,0.72,0.02,0.6251197129007884,0.7986031478881379,0.012983682916415136,0.030690005229717786,0.02702702702702703,0.8275862068965517,0.20000000000000004,0.7578947368421052,0.7333333333333333,0.3891891891891891,50000
grid10kb,truth,af_r1,0.7,50000,70,100,14,1000,0.7,0.014,0.6041514536665332,0.7810511470506724,0.00835757513042392,0.02336203411753566,0.0196078431372549,0.8168028004667445,0.15254237288135594,0.7667031763417305,0.6644295302013423,0.4536616979909267,50000
grid10kb,truth,joint_g50_r1_T50000,0.7,50000,70,100,19,1000,0.7,0.019,0.6041514536665332,0.7810511470506724,0.012196885750790904,0.02948445591231312,0.02642559109874826,0.8144269924374636,0.1963260619977038,0.7482629609834311,0.7287872917473848,0.3909522479754258,50000
grid10kb,truth,tuned_all,0.7,50000,70,100,300,1000,0.7,0.3,0.6041514536665332,0.7810511470506724,0.2724068424770048,0.3291238609172172,0.3,0.7,0.7941176470588235,0.3181818181818181,0.9769736842105263,0.044585987261146494,50000
grid10kb,truth,tuned_joint,0.7,50000,68,100,22,1000,0.68,0.022,0.5833738138954762,0.7633085267500092,0.014572707764791058,0.03308567334739963,0.031339031339031334,0.799059929494712,0.22551252847380407,0.7241746538871139,0.762071378586424,0.352514256091239,50000
