s,n,mean,median,q05,q95,below_50,census_below_50
0.001,100,0.1766,0.13875,0.015,0.468375,98,97
0.002,100,0.29985,0.255,0.03,0.66525,81,79
0.003,100,0.44364999999999993,0.4475,0.059625,0.870125,55,55
0.004,100,0.597675,0.65875,0.12875,0.952625,35,35
0.005,100,0.783925,0.82125,0.477375,0.980375,10,8
0.006,100,0.81355,0.895,0.244125,0.9926250000000001,10,11
0.007,100,0.9112250000000001,0.9625,0.63625,1.0,3,3
0.008,100,0.9525250000000001,0.9875,0.8925,1.0,2,2
0.009,100,0.9843,0.995,0.944,1.0,0,0
0.01,100,0.99205,0.9975,0.9625,1.0,0,0
