task_id,s,replicate,seed,accepted_attempt,sample_af,census_af,census_alt,census_total,allele_placement_tick,final_tick,final_cycle,historical_af_fields,accepted_run_seconds,archive_checks
selected_s0p006/rep0020,0.006,20,1089285226,0,0.0575,0.05227846419556264,787,15054,2665,41320,8264,,211.768696266,passed
selected_s0p006/rep0060,0.006,60,967584602,0,0.1575,0.1503919224126478,2264,15054,2665,41320,8264,,381.95704382799977,passed
selected_s0p006/rep0082,0.006,82,1686564074,0,0.1725,0.172047296399628,2590,15054,2665,41320,8264,,278.4370302089992,passed
selected_s0p006/rep0075,0.006,75,1651820982,0,0.1875,0.18240999070014613,2746,15054,2665,41320,8264,,140.97246814199934,passed
selected_s0p006/rep0007,0.006,7,883218244,0,0.2275,0.22233293476816793,3347,15054,2665,41320,8264,,308.69414675300004,passed
selected_s0p006/rep0097,0.006,97,1453979424,0,0.245,0.24657898233027767,3712,15054,2665,41320,8264,,124.67705136199993,passed
selected_s0p006/rep0054,0.006,54,1044314338,0,0.26,0.29899030158097517,4501,15054,2665,41320,8264,,210.07989021100002,passed
selected_s0p006/rep0027,0.006,27,949281596,0,0.385,0.38109472565431113,5737,15054,2665,41320,8264,,127.91372089699962,passed
selected_s0p006/rep0055,0.006,55,1303834472,0,0.3925,0.39829945529427396,5996,15054,2665,41320,8264,,211.6514558509998,passed
selected_s0p006/rep0022,0.006,22,891634972,0,0.3925,0.3559186927062575,5358,15054,2665,41320,8264,,112.38142850099985,passed
