task_id,s,replicate,seed,accepted_attempt,sample_af,census_af,census_alt,census_total,allele_placement_tick,final_tick,final_cycle,historical_af_fields,accepted_run_seconds,archive_checks
selected_s0p001/rep0000,0.001,0,737647310,0,0.255,0.26670652318320714,4015,15054,2665,41320,8264,,509.66504057600014,passed
selected_s0p001/rep0001,0.001,1,1624179147,0,0.3325,0.31944998007174175,4809,15054,2665,41320,8264,,838.151978682,passed
selected_s0p001/rep0002,0.001,2,763352808,0,0.0675,0.053806297329613395,810,15054,2665,41320,8264,,723.246984305,passed
selected_s0p001/rep0003,0.001,3,224673723,0,0.15,0.1625481599574864,2447,15054,2665,41320,8264,,125.86303497200004,passed
selected_s0p001/rep0004,0.001,4,647706381,0,0.065,0.046167131659359636,695,15054,2665,41320,8264,,538.013165896,passed
selected_s0p001/rep0005,0.001,5,1644393755,0,0.0425,0.037996545768566495,572,15054,2665,41320,8264,,304.76572921800005,passed
selected_s0p001/rep0006,0.001,6,1978793982,0,0.02,0.0346751693901953,522,15054,2665,41320,8264,,542.645908019,passed
selected_s0p001/rep0007,0.001,7,1444052494,0,0.075,0.0832336920419822,1253,15054,2665,41320,8264,,490.577050179,passed
selected_s0p001/rep0008,0.001,8,145855825,0,0.0375,0.028098844161020327,423,15054,2665,41320,8264,,209.86939226200002,passed
selected_s0p001/rep0009,0.001,9,1246288319,0,0.34,0.3221070811744387,4849,15054,2665,41320,8264,,145.12912730000016,passed
selected_s0p001/rep0010,0.001,10,813306297,0,0.015,0.023581772286435498,355,15054,2665,41320,8264,,119.58247523800014,passed
selected_s0p001/rep0011,0.001,11,435620880,0,0.1475,0.11206323900624418,1687,15054,2665,41320,8264,,659.3778213150001,passed
selected_s0p001/rep0012,0.001,12,136230109,0,0.325,0.3146671980868872,4737,15054,2665,41320,8264,,859.826576572,passed
selected_s0p001/rep0013,0.001,13,1504384487,0,0.2025,0.2356184402816527,3547,15054,2665,41320,8264,,118.65891268200016,passed
selected_s0p001/rep0014,0.001,14,1619347863,0,0.125,0.11917098445595854,1794,15054,2665,41320,8264,,118.05389931599984,passed
selected_s0p001/rep0015,0.001,15,192327078,0,0.3,0.30875514813338645,4648,15054,2665,41320,8264,,645.0324491250001,passed
selected_s0p001/rep0016,0.001,16,1238423922,0,0.1325,0.12481732429918958,1879,15054,2665,41320,8264,,127.86196892499993,passed
selected_s0p001/rep0017,0.001,17,2108307542,0,0.0225,0.017802577388069615,268,15054,2665,41320,8264,,937.9593478400002,passed
selected_s0p001/rep0018,0.001,18,223560123,0,0.1275,0.1423541915769895,2143,15054,2665,41320,8264,,627.659765121,passed
selected_s0p001/rep0019,0.001,19,909926663,0,0.0875,0.062441875913378506,940,15054,2665,41320,8264,,299.8070191420002,passed
selected_s0p001/rep0020,0.001,20,770748528,0,0.015,0.013285505513484789,200,15054,2665,41320,8264,,290.96165015299994,passed
selected_s0p001/rep0021,0.001,21,257786343,0,0.2175,0.2086488640892786,3141,15054,2665,41320,8264,,795.3292223110002,passed
selected_s0p001/rep0022,0.001,22,405172343,0,0.0625,0.05114919622691643,770,15054,2665,41320,8264,,291.1995557770001,passed
selected_s0p001/rep0023,0.001,23,267737881,0,0.01,0.004649926929719676,70,15054,2665,41320,8264,,702.98224544,passed
selected_s0p001/rep0024,0.001,24,1279527223,0,0.1475,0.14780124883751827,2225,15054,2665,41320,8264,,468.5068893540001,passed
selected_s0p001/rep0025,0.001,25,425427615,0,0.1175,0.10422479075328817,1569,15054,2665,41320,8264,,1342.0332748890005,passed
selected_s0p001/rep0026,0.001,26,125318480,0,0.265,0.24259333067623223,3652,15054,2665,41320,8264,,282.2988417319998,passed
selected_s0p001/rep0027,0.001,27,2000764422,0,0.0975,0.11584960807758735,1744,15054,2665,41320,8264,,359.47192409100035,passed
selected_s0p001/rep0028,0.001,28,1899205229,0,0.025,0.015544041450777202,234,15054,2665,41320,8264,,201.65682380099997,passed
selected_s0p001/rep0029,0.001,29,273199479,0,0.0375,0.030224525043177894,455,15054,2665,41320,8264,,122.16794100100014,passed
selected_s0p001/rep0030,0.001,30,1054158525,0,0.095,0.07233957752092467,1089,15054,2665,41320,8264,,211.50039240900014,passed
selected_s0p001/rep0031,0.001,31,834008964,0,0.3,0.25395243789026173,3823,15054,2665,41320,8264,,354.29011006899964,passed
selected_s0p001/rep0032,0.001,32,437946795,0,0.265,0.2669058057659094,4018,15054,2665,41320,8264,,193.62641444300016,passed
selected_s0p001/rep0033,0.001,33,180212915,0,0.0925,0.11226252158894647,1690,15054,2665,41320,8264,,280.6092955509994,passed
selected_s0p001/rep0034,0.001,34,228501788,0,0.25,0.28324697754749567,4264,15054,2665,41320,8264,,192.57905503999973,passed
selected_s0p001/rep0035,0.001,35,1107082264,0,0.21,0.21376378371197025,3218,15054,2665,41320,8264,,280.16386326300017,passed
selected_s0p001/rep0036,0.001,36,1680725955,0,0.1125,0.0990434436030291,1491,15054,2665,41320,8264,,119.86443038299967,passed
selected_s0p001/rep0037,0.001,37,705320061,0,0.4625,0.4687126345157433,7056,15054,2665,41320,8264,,130.16865761600002,passed
selected_s0p001/rep0038,0.001,38,798292064,0,0.3725,0.34283246977547494,5161,15054,2665,41320,8264,,110.9331124170003,passed
selected_s0p001/rep0039,0.001,39,1482564781,0,0.085,0.09193569815331473,1384,15054,2665,41320,8264,,268.23309977700046,passed
selected_s0p001/rep0040,0.001,40,1425461136,0,0.2325,0.21203666799521723,3192,15054,2665,41320,8264,,787.812212494,passed
selected_s0p001/rep0041,0.001,41,1587736253,0,0.1825,0.17888933173907268,2693,15054,2665,41320,8264,,365.57739328499974,passed
selected_s0p001/rep0042,0.001,42,53277369,0,0.105,0.11611531818785704,1748,15054,2665,41320,8264,,196.07615394799996,passed
selected_s0p001/rep0043,0.001,43,101907739,0,0.12,0.13272220007971303,1998,15054,2665,41320,8264,,121.0674905119995,passed
selected_s0p001/rep0044,0.001,44,477906391,0,0.1825,0.16467384083964395,2479,15054,2665,41320,8264,,357.48911636400044,passed
selected_s0p001/rep0045,0.001,45,1311970514,0,0.015,0.015477613923209779,233,15054,2665,41320,8264,,530.8128327180002,passed
selected_s0p001/rep0046,0.001,46,968178150,1,0.18,0.18905274345688852,2846,15054,2665,41320,8264,,717.6425765240001,passed
selected_s0p001/rep0047,0.001,47,749838168,0,0.0225,0.022452504317789293,338,15054,2665,41320,8264,,132.55196724399957,passed
