key,source,s,T,af,mass,aa_frac_recent,aa_pair_fraction
onset50000/rep0000,decoded,0.005,20000,0.4675,0.0773,0.3507259528130672,0.2204
onset50000/rep0000,decoded,0.005,50000,0.4675,0.1816,0.8239564428312159,0.2204
onset50000/rep0001,decoded,0.005,20000,0.745,0.2495,0.44657240021478434,0.5587
onset50000/rep0001,decoded,0.005,50000,0.745,0.4759,0.8517988186862359,0.5587
onset50000/rep0002,decoded,0.005,20000,0.955,0.2152,0.2341930569158777,0.9189
onset50000/rep0002,decoded,0.005,50000,0.955,0.4642,0.5051692240722603,0.9189
onset50000/rep0003,decoded,0.005,20000,0.6825,0.0691,0.14873009040034438,0.4646
onset50000/rep0003,decoded,0.005,50000,0.6825,0.1902,0.40938441670253983,0.4646
onset50000/rep0004,decoded,0.005,20000,0.7225,0.0772,0.1494386372435153,0.5166
onset50000/rep0004,decoded,0.005,50000,0.7225,0.3129,0.6056910569105691,0.5166
onset50000/rep0005,decoded,0.005,20000,0.7925,0.2041,0.32443172786520424,0.6291
onset50000/rep0005,decoded,0.005,50000,0.7925,0.4143,0.6585598474010491,0.6291
onset50000/rep0006,decoded,0.005,20000,0.48,0.0433,0.18760831889081456,0.2308
onset50000/rep0006,decoded,0.005,50000,0.48,0.1354,0.5866551126516465,0.2308
onset50000/rep0007,decoded,0.005,20000,0.55,0.0966,0.3160994764397906,0.3056
onset50000/rep0007,decoded,0.005,50000,0.55,0.2249,0.7359293193717278,0.3056
onset50000/rep0008,decoded,0.005,20000,0.99,0.1475,0.15023426359747402,0.9818
onset50000/rep0008,decoded,0.005,50000,0.99,0.5147,0.5242411896516602,0.9818
onset50000/rep0009,decoded,0.005,20000,0.9225,0.2472,0.2906183870209264,0.8506
onset50000/rep0009,decoded,0.005,50000,0.9225,0.7062,0.8302374794262873,0.8506
onset50000/rep0010,decoded,0.005,20000,0.9875,0.1907,0.1952093356535981,0.9769
onset50000/rep0010,decoded,0.005,50000,0.9875,0.6413,0.656464325928959,0.9769
onset50000/rep0011,decoded,0.005,20000,0.6925,0.1253,0.26569126378286684,0.4716
onset50000/rep0011,decoded,0.005,50000,0.6925,0.389,0.8248515691263782,0.4716
onset50000/rep0012,decoded,0.005,20000,0.7525,0.1028,0.17837931632830123,0.5763
onset50000/rep0012,decoded,0.005,50000,0.7525,0.3423,0.5939614783966684,0.5763
onset50000/rep0013,decoded,0.005,20000,0.91,0.401,0.4847678916827853,0.8272
onset50000/rep0013,decoded,0.005,50000,0.91,0.7449,0.9005077369439072,0.8272
onset50000/rep0014,decoded,0.005,20000,0.8225,0.1799,0.26420913496842413,0.6809
onset50000/rep0014,decoded,0.005,50000,0.8225,0.4919,0.7224262006168307,0.6809
onset50000/rep0015,decoded,0.005,20000,0.8325,0.3182,0.4584353839504394,0.6941
onset50000/rep0015,decoded,0.005,50000,0.8325,0.6128,0.8828699034721221,0.6941
onset50000/rep0016,decoded,0.005,20000,0.755,0.0735,0.12795961002785516,0.5744
onset50000/rep0016,decoded,0.005,50000,0.755,0.3259,0.567374651810585,0.5744
onset50000/rep0017,decoded,0.005,20000,0.9025,0.185,0.22699386503067484,0.815
onset50000/rep0017,decoded,0.005,50000,0.9025,0.5877,0.7211042944785276,0.815
onset50000/rep0018,decoded,0.005,20000,0.9325,0.1213,0.13966609096142774,0.8685
onset50000/rep0018,decoded,0.005,50000,0.9325,0.5442,0.6265975820379965,0.8685
onset50000/rep0019,decoded,0.005,20000,0.795,0.1429,0.22704162694629806,0.6294
onset50000/rep0019,decoded,0.005,50000,0.795,0.5268,0.8369876072449952,0.6294
onset50000/rep0020,decoded,0.005,20000,0.2575,0.0297,0.4640625,0.064
onset50000/rep0020,decoded,0.005,50000,0.2575,0.0542,0.846875,0.064
onset50000/rep0021,decoded,0.005,20000,0.9675,0.2549,0.272620320855615,0.935
onset50000/rep0021,decoded,0.005,50000,0.9675,0.7294,0.7801069518716578,0.935
onset50000/rep0022,decoded,0.005,20000,0.935,0.1151,0.13179892362303905,0.8733
onset50000/rep0022,decoded,0.005,50000,0.935,0.3528,0.4039848849192717,0.8733
onset50000/rep0023,decoded,0.005,20000,0.755,0.2359,0.4155363748458693,0.5677
onset50000/rep0023,decoded,0.005,50000,0.755,0.4467,0.7868592566496388,0.5677
onset50000/rep0024,decoded,0.005,20000,0.49,0.1064,0.4362443624436244,0.2439
onset50000/rep0024,decoded,0.005,50000,0.49,0.219,0.897908979089791,0.2439
onset50000/rep0025,decoded,0.005,20000,0.885,0.1085,0.13881780962128967,0.7816
onset50000/rep0025,decoded,0.005,50000,0.885,0.4401,0.5630757420675537,0.7816
onset50000/rep0026,decoded,0.005,20000,0.81,0.0683,0.10467432950191571,0.6525
onset50000/rep0026,decoded,0.005,50000,0.81,0.329,0.5042145593869731,0.6525
onset50000/rep0027,decoded,0.005,20000,0.865,0.1231,0.1655682582380632,0.7435
onset50000/rep0027,decoded,0.005,50000,0.865,0.4134,0.556018829858776,0.7435
onset50000/rep0028,decoded,0.005,20000,0.5425,0.082,0.2836388792805258,0.2891
onset50000/rep0028,decoded,0.005,50000,0.5425,0.2413,0.834659287443791,0.2891
onset50000/rep0029,decoded,0.005,20000,0.9475,0.2387,0.26522222222222225,0.9
onset50000/rep0029,decoded,0.005,50000,0.9475,0.5451,0.6056666666666667,0.9
onset50000/rep0030,decoded,0.005,20000,0.925,0.1104,0.12865633376063396,0.8581
onset50000/rep0030,decoded,0.005,50000,0.925,0.4919,0.5732432117468826,0.8581
onset50000/rep0031,decoded,0.005,20000,0.855,0.099,0.13544944588863045,0.7309
onset50000/rep0031,decoded,0.005,50000,0.855,0.383,0.5240114926802573,0.7309
onset50000/rep0032,decoded,0.005,20000,0.9225,0.1482,0.17404580152671756,0.8515
onset50000/rep0032,decoded,0.005,50000,0.9225,0.4767,0.5598355842630652,0.8515
onset50000/rep0033,decoded,0.005,20000,0.4875,0.0661,0.2849137931034483,0.232
onset50000/rep0033,decoded,0.005,50000,0.4875,0.1493,0.6435344827586207,0.232
onset50000/rep0034,decoded,0.005,20000,0.815,0.1665,0.25204359673024523,0.6606
onset50000/rep0034,decoded,0.005,50000,0.815,0.4583,0.6937632455343627,0.6606
onset50000/rep0035,decoded,0.005,20000,0.9475,0.1701,0.18916814946619218,0.8992
onset50000/rep0035,decoded,0.005,50000,0.9475,0.6481,0.7207517793594306,0.8992
onset50000/rep0036,decoded,0.005,20000,0.6125,0.0896,0.24327993483573174,0.3683
onset50000/rep0036,decoded,0.005,50000,0.6125,0.3098,0.8411620961172956,0.3683
onset50000/rep0037,decoded,0.005,20000,0.9325,0.3128,0.362877030162413,0.862
onset50000/rep0037,decoded,0.005,50000,0.9325,0.7554,0.8763341067285383,0.862
onset50000/rep0038,decoded,0.005,20000,0.82,0.1834,0.2707410687924417,0.6774
onset50000/rep0038,decoded,0.005,50000,0.82,0.424,0.6259226454089164,0.6774
onset50000/rep0039,decoded,0.005,20000,0.89,0.2802,0.3563525371995422,0.7863
onset50000/rep0039,decoded,0.005,50000,0.89,0.6096,0.7752766119801603,0.7863
onset50000/rep0040,decoded,0.005,20000,0.585,0.0968,0.284037558685446,0.3408
onset50000/rep0040,decoded,0.005,50000,0.585,0.2842,0.8339201877934272,0.3408
onset50000/rep0041,decoded,0.005,20000,0.9925,0.2795,0.2833248859604663,0.9865
onset50000/rep0041,decoded,0.005,50000,0.9925,0.8346,0.8460212873796249,0.9865
onset50000/rep0042,decoded,0.005,20000,0.37,0.0198,0.14296028880866427,0.1385
onset50000/rep0042,decoded,0.005,50000,0.37,0.0716,0.5169675090252708,0.1385
