source,alpha,s,method,n,af_called,mass_called,mass_only,af_only,power_difference,paired_exact_p,interpretation
decoded,0.01,0.005,mass_10000,100,99,97,0,2,-0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_20000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_30000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_40000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_5000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_50000,100,99,98,0,1,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
