key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0000,1,False,,0.0,12c7407969400f3312b0d36dcbc47ff9804239fd4e0b8f44bfccbc632b504f0b
neutral/rep0001,3,False,,0.0,fad83c7bc08510e64a41b9785558952846d0fb944a2b8049e31ce2e44dd21d0a
neutral/rep0002,4,False,,0.0,c6143286cb7f898157fbe2213e96ea22ec7ce13a67966487d7e7dbae901a18a9
neutral/rep0003,3,False,,0.0,a66746bb396d9642c20184952c9290ebd4e034fdf5f0968c66fff227df8f70ad
neutral/rep0004,4,False,,0.0,e3b75bbe5984de925c4aa224671ce18ae34a119e37dca4cdab012932394aaeda
neutral/rep0005,3,True,5000000.0,0.3175,1eac8671c677778bfa12ce8867d1419dc6f7c42ad50d382a92a691fbaeb1ce49
neutral/rep0006,4,False,,0.0,3c8e579c049aaf14728e0b2f9e7d24c8ef1d048cfb2a7b39f945903e42bc0cbd
neutral/rep0007,3,False,,0.0,cd07cd1389c394e49f86916682aaa3957d1f1ee8d3f8a06418c97a62b05f4acb
neutral/rep0008,4,False,,0.0,8771cefadd85353b6a94988a40a46179208112b78d02001a75d420840f4ca80a
neutral/rep0009,0,True,4999471.0,0.25,fa24fcf1f38978571e491452a374a9ba205e713a5359c3cce25018e05709eb23
neutral/rep0010,4,True,5000764.0,0.0475,21bfc56bac069fc8d6a66157a819544220ed4c416a781414528885f86c58cfa7
neutral/rep0011,3,False,,0.0,b40a816e3496a68a1d567518c918bf0d8cdff2daff485338f2391a8e3a63cab6
neutral/rep0012,3,False,,0.0,4bf172015c10dbcb0f98c27acf37c711a462c9d784cbbd07b41be2d43126928a
neutral/rep0013,2,False,,0.0,09192e0437f25a8aee4773b234ca5678e967973fa3fe505482a08594ace41f7c
neutral/rep0014,2,False,,0.0,2f16fb2d3471d92f187a79b481b9eb2d46bdb777342c8466ab1b284d39625fca
neutral/rep0015,4,True,4997979.0,0.0575,d4aff62b0ba5a7a2ed337b5cef1a2a06bb2e26da9c072664796e820eed920355
neutral/rep0016,1,False,,0.0,e9f23cd35ea06b7490d50da0f322b92505a59f447ef4d1bd5166375307ae6a9e
neutral/rep0017,0,False,,0.0,96988d179915bb451f187f1409e5b8b6cd3442907949121331982001d33187be
neutral/rep0018,3,False,,0.0,8325c57f09b9743ca97c7e44e5ea282552959bef6f9a3a39ed0243a193b03c75
neutral/rep0019,1,True,4998179.0,0.07,a92350d76a8e98c2c0dbfd6825998cc2571cab480ba317e7071dcb9ebdd914b9
neutral/rep0020,4,False,,0.0,483c6be3d91c00ee11617dc5b27a7ea45c9cca07586e7e42ded6730bd80f96aa
neutral/rep0021,1,False,,0.0,aa67252d12a0841e8d487280a70dc9c0a8f781bac53786af08c1feb867f4a32a
neutral/rep0022,1,False,,0.0,4cf489d5c0ca8c2679a694128b67413403578d77d47ef053a1206168018b8de3
neutral/rep0023,3,False,,0.0,b3bd6ee15fc61cca94a9cb12f027caf61aa28230dff3859779ed7caf90fae1c2
neutral/rep0024,2,False,,0.0,b3486fcd909a4f7fc858057da761724899ecbc6b3f637215529dfc12241d3efe
neutral/rep0025,4,False,,0.0,a6b2b5a3c4624dd3eb5409656fdfb619850d255124d1564ae17561c75560068b
neutral/rep0026,3,False,,0.0,48de8669493ba62008145a5f3950ad8729e5116d4361b0dc01fbfe0be8239f68
neutral/rep0027,0,True,4999294.0,0.1725,2e06f60b5789f88ff04f5f345f1087de0e6aa6d572a205b450a6c59acbbc7b3a
