source,cohort,pair_class,T,frac_recent,regions,pairs
decoded,Selected,ALT/ALT,5000,0.00803627519888537,100,643084
decoded,Selected,ALT/ALT,10000,0.054375478164594364,100,643084
decoded,Selected,ALT/ALT,20000,0.24386549813088182,100,643084
decoded,Selected,ALT/ALT,30000,0.43073222160713065,100,643084
decoded,Selected,ALT/ALT,40000,0.574814487687456,100,643084
decoded,Selected,ALT/ALT,50000,0.6744919792748693,100,643084
decoded,Selected,REF/REF,5000,0.009105794959862615,100,75117
decoded,Selected,REF/REF,10000,0.03128452946736424,100,75117
decoded,Selected,REF/REF,20000,0.0941198397167086,100,75117
decoded,Selected,REF/REF,30000,0.15285487972096862,100,75117
decoded,Selected,REF/REF,40000,0.19984823675066896,100,75117
decoded,Selected,REF/REF,50000,0.2420357575515529,100,75117
decoded,Neutral,ALT/ALT,5000,0.022862868333561052,169,43914
decoded,Neutral,ALT/ALT,10000,0.09539099148335382,169,43914
decoded,Neutral,ALT/ALT,20000,0.3093774195017534,169,43914
decoded,Neutral,ALT/ALT,30000,0.48189643393906273,169,43914
decoded,Neutral,ALT/ALT,40000,0.6016304595345447,169,43914
decoded,Neutral,ALT/ALT,50000,0.6868652365988067,169,43914
decoded,Neutral,REF/REF,5000,0.005361869401154445,169,1320808
decoded,Neutral,REF/REF,10000,0.023466696143572722,169,1320808
decoded,Neutral,REF/REF,20000,0.08188851066922671,169,1320808
decoded,Neutral,REF/REF,30000,0.13782851103264063,169,1320808
decoded,Neutral,REF/REF,40000,0.18395482159405455,169,1320808
decoded,Neutral,REF/REF,50000,0.22171352687143023,169,1320808
