source,method,alpha,s,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr,selected_calibration_positions,neutral_calibration_positions,calibration
decoded,af,0.001,0.005,100,90,0.9,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_10000,0.001,0.005,100,12,0.12,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_20000,0.001,0.005,100,14,0.14,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_30000,0.001,0.005,100,17,0.17,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_40000,0.001,0.005,100,24,0.24,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_5000,0.001,0.005,100,5,0.05,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_50000,0.001,0.005,100,23,0.23,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_10000,0.001,0.005,100,85,0.85,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_20000,0.001,0.005,100,82,0.82,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_30000,0.001,0.005,100,88,0.88,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_40000,0.001,0.005,100,89,0.89,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_5000,0.001,0.005,100,91,0.91,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_50000,0.001,0.005,100,92,0.92,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.001,100,2,0.02,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.002,100,17,0.17,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.003,100,42,0.42,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.004,100,64,0.64,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.005,100,90,0.9,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.006,100,89,0.89,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.007,100,97,0.97,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.008,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.009,100,100,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.01,100,100,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.001,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.002,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.003,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.004,100,1,0.01,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.005,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.006,100,1,0.01,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.007,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.008,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.009,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.01,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.001,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.002,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.003,100,3,0.03,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.004,100,3,0.03,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.005,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.006,100,9,0.09,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.007,100,8,0.08,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.008,100,6,0.06,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.009,100,3,0.03,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.01,100,4,0.04,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.001,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.002,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.003,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.004,100,2,0.02,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.005,100,3,0.03,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.006,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.007,100,10,0.1,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.008,100,4,0.04,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.009,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.01,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.001,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.002,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.003,100,10,0.1,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.004,100,14,0.14,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.005,100,20,0.2,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.006,100,39,0.39,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.007,100,33,0.33,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.008,100,42,0.42,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.009,100,37,0.37,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.01,100,35,0.35,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.001,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.002,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.003,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.004,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.005,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.006,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.007,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.008,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.009,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.01,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.001,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.002,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.003,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.004,100,14,0.14,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.005,100,42,0.42,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.006,100,54,0.54,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.007,100,62,0.62,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.008,100,75,0.75,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.009,100,65,0.65,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.01,100,74,0.74,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.001,100,5,0.05,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.002,100,24,0.24,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.003,100,51,0.51,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.004,100,74,0.74,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.005,100,95,0.95,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.006,100,92,0.92,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.007,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.008,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.009,100,100,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.01,100,100,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.001,100,6,0.06,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.002,100,15,0.15,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.003,100,46,0.46,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.004,100,64,0.64,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.005,100,93,0.93,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.006,100,93,0.93,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.007,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.008,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.009,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.01,100,99,0.99,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.001,100,9,0.09,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.002,100,22,0.22,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.003,100,53,0.53,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.004,100,75,0.75,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.005,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.006,100,92,0.92,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.007,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.008,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.009,100,100,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.01,100,99,0.99,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.001,100,1,0.01,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.002,100,4,0.04,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.003,100,27,0.27,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.004,100,36,0.36,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.005,100,55,0.55,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.006,100,68,0.68,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.007,100,70,0.7,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.008,100,68,0.68,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.009,100,61,0.61,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.01,100,66,0.66,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.001,100,2,0.02,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.002,100,21,0.21,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.003,100,39,0.39,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.004,100,52,0.52,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.005,100,79,0.79,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.006,100,85,0.85,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.007,100,90,0.9,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.008,100,98,0.98,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.009,100,98,0.98,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.01,100,99,0.99,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_50000,0.001,0.001,100,2,0.02,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_50000,0.001,0.002,100,15,0.15,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_50000,0.001,0.003,100,40,0.4,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
