source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
decoded,af,0.01,0.005,100,99,0.99,1000,9,0.009
decoded,af,0.05,0.005,100,100,1.0,1000,51,0.051
decoded,all_10000,0.01,0.005,100,26,0.26,1000,14,0.014
decoded,all_10000,0.05,0.005,100,49,0.49,1000,46,0.046
decoded,all_20000,0.01,0.005,100,33,0.33,1000,14,0.014
decoded,all_20000,0.05,0.005,100,55,0.55,1000,50,0.05
decoded,all_30000,0.01,0.005,100,40,0.4,1000,9,0.009
decoded,all_30000,0.05,0.005,100,60,0.6,1000,55,0.055
decoded,all_40000,0.01,0.005,100,41,0.41,1000,8,0.008
decoded,all_40000,0.05,0.005,100,64,0.64,1000,56,0.056
decoded,all_5000,0.01,0.005,100,11,0.11,1000,8,0.008
decoded,all_5000,0.05,0.005,100,23,0.23,1000,42,0.042
decoded,all_50000,0.01,0.005,100,41,0.41,1000,14,0.014
decoded,all_50000,0.05,0.005,100,61,0.61,1000,50,0.05
decoded,mass_10000,0.01,0.005,100,97,0.97,1000,8,0.008
decoded,mass_10000,0.05,0.005,100,100,1.0,1000,47,0.047
decoded,mass_20000,0.01,0.005,100,99,0.99,1000,10,0.01
decoded,mass_20000,0.05,0.005,100,100,1.0,1000,45,0.045
decoded,mass_30000,0.01,0.005,100,99,0.99,1000,10,0.01
decoded,mass_30000,0.05,0.005,100,100,1.0,1000,49,0.049
decoded,mass_40000,0.01,0.005,100,99,0.99,1000,11,0.011
decoded,mass_40000,0.05,0.005,100,100,1.0,1000,49,0.049
decoded,mass_5000,0.01,0.005,100,99,0.99,1000,9,0.009
decoded,mass_5000,0.05,0.005,100,100,1.0,1000,48,0.048
decoded,mass_50000,0.01,0.005,100,98,0.98,1000,10,0.01
decoded,mass_50000,0.05,0.005,100,100,1.0,1000,51,0.051
truth,af,0.01,0.001,100,15,0.15,1000,9,0.009
truth,af,0.01,0.002,100,41,0.41,1000,9,0.009
truth,af,0.01,0.003,100,60,0.6,1000,9,0.009
truth,af,0.01,0.004,100,79,0.79,1000,9,0.009
truth,af,0.01,0.005,100,99,0.99,1000,9,0.009
truth,af,0.01,0.006,100,93,0.93,1000,9,0.009
truth,af,0.01,0.007,100,98,0.98,1000,9,0.009
truth,af,0.01,0.008,100,98,0.98,1000,9,0.009
truth,af,0.01,0.009,100,100,1.0,1000,9,0.009
truth,af,0.01,0.01,100,100,1.0,1000,9,0.009
truth,af,0.05,0.001,100,43,0.43,1000,51,0.051
truth,af,0.05,0.002,100,70,0.7,1000,51,0.051
truth,af,0.05,0.003,100,79,0.79,1000,51,0.051
truth,af,0.05,0.004,100,92,0.92,1000,51,0.051
truth,af,0.05,0.005,100,100,1.0,1000,51,0.051
truth,af,0.05,0.006,100,98,0.98,1000,51,0.051
truth,af,0.05,0.007,100,99,0.99,1000,51,0.051
truth,af,0.05,0.008,100,98,0.98,1000,51,0.051
truth,af,0.05,0.009,100,100,1.0,1000,51,0.051
truth,af,0.05,0.01,100,100,1.0,1000,51,0.051
truth,all_10000,0.01,0.001,100,2,0.02,1000,12,0.012
truth,all_10000,0.01,0.002,100,2,0.02,1000,12,0.012
truth,all_10000,0.01,0.003,100,1,0.01,1000,12,0.012
truth,all_10000,0.01,0.004,100,3,0.03,1000,12,0.012
truth,all_10000,0.01,0.005,100,0,0.0,1000,12,0.012
truth,all_10000,0.01,0.006,100,2,0.02,1000,12,0.012
truth,all_10000,0.01,0.007,100,2,0.02,1000,12,0.012
truth,all_10000,0.01,0.008,100,3,0.03,1000,12,0.012
truth,all_10000,0.01,0.009,100,2,0.02,1000,12,0.012
truth,all_10000,0.01,0.01,100,0,0.0,1000,12,0.012
truth,all_10000,0.05,0.001,100,6,0.06,1000,38,0.038
truth,all_10000,0.05,0.002,100,3,0.03,1000,38,0.038
truth,all_10000,0.05,0.003,100,7,0.07,1000,38,0.038
truth,all_10000,0.05,0.004,100,11,0.11,1000,38,0.038
truth,all_10000,0.05,0.005,100,3,0.03,1000,38,0.038
truth,all_10000,0.05,0.006,100,12,0.12,1000,38,0.038
truth,all_10000,0.05,0.007,100,5,0.05,1000,38,0.038
truth,all_10000,0.05,0.008,100,8,0.08,1000,38,0.038
truth,all_10000,0.05,0.009,100,5,0.05,1000,38,0.038
truth,all_10000,0.05,0.01,100,7,0.07,1000,38,0.038
truth,all_20000,0.01,0.001,100,3,0.03,1000,10,0.01
truth,all_20000,0.01,0.002,100,1,0.01,1000,10,0.01
truth,all_20000,0.01,0.003,100,7,0.07,1000,10,0.01
truth,all_20000,0.01,0.004,100,12,0.12,1000,10,0.01
truth,all_20000,0.01,0.005,100,18,0.18,1000,10,0.01
truth,all_20000,0.01,0.006,100,17,0.17,1000,10,0.01
truth,all_20000,0.01,0.007,100,16,0.16,1000,10,0.01
truth,all_20000,0.01,0.008,100,16,0.16,1000,10,0.01
truth,all_20000,0.01,0.009,100,9,0.09,1000,10,0.01
truth,all_20000,0.01,0.01,100,8,0.08,1000,10,0.01
truth,all_20000,0.05,0.001,100,11,0.11,1000,52,0.052
truth,all_20000,0.05,0.002,100,7,0.07,1000,52,0.052
truth,all_20000,0.05,0.003,100,18,0.18,1000,52,0.052
truth,all_20000,0.05,0.004,100,30,0.3,1000,52,0.052
truth,all_20000,0.05,0.005,100,39,0.39,1000,52,0.052
truth,all_20000,0.05,0.006,100,50,0.5,1000,52,0.052
truth,all_20000,0.05,0.007,100,46,0.46,1000,52,0.052
truth,all_20000,0.05,0.008,100,38,0.38,1000,52,0.052
truth,all_20000,0.05,0.009,100,20,0.2,1000,52,0.052
truth,all_20000,0.05,0.01,100,24,0.24,1000,52,0.052
truth,all_30000,0.01,0.001,100,3,0.03,1000,12,0.012
truth,all_30000,0.01,0.002,100,5,0.05,1000,12,0.012
truth,all_30000,0.01,0.003,100,16,0.16,1000,12,0.012
truth,all_30000,0.01,0.004,100,26,0.26,1000,12,0.012
truth,all_30000,0.01,0.005,100,36,0.36,1000,12,0.012
truth,all_30000,0.01,0.006,100,40,0.4,1000,12,0.012
truth,all_30000,0.01,0.007,100,41,0.41,1000,12,0.012
truth,all_30000,0.01,0.008,100,34,0.34,1000,12,0.012
truth,all_30000,0.01,0.009,100,30,0.3,1000,12,0.012
truth,all_30000,0.01,0.01,100,27,0.27,1000,12,0.012
truth,all_30000,0.05,0.001,100,8,0.08,1000,50,0.05
truth,all_30000,0.05,0.002,100,11,0.11,1000,50,0.05
truth,all_30000,0.05,0.003,100,33,0.33,1000,50,0.05
truth,all_30000,0.05,0.004,100,44,0.44,1000,50,0.05
truth,all_30000,0.05,0.005,100,61,0.61,1000,50,0.05
truth,all_30000,0.05,0.006,100,63,0.63,1000,50,0.05
truth,all_30000,0.05,0.007,100,65,0.65,1000,50,0.05
truth,all_30000,0.05,0.008,100,49,0.49,1000,50,0.05
truth,all_30000,0.05,0.009,100,41,0.41,1000,50,0.05
truth,all_30000,0.05,0.01,100,40,0.4,1000,50,0.05
truth,all_40000,0.01,0.001,100,1,0.01,1000,11,0.011
truth,all_40000,0.01,0.002,100,4,0.04,1000,11,0.011
truth,all_40000,0.01,0.003,100,17,0.17,1000,11,0.011
truth,all_40000,0.01,0.004,100,31,0.31,1000,11,0.011
truth,all_40000,0.01,0.005,100,47,0.47,1000,11,0.011
truth,all_40000,0.01,0.006,100,57,0.57,1000,11,0.011
truth,all_40000,0.01,0.007,100,65,0.65,1000,11,0.011
truth,all_40000,0.01,0.008,100,62,0.62,1000,11,0.011
truth,all_40000,0.01,0.009,100,52,0.52,1000,11,0.011
truth,all_40000,0.01,0.01,100,54,0.54,1000,11,0.011
truth,all_40000,0.05,0.001,100,4,0.04,1000,53,0.053
truth,all_40000,0.05,0.002,100,14,0.14,1000,53,0.053
truth,all_40000,0.05,0.003,100,35,0.35,1000,53,0.053
truth,all_40000,0.05,0.004,100,50,0.5,1000,53,0.053
truth,all_40000,0.05,0.005,100,76,0.76,1000,53,0.053
truth,all_40000,0.05,0.006,100,76,0.76,1000,53,0.053
truth,all_40000,0.05,0.007,100,80,0.8,1000,53,0.053
truth,all_40000,0.05,0.008,100,78,0.78,1000,53,0.053
truth,all_40000,0.05,0.009,100,69,0.69,1000,53,0.053
truth,all_40000,0.05,0.01,100,75,0.75,1000,53,0.053
truth,all_5000,0.01,0.001,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.002,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,0.003,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.004,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,0.005,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.006,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.007,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.008,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.009,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,0.01,100,1,0.01,1000,10,0.01
truth,all_5000,0.05,0.001,100,1,0.01,1000,39,0.039
