key,s,source,T,af,aa_pairs,mass,aa_pair_fraction,aa_frac_recent
onset50000/rep0000,0.002,decoded,20000,0.3325,1040,0.0182,0.104,0.175
onset50000/rep0000,0.002,decoded,50000,0.3325,1040,0.0517,0.104,0.4971153846153846
onset50000/rep0001,0.002,decoded,20000,0.27,712,0.0182,0.0712,0.2556179775280899
onset50000/rep0001,0.002,decoded,50000,0.27,712,0.0409,0.0712,0.574438202247191
onset50000/rep0002,0.002,decoded,20000,0.5125,2649,0.0594,0.2649,0.22423556058890148
onset50000/rep0002,0.002,decoded,50000,0.5125,2649,0.2256,0.2649,0.8516421291053228
onset50000/rep0003,0.002,decoded,20000,0.105,114,0.006,0.0114,0.5263157894736842
onset50000/rep0003,0.002,decoded,50000,0.105,114,0.0111,0.0114,0.9736842105263158
onset50000/rep0004,0.002,decoded,20000,0.0525,26,0.001,0.0026,0.38461538461538464
onset50000/rep0004,0.002,decoded,50000,0.0525,26,0.0019,0.0026,0.7307692307692307
onset50000/rep0005,0.002,decoded,20000,0.66,4330,0.0805,0.433,0.1859122401847575
onset50000/rep0005,0.002,decoded,50000,0.66,4330,0.1372,0.433,0.31685912240184755
onset50000/rep0006,0.002,decoded,20000,0.2525,641,0.0174,0.0641,0.2714508580343214
onset50000/rep0006,0.002,decoded,50000,0.2525,641,0.0501,0.0641,0.781591263650546
onset50000/rep0007,0.002,decoded,20000,0.3325,1103,0.0472,0.1103,0.42792384406165007
onset50000/rep0007,0.002,decoded,50000,0.3325,1103,0.0986,0.1103,0.8939256572982774
onset50000/rep0008,0.002,decoded,20000,0.1725,294,0.0219,0.0294,0.7448979591836735
onset50000/rep0008,0.002,decoded,50000,0.1725,294,0.026,0.0294,0.8843537414965986
onset50000/rep0009,0.002,decoded,20000,0.4125,1706,0.0506,0.1706,0.2966002344665885
onset50000/rep0009,0.002,decoded,50000,0.4125,1706,0.128,0.1706,0.7502930832356389
onset50000/rep0010,0.002,decoded,20000,0.735,5377,0.1395,0.5377,0.2594383485214804
onset50000/rep0010,0.002,decoded,50000,0.735,5377,0.4675,0.5377,0.8694439278408034
onset50000/rep0011,0.002,decoded,20000,0.4875,2347,0.0374,0.2347,0.15935236472092032
onset50000/rep0011,0.002,decoded,50000,0.4875,2347,0.1629,0.2347,0.694077545803153
onset50000/rep0012,0.002,decoded,20000,0.2225,467,0.0105,0.0467,0.22483940042826553
onset50000/rep0012,0.002,decoded,50000,0.2225,467,0.0183,0.0467,0.39186295503211993
onset50000/rep0013,0.002,decoded,20000,0.1,115,0.0071,0.0115,0.6173913043478261
onset50000/rep0013,0.002,decoded,50000,0.1,115,0.0104,0.0115,0.9043478260869565
onset50000/rep0014,0.002,decoded,20000,0.315,999,0.0167,0.0999,0.16716716716716717
onset50000/rep0014,0.002,decoded,50000,0.315,999,0.0685,0.0999,0.6856856856856857
onset50000/rep0015,0.002,decoded,20000,0.085,81,0.0052,0.0081,0.6419753086419753
onset50000/rep0015,0.002,decoded,50000,0.085,81,0.0076,0.0081,0.9382716049382716
onset50000/rep0016,0.002,decoded,20000,0.4425,1944,0.037,0.1944,0.19032921810699588
onset50000/rep0016,0.002,decoded,50000,0.4425,1944,0.1352,0.1944,0.6954732510288066
onset50000/rep0017,0.002,decoded,20000,0.57,3233,0.1385,0.3233,0.4283946798639035
onset50000/rep0017,0.002,decoded,50000,0.57,3233,0.2884,0.3233,0.8920507268790597
onset50000/rep0018,0.002,decoded,20000,0.9325,8747,0.1315,0.8747,0.15033725848862467
onset50000/rep0018,0.002,decoded,50000,0.9325,8747,0.5562,0.8747,0.6358751571967531
onset50000/rep0019,0.002,decoded,20000,0.2575,685,0.0137,0.0685,0.2
onset50000/rep0019,0.002,decoded,50000,0.2575,685,0.0462,0.0685,0.6744525547445256
onset50000/rep0020,0.002,decoded,20000,0.4825,2271,0.0699,0.2271,0.30779392338177014
onset50000/rep0020,0.002,decoded,50000,0.4825,2271,0.1767,0.2271,0.7780713342140027
onset50000/rep0021,0.002,decoded,20000,0.03,10,0.001,0.001,1.0
onset50000/rep0021,0.002,decoded,50000,0.03,10,0.001,0.001,1.0
onset50000/rep0022,0.002,decoded,20000,0.1975,401,0.015,0.0401,0.3740648379052369
onset50000/rep0022,0.002,decoded,50000,0.1975,401,0.0309,0.0401,0.770573566084788
onset50000/rep0023,0.002,decoded,20000,0.125,128,0.0041,0.0128,0.3203125
onset50000/rep0023,0.002,decoded,50000,0.125,128,0.0084,0.0128,0.65625
onset50000/rep0024,0.002,decoded,20000,0.0825,65,0.0059,0.0065,0.9076923076923077
onset50000/rep0024,0.002,decoded,50000,0.0825,65,0.0065,0.0065,1.0
onset50000/rep0025,0.002,decoded,20000,0.21,446,0.0114,0.0446,0.2556053811659193
onset50000/rep0025,0.002,decoded,50000,0.21,446,0.0284,0.0446,0.6367713004484304
onset50000/rep0026,0.002,decoded,20000,0.215,442,0.0135,0.0442,0.3054298642533937
onset50000/rep0026,0.002,decoded,50000,0.215,442,0.0287,0.0442,0.6493212669683258
onset50000/rep0027,0.002,decoded,20000,0.2375,573,0.0146,0.0573,0.2547993019197208
onset50000/rep0027,0.002,decoded,50000,0.2375,573,0.0294,0.0573,0.5130890052356021
onset50000/rep0028,0.002,decoded,20000,0.4675,2207,0.0295,0.2207,0.1336656094245582
onset50000/rep0028,0.002,decoded,50000,0.4675,2207,0.0809,0.2207,0.3665609424558224
onset50000/rep0029,0.002,decoded,20000,0.08,54,0.005,0.0054,0.9259259259259259
onset50000/rep0029,0.002,decoded,50000,0.08,54,0.0054,0.0054,1.0
onset50000/rep0030,0.002,decoded,20000,0.1925,354,0.0124,0.0354,0.3502824858757062
onset50000/rep0030,0.002,decoded,50000,0.1925,354,0.0276,0.0354,0.7796610169491526
onset50000/rep0031,0.002,decoded,20000,0.4875,2345,0.0423,0.2345,0.18038379530916845
onset50000/rep0031,0.002,decoded,50000,0.4875,2345,0.0871,0.2345,0.37142857142857144
onset50000/rep0032,0.002,decoded,20000,0.0075,0,0.0,0.0,
onset50000/rep0032,0.002,decoded,50000,0.0075,0,0.0,0.0,
onset50000/rep0033,0.002,decoded,20000,0.345,1230,0.029,0.123,0.23577235772357724
onset50000/rep0033,0.002,decoded,50000,0.345,1230,0.0695,0.123,0.5650406504065041
onset50000/rep0034,0.002,decoded,20000,0.05,22,0.0015,0.0022,0.6818181818181818
onset50000/rep0034,0.002,decoded,50000,0.05,22,0.0022,0.0022,1.0
onset50000/rep0035,0.002,decoded,20000,0.1875,344,0.0177,0.0344,0.5145348837209303
onset50000/rep0035,0.002,decoded,50000,0.1875,344,0.0298,0.0344,0.8662790697674418
onset50000/rep0036,0.002,decoded,20000,0.3525,1252,0.0202,0.1252,0.16134185303514376
onset50000/rep0036,0.002,decoded,50000,0.3525,1252,0.0773,0.1252,0.6174121405750799
onset50000/rep0037,0.002,decoded,20000,0.0675,48,0.0027,0.0048,0.5625
onset50000/rep0037,0.002,decoded,50000,0.0675,48,0.0037,0.0048,0.7708333333333334
onset50000/rep0038,0.002,decoded,20000,0.28,756,0.0248,0.0756,0.328042328042328
onset50000/rep0038,0.002,decoded,50000,0.28,756,0.0583,0.0756,0.7711640211640212
onset50000/rep0039,0.002,decoded,20000,0.305,949,0.0229,0.0949,0.24130663856691253
onset50000/rep0039,0.002,decoded,50000,0.305,949,0.0518,0.0949,0.5458377239199157
onset50000/rep0040,0.002,decoded,20000,0.1475,243,0.0142,0.0243,0.5843621399176955
onset50000/rep0040,0.002,decoded,50000,0.1475,243,0.02,0.0243,0.823045267489712
onset50000/rep0041,0.002,decoded,20000,0.5675,3270,0.0765,0.327,0.23394495412844038
onset50000/rep0041,0.002,decoded,50000,0.5675,3270,0.204,0.327,0.6238532110091743
onset50000/rep0042,0.002,decoded,20000,0.1175,123,0.0022,0.0123,0.17886178861788618
onset50000/rep0042,0.002,decoded,50000,0.1175,123,0.009,0.0123,0.7317073170731707
onset50000/rep0043,0.002,decoded,20000,0.41,1695,0.0345,0.1695,0.20353982300884957
onset50000/rep0043,0.002,decoded,50000,0.41,1695,0.0821,0.1695,0.48436578171091443
onset50000/rep0044,0.002,decoded,20000,0.74,5522,0.0786,0.5522,0.14233973198116626
onset50000/rep0044,0.002,decoded,50000,0.74,5522,0.3054,0.5522,0.5530604853314016
onset50000/rep0045,0.002,decoded,20000,0.155,232,0.0035,0.0232,0.15086206896551724
onset50000/rep0045,0.002,decoded,50000,0.155,232,0.0074,0.0232,0.31896551724137934
onset50000/rep0046,0.002,decoded,20000,0.1325,164,0.0087,0.0164,0.5304878048780488
onset50000/rep0046,0.002,decoded,50000,0.1325,164,0.0137,0.0164,0.8353658536585366
onset50000/rep0047,0.002,decoded,20000,0.2275,482,0.0122,0.0482,0.25311203319502074
onset50000/rep0047,0.002,decoded,50000,0.2275,482,0.0258,0.0482,0.5352697095435685
onset50000/rep0048,0.002,decoded,20000,0.5925,3526,0.0369,0.3526,0.10465116279069768
onset50000/rep0048,0.002,decoded,50000,0.5925,3526,0.1397,0.3526,0.39619965967101534
onset50000/rep0049,0.002,decoded,20000,0.03,5,0.0002,0.0005,0.4
onset50000/rep0049,0.002,decoded,50000,0.03,5,0.0002,0.0005,0.4
onset50000/rep0050,0.002,decoded,20000,0.35,1178,0.0226,0.1178,0.19185059422750425
onset50000/rep0050,0.002,decoded,50000,0.35,1178,0.0741,0.1178,0.6290322580645161
onset50000/rep0051,0.002,decoded,20000,0.085,73,0.0035,0.0073,0.4794520547945205
onset50000/rep0051,0.002,decoded,50000,0.085,73,0.0063,0.0073,0.863013698630137
onset50000/rep0052,0.002,decoded,20000,0.02,6,0.0003,0.0006,0.5
onset50000/rep0052,0.002,decoded,50000,0.02,6,0.0004,0.0006,0.6666666666666666
onset50000/rep0053,0.002,decoded,20000,0.5125,2656,0.0556,0.2656,0.20933734939759036
onset50000/rep0053,0.002,decoded,50000,0.5125,2656,0.2156,0.2656,0.8117469879518072
onset50000/rep0054,0.002,decoded,20000,0.6075,3640,0.0667,0.364,0.18324175824175823
onset50000/rep0054,0.002,decoded,50000,0.6075,3640,0.2104,0.364,0.578021978021978
onset50000/rep0055,0.002,decoded,20000,0.3725,1393,0.0395,0.1393,0.28356066044508255
onset50000/rep0055,0.002,decoded,50000,0.3725,1393,0.0804,0.1393,0.5771715721464465
onset50000/rep0056,0.002,decoded,20000,0.185,323,0.0118,0.0323,0.3653250773993808
onset50000/rep0056,0.002,decoded,50000,0.185,323,0.0259,0.0323,0.8018575851393189
onset50000/rep0057,0.002,decoded,20000,0.0575,28,0.0014,0.0028,0.5
onset50000/rep0057,0.002,decoded,50000,0.0575,28,0.0025,0.0028,0.8928571428571429
onset50000/rep0058,0.002,decoded,20000,0.58,3379,0.1138,0.3379,0.3367860313702279
onset50000/rep0058,0.002,decoded,50000,0.58,3379,0.2981,0.3379,0.8822136726842261
onset50000/rep0059,0.002,decoded,20000,0.655,4260,0.1362,0.426,0.31971830985915495
onset50000/rep0059,0.002,decoded,50000,0.655,4260,0.2865,0.426,0.6725352112676056
onset50000/rep0060,0.002,decoded,20000,0.07,49,0.0031,0.0049,0.6326530612244898
onset50000/rep0060,0.002,decoded,50000,0.07,49,0.0048,0.0049,0.9795918367346939
onset50000/rep0061,0.002,decoded,20000,0.2,381,0.0115,0.0381,0.30183727034120733
onset50000/rep0061,0.002,decoded,50000,0.2,381,0.0303,0.0381,0.7952755905511811
onset50000/rep0062,0.002,decoded,20000,0.3425,1155,0.0187,0.1155,0.1619047619047619
onset50000/rep0062,0.002,decoded,50000,0.3425,1155,0.0412,0.1155,0.3567099567099567
onset50000/rep0063,0.002,decoded,20000,0.36,1287,0.0507,0.1287,0.3939393939393939
onset50000/rep0063,0.002,decoded,50000,0.36,1287,0.1007,0.1287,0.7824397824397824
onset50000/rep0064,0.002,decoded,20000,0.4175,1705,0.0549,0.1705,0.32199413489736073
onset50000/rep0064,0.002,decoded,50000,0.4175,1705,0.1379,0.1705,0.8087976539589443
onset50000/rep0065,0.002,decoded,20000,0.0525,25,0.0013,0.0025,0.52
onset50000/rep0065,0.002,decoded,50000,0.0525,25,0.0015,0.0025,0.6
onset50000/rep0066,0.002,decoded,20000,0.0625,38,0.0017,0.0038,0.4473684210526316
onset50000/rep0066,0.002,decoded,50000,0.0625,38,0.0032,0.0038,0.8421052631578947
onset50000/rep0067,0.002,decoded,20000,0.0375,11,0.0004,0.0011,0.36363636363636365
onset50000/rep0067,0.002,decoded,50000,0.0375,11,0.0009,0.0011,0.8181818181818182
onset50000/rep0068,0.002,decoded,20000,0.6925,4748,0.1059,0.4748,0.22304128053917438
onset50000/rep0068,0.002,decoded,50000,0.6925,4748,0.3166,0.4748,0.6668070766638584
onset50000/rep0069,0.002,decoded,20000,0.2575,638,0.0097,0.0638,0.15203761755485892
onset50000/rep0069,0.002,decoded,50000,0.2575,638,0.024,0.0638,0.3761755485893417
onset50000/rep0070,0.002,decoded,20000,0.4875,2404,0.0467,0.2404,0.19425956738768718
onset50000/rep0070,0.002,decoded,50000,0.4875,2404,0.1589,0.2404,0.660981697171381
onset50000/rep0071,0.002,decoded,20000,0.3325,1126,0.0147,0.1126,0.130550621669627
onset50000/rep0071,0.002,decoded,50000,0.3325,1126,0.0398,0.1126,0.35346358792184723
onset50000/rep0072,0.002,decoded,20000,0.15,204,0.0087,0.0204,0.4264705882352941
onset50000/rep0072,0.002,decoded,50000,0.15,204,0.0179,0.0204,0.8774509803921569
onset50000/rep0073,0.002,decoded,20000,0.575,3289,0.0346,0.3289,0.10519914867740955
onset50000/rep0073,0.002,decoded,50000,0.575,3289,0.1213,0.3289,0.3688051079355427
onset50000/rep0074,0.002,decoded,20000,0.175,302,0.0094,0.0302,0.31125827814569534
onset50000/rep0074,0.002,decoded,50000,0.175,302,0.014,0.0302,0.46357615894039733
onset50000/rep0075,0.002,decoded,20000,0.0225,2,0.0002,0.0002,1.0
onset50000/rep0075,0.002,decoded,50000,0.0225,2,0.0002,0.0002,1.0
onset50000/rep0076,0.002,decoded,20000,0.195,395,0.0245,0.0395,0.620253164556962
onset50000/rep0076,0.002,decoded,50000,0.195,395,0.0362,0.0395,0.9164556962025316
onset50000/rep0077,0.002,decoded,20000,0.215,456,0.0219,0.0456,0.48026315789473684
onset50000/rep0077,0.002,decoded,50000,0.215,456,0.0419,0.0456,0.918859649122807
onset50000/rep0078,0.002,decoded,20000,0.225,545,0.0154,0.0545,0.28256880733944956
onset50000/rep0078,0.002,decoded,50000,0.225,545,0.0425,0.0545,0.7798165137614679
onset50000/rep0079,0.002,decoded,20000,0.6,3548,0.1188,0.3548,0.33483652762119503
onset50000/rep0079,0.002,decoded,50000,0.6,3548,0.3203,0.3548,0.9027621195039459
onset50000/rep0080,0.002,decoded,20000,0.665,4393,0.0955,0.4393,0.21739130434782608
onset50000/rep0080,0.002,decoded,50000,0.665,4393,0.253,0.4393,0.5759162303664922
onset50000/rep0081,0.002,decoded,20000,0.465,2120,0.052,0.212,0.24528301886792453
onset50000/rep0081,0.002,decoded,50000,0.465,2120,0.1392,0.212,0.6566037735849056
onset50000/rep0082,0.002,decoded,20000,0.1875,357,0.0116,0.0357,0.32492997198879553
onset50000/rep0082,0.002,decoded,50000,0.1875,357,0.0247,0.0357,0.6918767507002801
onset50000/rep0083,0.002,decoded,20000,0.2975,882,0.0337,0.0882,0.3820861678004535
onset50000/rep0083,0.002,decoded,50000,0.2975,882,0.0679,0.0882,0.7698412698412699
onset50000/rep0084,0.002,decoded,20000,0.1075,113,0.005,0.0113,0.4424778761061947
onset50000/rep0084,0.002,decoded,50000,0.1075,113,0.0108,0.0113,0.9557522123893806
onset50000/rep0085,0.002,decoded,20000,0.375,1404,0.024,0.1404,0.17094017094017094
onset50000/rep0085,0.002,decoded,50000,0.375,1404,0.0892,0.1404,0.6353276353276354
onset50000/rep0086,0.002,decoded,20000,0.01,1,0.0,0.0001,0.0
onset50000/rep0086,0.002,decoded,50000,0.01,1,0.0001,0.0001,1.0
onset50000/rep0087,0.002,decoded,20000,0.065,46,0.0012,0.0046,0.2608695652173913
onset50000/rep0087,0.002,decoded,50000,0.065,46,0.0035,0.0046,0.7608695652173914
onset50000/rep0088,0.002,decoded,20000,0.67,4479,0.1952,0.4479,0.4358115650814914
onset50000/rep0088,0.002,decoded,50000,0.67,4479,0.3623,0.4479,0.8088859120339361
onset50000/rep0089,0.002,decoded,20000,0.3875,1446,0.0346,0.1446,0.2392807745504841
onset50000/rep0089,0.002,decoded,50000,0.3875,1446,0.09,0.1446,0.6224066390041494
onset50000/rep0090,0.002,decoded,20000,0.6125,3758,0.116,0.3758,0.30867482703565724
onset50000/rep0090,0.002,decoded,50000,0.6125,3758,0.2983,0.3758,0.7937732836615221
onset50000/rep0091,0.002,decoded,20000,0.6575,4342,0.074,0.4342,0.1704283740211884
onset50000/rep0091,0.002,decoded,50000,0.6575,4342,0.3468,0.4342,0.798710271764164
onset50000/rep0092,0.002,decoded,20000,0.475,2198,0.0778,0.2198,0.353958143767061
onset50000/rep0092,0.002,decoded,50000,0.475,2198,0.1251,0.2198,0.5691537761601456
onset50000/rep0093,0.002,decoded,20000,0.145,213,0.0082,0.0213,0.38497652582159625
onset50000/rep0093,0.002,decoded,50000,0.145,213,0.0187,0.0213,0.8779342723004695
onset50000/rep0094,0.002,decoded,20000,0.2825,829,0.0205,0.0829,0.24728588661037396
onset50000/rep0094,0.002,decoded,50000,0.2825,829,0.0608,0.0829,0.7334137515078407
onset50000/rep0095,0.002,decoded,20000,0.4175,1737,0.0432,0.1737,0.24870466321243523
onset50000/rep0095,0.002,decoded,50000,0.4175,1737,0.1317,0.1737,0.7582037996545768
onset50000/rep0096,0.002,decoded,20000,0.035,13,0.0002,0.0013,0.15384615384615385
onset50000/rep0096,0.002,decoded,50000,0.035,13,0.0008,0.0013,0.6153846153846154
onset50000/rep0097,0.002,decoded,20000,0.035,9,0.0007,0.0009,0.7777777777777778
onset50000/rep0097,0.002,decoded,50000,0.035,9,0.0009,0.0009,1.0
onset50000/rep0098,0.002,decoded,20000,0.23,521,0.0191,0.0521,0.3666026871401152
onset50000/rep0098,0.002,decoded,50000,0.23,521,0.0455,0.0521,0.8733205374280231
onset50000/rep0099,0.002,decoded,20000,0.1975,392,0.0148,0.0392,0.37755102040816324
onset50000/rep0099,0.002,decoded,50000,0.1975,392,0.0337,0.0392,0.8596938775510204
