source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_5000,0.01,0,-5000000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,10000,-4990000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,20000,-4980000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,30000,-4970000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,40000,-4960000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,50000,-4950000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,60000,-4940000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,70000,-4930000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,80000,-4920000,100,0,0.0,1000,4,0.004
truth,all_5000,0.01,90000,-4910000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,100000,-4900000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,110000,-4890000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,120000,-4880000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,130000,-4870000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,140000,-4860000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,150000,-4850000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,160000,-4840000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,170000,-4830000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,180000,-4820000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,190000,-4810000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,200000,-4800000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,210000,-4790000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,220000,-4780000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,230000,-4770000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,240000,-4760000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,250000,-4750000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,260000,-4740000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,270000,-4730000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,280000,-4720000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,290000,-4710000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,300000,-4700000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,310000,-4690000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,320000,-4680000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,330000,-4670000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,340000,-4660000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,350000,-4650000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,360000,-4640000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,370000,-4630000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,380000,-4620000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,390000,-4610000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,400000,-4600000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,410000,-4590000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,420000,-4580000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,430000,-4570000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,440000,-4560000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,450000,-4550000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,460000,-4540000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,470000,-4530000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,480000,-4520000,100,1,0.01,1000,6,0.006
truth,all_5000,0.01,490000,-4510000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,500000,-4500000,100,1,0.01,1000,6,0.006
truth,all_5000,0.01,510000,-4490000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,520000,-4480000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,530000,-4470000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,540000,-4460000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,550000,-4450000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,560000,-4440000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,570000,-4430000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,580000,-4420000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,590000,-4410000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,600000,-4400000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,610000,-4390000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,620000,-4380000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,630000,-4370000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,640000,-4360000,100,0,0.0,1000,7,0.007
