aa_10000,aa_20000,aa_30000,aa_40000,aa_5000,aa_50000,accepted_attempt,all_10000,all_20000,all_30000,all_40000,all_5000,all_50000,carrier_lineages_at_50k,effective_carrier_lineages_at_50k,exact_all_pairs_carrier_fraction_50k,fixed,largest_carrier_lineage_fraction,mass_10000,mass_20000,mass_30000,mass_40000,mass_5000,mass_50000,n_alt,n_alt_alt,n_pairs,replicate,s,sample_af,task_id
0.0436817472698908,0.15600624024961,1.0,1.0,0.0171606864274571,1.0,0,0.0081,0.0441,0.1456,0.152,0.0025,0.1947,1,1.0,1.0,False,1.0,0.0028,0.01,0.0641,0.0641,0.0011,0.0641,102,641,10000,0,0.001,0.255,selected_s0p001/rep0000
0.012658227848101266,0.19662447257383966,0.43037974683544306,0.5122362869198313,0.007594936708860759,1.0,0,0.0052,0.0445,0.0866,0.1013,0.0023,0.185,1,1.0,1.0,False,1.0,0.0015,0.0233,0.051,0.0607,0.0009,0.1185,133,1185,10000,1,0.001,0.3325,selected_s0p001/rep0001
0.1,0.38,1.0,1.0,0.04,1.0,0,0.007,0.0434,0.0851,0.178,0.0029,0.2832,1,1.0,1.0,False,1.0,0.0005,0.0019,0.005,0.005,0.0002,0.005,27,50,10000,2,0.001,0.0675,selected_s0p001/rep0002
0.04310344827586207,0.3879310344827586,0.5387931034482759,1.0,0.02586206896551724,1.0,0,0.0083,0.0709,0.0948,0.1183,0.0036,0.1632,1,1.0,1.0,False,1.0,0.001,0.009,0.0125,0.0232,0.0006,0.0232,60,232,10000,3,0.001,0.15,selected_s0p001/rep0003
0.125,0.7857142857142857,1.0,1.0,0.07142857142857142,1.0,0,0.0071,0.0424,0.0772,0.0957,0.0031,0.1469,1,1.0,1.0,False,1.0,0.0007,0.0044,0.0056,0.0056,0.0004,0.0056,26,56,10000,4,0.001,0.065,selected_s0p001/rep0004
0.05555555555555555,0.5555555555555556,1.0,1.0,0.0,1.0,0,0.0077,0.049,0.0807,0.1048,0.0026,0.1257,1,1.0,1.0,False,1.0,0.0001,0.001,0.0018,0.0018,0.0,0.0018,17,18,10000,5,0.001,0.0425,selected_s0p001/rep0005
0.0,1.0,1.0,1.0,0.0,1.0,0,0.0074,0.0623,0.0996,0.1465,0.0018,0.1749,1,1.0,1.0,False,1.0,0.0,0.0003,0.0003,0.0003,0.0,0.0003,8,3,10000,6,0.001,0.02,selected_s0p001/rep0006
0.07407407407407407,0.35185185185185186,1.0,1.0,0.0,1.0,0,0.0055,0.0433,0.0796,0.1262,0.0011,0.1457,1,1.0,1.0,False,1.0,0.0004,0.0019,0.0054,0.0054,0.0,0.0054,30,54,10000,7,0.001,0.075,selected_s0p001/rep0007
0.375,0.5,1.0,1.0,0.0625,1.0,0,0.0066,0.0425,0.0763,0.083,0.0021,0.1887,1,1.0,1.0,False,1.0,0.0006,0.0008,0.0016,0.0016,0.0001,0.0016,15,16,10000,8,0.001,0.0375,selected_s0p001/rep0008
0.020246478873239437,0.11355633802816902,0.33274647887323944,1.0,0.013204225352112676,1.0,0,0.0077,0.0413,0.0872,0.1674,0.0034,0.1796,1,1.0,1.0,False,1.0,0.0023,0.0129,0.0378,0.1136,0.0015,0.1136,136,1136,10000,9,0.001,0.34,selected_s0p001/rep0009
