source,cohort,pair_class,T,frac_recent,regions,pairs
decoded,Selected,ALT/ALT,5000,0.01203580951246034,100,134266
decoded,Selected,ALT/ALT,10000,0.0598811314852606,100,134266
decoded,Selected,ALT/ALT,20000,0.24577331565697944,100,134266
decoded,Selected,ALT/ALT,30000,0.4297588369356352,100,134266
decoded,Selected,ALT/ALT,40000,0.5675152309594387,100,134266
decoded,Selected,ALT/ALT,50000,0.6629005109260722,100,134266
decoded,Selected,REF/REF,5000,0.005862114100862021,100,534790
decoded,Selected,REF/REF,10000,0.024568522223676583,100,534790
decoded,Selected,REF/REF,20000,0.08406103330279174,100,534790
decoded,Selected,REF/REF,30000,0.14175657734811795,100,534790
decoded,Selected,REF/REF,40000,0.18769236522747246,100,534790
decoded,Selected,REF/REF,50000,0.22555395575833503,100,534790
decoded,Neutral,ALT/ALT,5000,0.022862868333561052,169,43914
decoded,Neutral,ALT/ALT,10000,0.09539099148335382,169,43914
decoded,Neutral,ALT/ALT,20000,0.3093774195017534,169,43914
decoded,Neutral,ALT/ALT,30000,0.48189643393906273,169,43914
decoded,Neutral,ALT/ALT,40000,0.6016304595345447,169,43914
decoded,Neutral,ALT/ALT,50000,0.6868652365988067,169,43914
decoded,Neutral,REF/REF,5000,0.005361869401154445,169,1320808
decoded,Neutral,REF/REF,10000,0.023466696143572722,169,1320808
decoded,Neutral,REF/REF,20000,0.08188851066922671,169,1320808
decoded,Neutral,REF/REF,30000,0.13782851103264063,169,1320808
decoded,Neutral,REF/REF,40000,0.18395482159405455,169,1320808
decoded,Neutral,REF/REF,50000,0.22171352687143023,169,1320808
