source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
decoded,af,0.01,0.002,100,41,0.41,1000,9,0.009
decoded,af,0.05,0.002,100,70,0.7,1000,51,0.051
decoded,all_10000,0.01,0.002,100,0,0.0,1000,14,0.014
decoded,all_10000,0.05,0.002,100,4,0.04,1000,46,0.046
decoded,all_20000,0.01,0.002,100,2,0.02,1000,14,0.014
decoded,all_20000,0.05,0.002,100,11,0.11,1000,50,0.05
decoded,all_30000,0.01,0.002,100,3,0.03,1000,9,0.009
decoded,all_30000,0.05,0.002,100,8,0.08,1000,55,0.055
decoded,all_40000,0.01,0.002,100,3,0.03,1000,8,0.008
decoded,all_40000,0.05,0.002,100,9,0.09,1000,56,0.056
decoded,all_5000,0.01,0.002,100,1,0.01,1000,8,0.008
decoded,all_5000,0.05,0.002,100,3,0.03,1000,42,0.042
decoded,all_50000,0.01,0.002,100,3,0.03,1000,14,0.014
decoded,all_50000,0.05,0.002,100,5,0.05,1000,50,0.05
decoded,mass_10000,0.01,0.002,100,33,0.33,1000,8,0.008
decoded,mass_10000,0.05,0.002,100,69,0.69,1000,47,0.047
decoded,mass_20000,0.01,0.002,100,35,0.35,1000,10,0.01
decoded,mass_20000,0.05,0.002,100,69,0.69,1000,45,0.045
decoded,mass_30000,0.01,0.002,100,33,0.33,1000,10,0.01
decoded,mass_30000,0.05,0.002,100,70,0.7,1000,49,0.049
decoded,mass_40000,0.01,0.002,100,36,0.36,1000,11,0.011
decoded,mass_40000,0.05,0.002,100,71,0.71,1000,49,0.049
decoded,mass_5000,0.01,0.002,100,33,0.33,1000,9,0.009
decoded,mass_5000,0.05,0.002,100,67,0.67,1000,48,0.048
decoded,mass_50000,0.01,0.002,100,38,0.38,1000,10,0.01
decoded,mass_50000,0.05,0.002,100,69,0.69,1000,51,0.051
truth,af,0.01,0.002,100,41,0.41,1000,9,0.009
truth,af,0.05,0.002,100,70,0.7,1000,51,0.051
truth,all_10000,0.01,0.002,100,2,0.02,1000,12,0.012
truth,all_10000,0.05,0.002,100,3,0.03,1000,38,0.038
truth,all_20000,0.01,0.002,100,1,0.01,1000,10,0.01
truth,all_20000,0.05,0.002,100,7,0.07,1000,52,0.052
truth,all_30000,0.01,0.002,100,5,0.05,1000,12,0.012
truth,all_30000,0.05,0.002,100,11,0.11,1000,50,0.05
truth,all_40000,0.01,0.002,100,4,0.04,1000,11,0.011
truth,all_40000,0.05,0.002,100,14,0.14,1000,53,0.053
truth,all_5000,0.01,0.002,100,1,0.01,1000,10,0.01
truth,all_5000,0.05,0.002,100,7,0.07,1000,39,0.039
truth,all_50000,0.01,0.002,100,6,0.06,1000,12,0.012
truth,all_50000,0.05,0.002,100,19,0.19,1000,54,0.054
truth,mass_10000,0.01,0.002,100,44,0.44,1000,11,0.011
truth,mass_10000,0.05,0.002,100,67,0.67,1000,43,0.043
truth,mass_20000,0.01,0.002,100,39,0.39,1000,9,0.009
truth,mass_20000,0.05,0.002,100,73,0.73,1000,51,0.051
truth,mass_30000,0.01,0.002,100,41,0.41,1000,11,0.011
truth,mass_30000,0.05,0.002,100,71,0.71,1000,50,0.05
truth,mass_40000,0.01,0.002,100,38,0.38,1000,8,0.008
truth,mass_40000,0.05,0.002,100,69,0.69,1000,51,0.051
truth,mass_5000,0.01,0.002,100,38,0.38,1000,13,0.013
truth,mass_5000,0.05,0.002,100,58,0.58,1000,45,0.045
truth,mass_50000,0.01,0.002,100,43,0.43,1000,9,0.009
truth,mass_50000,0.05,0.002,100,70,0.7,1000,50,0.05
