source,method,alpha,s,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr,selected_calibration_positions,neutral_calibration_positions,calibration
decoded,all_10000,0.001,0.005,100,12,0.12,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_20000,0.001,0.005,100,14,0.14,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_30000,0.001,0.005,100,17,0.17,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_40000,0.001,0.005,100,24,0.24,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_5000,0.001,0.005,100,5,0.05,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_50000,0.001,0.005,100,23,0.23,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.005,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.005,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.005,100,3,0.03,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.005,100,20,0.2,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.005,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.005,100,42,0.42,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
