source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
decoded,all_10000,0.01,0.005,100,26,0.26,1000,14,0.014
decoded,all_10000,0.05,0.005,100,49,0.49,1000,46,0.046
decoded,all_20000,0.01,0.005,100,33,0.33,1000,14,0.014
decoded,all_20000,0.05,0.005,100,55,0.55,1000,50,0.05
decoded,all_30000,0.01,0.005,100,40,0.4,1000,9,0.009
decoded,all_30000,0.05,0.005,100,60,0.6,1000,55,0.055
decoded,all_40000,0.01,0.005,100,41,0.41,1000,8,0.008
decoded,all_40000,0.05,0.005,100,64,0.64,1000,56,0.056
decoded,all_5000,0.01,0.005,100,11,0.11,1000,8,0.008
decoded,all_5000,0.05,0.005,100,23,0.23,1000,42,0.042
decoded,all_50000,0.01,0.005,100,41,0.41,1000,14,0.014
decoded,all_50000,0.05,0.005,100,61,0.61,1000,50,0.05
truth,all_10000,0.01,0.005,100,0,0.0,1000,12,0.012
truth,all_10000,0.05,0.005,100,3,0.03,1000,38,0.038
truth,all_20000,0.01,0.005,100,18,0.18,1000,10,0.01
truth,all_20000,0.05,0.005,100,39,0.39,1000,52,0.052
truth,all_30000,0.01,0.005,100,36,0.36,1000,12,0.012
truth,all_30000,0.05,0.005,100,61,0.61,1000,50,0.05
truth,all_40000,0.01,0.005,100,47,0.47,1000,11,0.011
truth,all_40000,0.05,0.005,100,76,0.76,1000,53,0.053
truth,all_5000,0.01,0.005,100,0,0.0,1000,10,0.01
truth,all_5000,0.05,0.005,100,2,0.02,1000,39,0.039
truth,all_50000,0.01,0.005,100,74,0.74,1000,12,0.012
truth,all_50000,0.05,0.005,100,86,0.86,1000,54,0.054
