source,pair_class,position_0based,n_pairs,mean_tmrca_years,count_recent_5000,frac_recent_5000,count_recent_10000,frac_recent_10000,count_recent_20000,frac_recent_20000,count_recent_30000,frac_recent_30000,count_recent_40000,frac_recent_40000,count_recent_50000,frac_recent_50000,replicate,onset_years,sample_af
decoded,ref/ref,5000000,2814,527924.9226593918,17,0.0060412224591329,46,0.0163468372423596,147,0.0522388059701492,232,0.0824449182658138,337,0.1197583511016346,433,0.1538734896943852,0,50000,0.4675
decoded,alt/ref,5000000,4982,974384.109927126,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0004014452027298,6,0.0012043356081894,0,50000,0.4675
decoded,alt/alt,5000000,2204,35999.06144873964,28,0.0127041742286751,149,0.0676043557168784,773,0.3507259528130672,1181,0.5358439201451906,1553,0.7046279491833031,1816,0.8239564428312159,0,50000,0.4675
decoded,all pairs,5000000,10000,641930.4299453493,45,0.0045,195,0.0195,920,0.092,1413,0.1413,1892,0.1892,2255,0.2255,0,50000,0.4675
truth,ref/ref,5000000,2814,706047.6700378375,10,0.0035536602700781,30,0.0106609808102345,125,0.0444207533759772,252,0.0895522388059701,380,0.1350390902629708,409,0.1453447050461976,0,50000,0.4675
truth,alt/ref,5000000,4982,1172717.138336096,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50000,0.4675
truth,alt/alt,5000000,2204,31847.833484573504,12,0.0054446460980036,64,0.029038112522686,341,0.1547186932849364,1374,0.6234119782214156,1374,0.6234119782214156,2204,1.0,0,50000,0.4675
truth,all pairs,5000000,10000,789948.7551676905,22,0.0022,94,0.0094,466,0.0466,1626,0.1626,1754,0.1754,2613,0.2613,0,50000,0.4675
decoded,ref/ref,5000000,648,573845.0660519715,8,0.0123456790123456,26,0.0401234567901234,96,0.1481481481481481,122,0.1882716049382716,137,0.2114197530864197,139,0.2145061728395061,1,50000,0.745
decoded,alt/ref,5000000,3765,1228813.3464799034,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0005312084993359,1,50000,0.745
decoded,alt/alt,5000000,5587,33829.40125497069,92,0.0164667979237515,545,0.0975478790048326,2495,0.4465724002147843,3888,0.6959011992124575,4524,0.8097368892070879,4759,0.8517988186862359,1,50000,0.745
decoded,all pairs,5000000,10000,518733.8717110036,100,0.01,571,0.0571,2591,0.2591,4010,0.401,4661,0.4661,4900,0.49,1,50000,0.745
truth,ref/ref,5000000,648,582172.5332138656,5,0.007716049382716,12,0.0185185185185185,61,0.0941358024691358,147,0.2268518518518518,151,0.2330246913580247,153,0.2361111111111111,1,50000,0.745
truth,alt/ref,5000000,3765,1249080.631352418,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50000,0.745
