onset_years,source,pair_class,position_0based,mean_tmrca_years,mean_tmrca_years_n_regions,mean_tmrca_years_lower95,mean_tmrca_years_upper95,frac_recent_5000,frac_recent_5000_n_regions,frac_recent_5000_lower95,frac_recent_5000_upper95,frac_recent_10000,frac_recent_10000_n_regions,frac_recent_10000_lower95,frac_recent_10000_upper95,frac_recent_20000,frac_recent_20000_n_regions,frac_recent_20000_lower95,frac_recent_20000_upper95,frac_recent_30000,frac_recent_30000_n_regions,frac_recent_30000_lower95,frac_recent_30000_upper95,frac_recent_40000,frac_recent_40000_n_regions,frac_recent_40000_lower95,frac_recent_40000_upper95,frac_recent_50000,frac_recent_50000_n_regions,frac_recent_50000_lower95,frac_recent_50000_upper95
10000,decoded,all pairs,0,506939.32,100,472879.221,540999.418,0.001115,100,0.00104441641,0.00118558359,0.003046,100,0.00292419226,0.00316780774,0.012774,100,0.0119727748,0.0135752252,0.02891,100,0.0271518289,0.0306681711,0.050256,100,0.0469106538,0.0536013462,0.07227,100,0.0672208238,0.0773191762
10000,decoded,all pairs,10000,499171.461,100,458510.523,539832.398,0.002037,100,0.00194305351,0.00213094649,0.007949,100,0.00746938869,0.00842861131,0.033521,100,0.031367892,0.035674108,0.069966,100,0.0651601499,0.0747718501,0.106961,100,0.0997255267,0.114196473,0.143579,100,0.133880637,0.153277363
10000,decoded,all pairs,20000,467139.51,100,432279.468,501999.553,0.00216,100,0.00206113046,0.00225886954,0.009102,100,0.00851900055,0.00968499945,0.040368,100,0.0374853998,0.0432506002,0.084262,100,0.0786382995,0.0898857005,0.130585,100,0.122112225,0.139057775,0.174046,100,0.162879866,0.185212134
10000,decoded,all pairs,30000,467477.746,100,425167.876,509787.617,0.002257,100,0.00215375233,0.00236024767,0.010189,100,0.00953954205,0.0108384579,0.046996,100,0.0436490879,0.0503429121,0.098378,100,0.0917118581,0.105044142,0.146817,100,0.137554364,0.156079636,0.186142,100,0.174470735,0.197813265
10000,decoded,all pairs,40000,446131.56,100,406656.099,485607.021,0.002353,100,0.00224607391,0.00245992609,0.011227,100,0.0105541733,0.0118998267,0.053609,100,0.0498938254,0.0573241746,0.109472,100,0.102216328,0.116727672,0.154006,100,0.144253118,0.163758882,0.192553,100,0.18035439,0.20475161
10000,decoded,all pairs,50000,429485.655,100,394839.835,464131.475,0.002447,100,0.00233545038,0.00255854962,0.012454,100,0.0117035534,0.0132044466,0.060012,100,0.0559558351,0.0640681649,0.113625,100,0.105900748,0.121349252,0.156193,100,0.146063385,0.166322615,0.193103,100,0.180774538,0.205431462
10000,decoded,all pairs,60000,475788.517,100,436258.586,515318.448,0.002563,100,0.00244469576,0.00268130424,0.013648,100,0.0128472273,0.0144487727,0.064125,100,0.0599068039,0.0683431961,0.11555,100,0.107422735,0.123677265,0.15979,100,0.148852931,0.170727069,0.196032,100,0.182282293,0.209781707
10000,decoded,all pairs,70000,446892.157,100,412330.535,481453.778,0.002697,100,0.00257098672,0.00282301328,0.0149,100,0.0140386246,0.0157613754,0.066737,100,0.0624559455,0.0710180545,0.120018,100,0.112170728,0.127865272,0.166859,100,0.155726694,0.177991306,0.20511,100,0.19111817,0.21910183
10000,decoded,all pairs,80000,430601.356,100,393181.93,468020.782,0.002828,100,0.00269962223,0.00295637777,0.016125,100,0.0152445222,0.0170054778,0.06835,100,0.0640615733,0.0726384267,0.121,100,0.113257242,0.128742758,0.166326,100,0.155598408,0.177053592,0.205005,100,0.191564364,0.218445636
10000,decoded,all pairs,90000,439263.007,100,399892.711,478633.303,0.002942,100,0.0028120183,0.0030719817,0.0173,100,0.0163899525,0.0182100475,0.068838,100,0.0645847864,0.0730912136,0.120811,100,0.112704654,0.128917346,0.16549,100,0.154032282,0.176947718,0.203965,100,0.189644371,0.218285629
