source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,selected_n,selected_called,selected_fraction,neutral_n,neutral_called,neutral_fraction,nonfixed_n,nonfixed_fraction
decoded,5000,0.001,10000,0,1,100,14,0.14,1000,114,0.114,99,0.1414141414141414
decoded,5000,0.001,10000,0,3,100,11,0.11,1000,80,0.08,99,0.1111111111111111
decoded,5000,0.001,10000,0,5,100,9,0.09,1000,62,0.062,99,0.09090909090909091
decoded,5000,0.001,10000,0,10,100,6,0.06,1000,30,0.03,99,0.06060606060606061
decoded,5000,0.001,10000,0,20,100,2,0.02,1000,6,0.006,99,0.020202020202020204
decoded,5000,0.001,10000,1,1,100,14,0.14,1000,114,0.114,99,0.1414141414141414
decoded,5000,0.001,10000,1,3,100,11,0.11,1000,81,0.081,99,0.1111111111111111
decoded,5000,0.001,10000,1,5,100,9,0.09,1000,65,0.065,99,0.09090909090909091
decoded,5000,0.001,10000,1,10,100,7,0.07,1000,35,0.035,99,0.0707070707070707
decoded,5000,0.001,10000,1,20,100,2,0.02,1000,8,0.008,99,0.020202020202020204
decoded,5000,0.001,20000,0,1,100,12,0.12,1000,100,0.1,99,0.12121212121212122
decoded,5000,0.001,20000,0,3,100,9,0.09,1000,61,0.061,99,0.09090909090909091
decoded,5000,0.001,20000,0,5,100,7,0.07,1000,36,0.036,99,0.0707070707070707
decoded,5000,0.001,20000,0,10,100,2,0.02,1000,7,0.007,99,0.020202020202020204
decoded,5000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.001,20000,1,1,100,12,0.12,1000,100,0.1,99,0.12121212121212122
decoded,5000,0.001,20000,1,3,100,9,0.09,1000,65,0.065,99,0.09090909090909091
decoded,5000,0.001,20000,1,5,100,8,0.08,1000,38,0.038,99,0.08080808080808081
decoded,5000,0.001,20000,1,10,100,2,0.02,1000,9,0.009,99,0.020202020202020204
decoded,5000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.001,50000,0,1,100,12,0.12,1000,84,0.084,99,0.12121212121212122
decoded,5000,0.001,50000,0,3,100,6,0.06,1000,24,0.024,99,0.06060606060606061
decoded,5000,0.001,50000,0,5,100,1,0.01,1000,7,0.007,99,0.010101010101010102
decoded,5000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.001,50000,1,1,100,12,0.12,1000,84,0.084,99,0.12121212121212122
