source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
decoded,5000,0.001,10000,0,1,neutral,0.001,0.001,0.009,0.012,0.016,0.039,0.105
decoded,5000,0.001,10000,0,1,selected,0.01,0.0,0.04,0.03,0.01,0.0,0.21
decoded,5000,0.001,10000,0,3,neutral,0.001,0.001,0.003,0.008,0.009,0.019,0.059
decoded,5000,0.001,10000,0,3,selected,0.0,0.0,0.03,0.01,0.01,0.0,0.12
decoded,5000,0.001,10000,0,5,neutral,0.001,0.001,0.001,0.004,0.008,0.015,0.041
decoded,5000,0.001,10000,0,5,selected,0.0,0.0,0.02,0.01,0.01,0.0,0.08
decoded,5000,0.001,10000,0,10,neutral,0.0,0.0,0.001,0.0,0.005,0.006,0.019
decoded,5000,0.001,10000,0,10,selected,0.0,0.0,0.02,0.01,0.0,0.0,0.03
decoded,5000,0.001,10000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.001,0.005
decoded,5000,0.001,10000,0,20,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.001,10000,1,1,neutral,0.001,0.001,0.007,0.01,0.01,0.033,0.093
decoded,5000,0.001,10000,1,1,selected,0.01,0.0,0.04,0.02,0.01,0.0,0.16
decoded,5000,0.001,10000,1,3,neutral,0.001,0.001,0.003,0.006,0.006,0.019,0.056
decoded,5000,0.001,10000,1,3,selected,0.0,0.0,0.03,0.02,0.01,0.0,0.12
decoded,5000,0.001,10000,1,5,neutral,0.001,0.001,0.002,0.004,0.006,0.015,0.043
decoded,5000,0.001,10000,1,5,selected,0.0,0.0,0.02,0.01,0.01,0.0,0.08
decoded,5000,0.001,10000,1,10,neutral,0.0,0.0,0.001,0.001,0.006,0.006,0.022
decoded,5000,0.001,10000,1,10,selected,0.0,0.0,0.02,0.01,0.0,0.0,0.04
decoded,5000,0.001,10000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.001,0.007
decoded,5000,0.001,10000,1,20,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.001,20000,0,1,neutral,0.001,0.001,0.01,0.01,0.009,0.03,0.078
decoded,5000,0.001,20000,0,1,selected,0.0,0.0,0.03,0.02,0.01,0.0,0.16
decoded,5000,0.001,20000,0,3,neutral,0.001,0.001,0.001,0.003,0.006,0.014,0.042
decoded,5000,0.001,20000,0,3,selected,0.0,0.0,0.02,0.01,0.01,0.0,0.08
decoded,5000,0.001,20000,0,5,neutral,0.0,0.0,0.001,0.002,0.005,0.007,0.023
decoded,5000,0.001,20000,0,5,selected,0.0,0.0,0.02,0.01,0.0,0.0,0.04
decoded,5000,0.001,20000,0,10,neutral,0.0,0.0,0.0,0.0,0.0,0.001,0.006
decoded,5000,0.001,20000,0,10,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.001,20000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,0,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,1,neutral,0.001,0.001,0.007,0.007,0.008,0.025,0.074
decoded,5000,0.001,20000,1,1,selected,0.0,0.0,0.03,0.02,0.01,0.0,0.15
decoded,5000,0.001,20000,1,3,neutral,0.001,0.001,0.002,0.005,0.006,0.015,0.04
decoded,5000,0.001,20000,1,3,selected,0.0,0.0,0.02,0.01,0.01,0.0,0.08
decoded,5000,0.001,20000,1,5,neutral,0.0,0.0,0.001,0.002,0.006,0.007,0.024
decoded,5000,0.001,20000,1,5,selected,0.0,0.0,0.02,0.01,0.0,0.0,0.05
decoded,5000,0.001,20000,1,10,neutral,0.0,0.0,0.0,0.0,0.0,0.001,0.008
decoded,5000,0.001,20000,1,10,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.001,20000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,20000,1,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,1,neutral,0.0,0.002,0.003,0.006,0.006,0.018,0.061
decoded,5000,0.001,50000,0,1,selected,0.0,0.0,0.03,0.02,0.01,0.0,0.11
decoded,5000,0.001,50000,0,3,neutral,0.0,0.0,0.001,0.001,0.005,0.004,0.013
decoded,5000,0.001,50000,0,3,selected,0.0,0.0,0.02,0.01,0.0,0.0,0.03
decoded,5000,0.001,50000,0,5,neutral,0.0,0.0,0.0,0.0,0.001,0.0,0.006
decoded,5000,0.001,50000,0,5,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,10,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,1,neutral,0.0,0.002,0.003,0.006,0.006,0.018,0.057
decoded,5000,0.001,50000,1,1,selected,0.0,0.0,0.03,0.01,0.0,0.0,0.09
decoded,5000,0.001,50000,1,3,neutral,0.0,0.0,0.001,0.001,0.005,0.004,0.014
decoded,5000,0.001,50000,1,3,selected,0.0,0.0,0.02,0.01,0.0,0.0,0.03
decoded,5000,0.001,50000,1,5,neutral,0.0,0.0,0.0,0.0,0.001,0.0,0.007
decoded,5000,0.001,50000,1,5,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
