source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,0.0,neutral,5000,1000,0.004707,3.4168970112055156e-05
decoded,0.0,neutral,10000,1000,0.0213191,0.00020443771660329696
decoded,0.0,neutral,20000,1000,0.0775536,0.0009658339309747935
decoded,0.0,neutral,30000,1000,0.1333299,0.001736931630052685
decoded,0.0,neutral,40000,1000,0.1802963,0.002330616435469226
decoded,0.0,neutral,50000,1000,0.2189522,0.0027901242352999997
decoded,0.0,selected,5000,99,0.005752525252525251,0.000177009582099114
decoded,0.0,selected,10000,99,0.038002020202020204,0.0017497238818584445
decoded,0.0,selected,20000,99,0.17206565656565653,0.00850524474248044
decoded,0.0,selected,30000,99,0.30680101010101013,0.013798577576523308
decoded,0.0,selected,40000,99,0.40255858585858584,0.017023680743623402
decoded,0.0,selected,50000,99,0.4688212121212122,0.01862040313888177
decoded,30000.0,neutral,5000,1000,0.004718109999999999,3.2940443237769295e-05
decoded,30000.0,neutral,10000,1000,0.021280979999999998,0.0001887274301273731
decoded,30000.0,neutral,20000,1000,0.07694173000000001,0.0008335341995196531
decoded,30000.0,neutral,30000,1000,0.13209316000000002,0.0014526762972662006
decoded,30000.0,neutral,40000,1000,0.17857888,0.0019298982540062613
decoded,30000.0,neutral,50000,1000,0.21671422,0.0022673670425180604
decoded,30000.0,selected,5000,99,0.005684949494949495,0.00015596253387111317
decoded,30000.0,selected,10000,99,0.03629727272727273,0.0015428013779817304
decoded,30000.0,selected,20000,99,0.1552589898989899,0.007089406692378949
decoded,30000.0,selected,30000,99,0.26568646464646467,0.011120147082949314
decoded,30000.0,selected,40000,99,0.3412924242424243,0.013521656136170235
decoded,30000.0,selected,50000,99,0.3918934343434344,0.014812490381708851
decoded,80000.0,neutral,5000,1000,0.00474158,3.017839357949722e-05
decoded,80000.0,neutral,10000,1000,0.02127769,0.00016406298310809274
decoded,80000.0,neutral,20000,1000,0.07626176000000001,0.0006781776141828767
decoded,80000.0,neutral,30000,1000,0.13083495,0.0011846393849057062
decoded,80000.0,neutral,40000,1000,0.17709972,0.00156583639763091
decoded,80000.0,neutral,50000,1000,0.2151727,0.0018553285758685534
decoded,80000.0,selected,5000,99,0.0056960606060606055,0.0001531636297173333
decoded,80000.0,selected,10000,99,0.03367595959595959,0.001266808945555368
decoded,80000.0,selected,20000,99,0.12633060606060603,0.005228582644974489
decoded,80000.0,selected,30000,99,0.20415959595959596,0.008012122819722479
decoded,80000.0,selected,40000,99,0.2580589898989899,0.009580073385460526
decoded,80000.0,selected,50000,99,0.29612010101010106,0.010343470476515895
decoded,130000.0,neutral,5000,1000,0.00474163,2.7537809899737377e-05
decoded,130000.0,neutral,10000,1000,0.02113297,0.0001490185814478071
decoded,130000.0,neutral,20000,1000,0.07549378999999999,0.0006161785095989567
decoded,130000.0,neutral,30000,1000,0.1305062,0.001099088767879865
decoded,130000.0,neutral,40000,1000,0.17676148,0.0014810239518507308
decoded,130000.0,neutral,50000,1000,0.21492175,0.0017802642440424726
decoded,130000.0,selected,5000,99,0.005644040404040405,0.00015813682230911668
decoded,130000.0,selected,10000,99,0.03010070707070707,0.0010586314862287172
decoded,130000.0,selected,20000,99,0.10614030303030302,0.00407199220790257
decoded,130000.0,selected,30000,99,0.17408717171717167,0.006567319080255216
decoded,130000.0,selected,40000,99,0.2245626262626263,0.007964284828536256
decoded,130000.0,selected,50000,99,0.26170090909090915,0.008686399292891708
decoded,180000.0,neutral,5000,1000,0.004758739999999999,2.6720295406050185e-05
decoded,180000.0,neutral,10000,1000,0.02118613,0.00014130186106006898
decoded,180000.0,neutral,20000,1000,0.07548762,0.0006032907984737734
decoded,180000.0,neutral,30000,1000,0.12954902,0.0010631646716095107
decoded,180000.0,neutral,40000,1000,0.17559440999999998,0.001428936212905409
decoded,180000.0,neutral,50000,1000,0.21364291,0.0017115501918117948
decoded,180000.0,selected,5000,99,0.005535050505050505,0.00014727801507256321
decoded,180000.0,selected,10000,99,0.02739141414141414,0.0009749298693001553
decoded,180000.0,selected,20000,99,0.0934961616161616,0.0033204094161921214
decoded,180000.0,selected,30000,99,0.15357565656565658,0.005359703673003967
decoded,180000.0,selected,40000,99,0.20023434343434343,0.006885610071723116
decoded,180000.0,selected,50000,99,0.23714929292929296,0.007834915277640407
decoded,230000.0,neutral,5000,1000,0.00475989,2.623214084121068e-05
decoded,230000.0,neutral,10000,1000,0.021283439999999997,0.00013749738287217213
decoded,230000.0,neutral,20000,1000,0.07577331,0.000586583870030945
decoded,230000.0,neutral,30000,1000,0.13040664,0.0010396193385463159
decoded,230000.0,neutral,40000,1000,0.17690502,0.001406032781902109
decoded,230000.0,neutral,50000,1000,0.21532666999999997,0.0016902972221210712
decoded,230000.0,selected,5000,99,0.005359595959595959,0.00013379942646439088
decoded,230000.0,selected,10000,99,0.025677070707070707,0.0008681309671109559
decoded,230000.0,selected,20000,99,0.08794515151515153,0.0029076368193243864
decoded,230000.0,selected,30000,99,0.1444862626262626,0.004631804663637219
decoded,230000.0,selected,40000,99,0.18868858585858583,0.005957363040577582
decoded,230000.0,selected,50000,99,0.223780505050505,0.006837472925012807
decoded,280000.0,neutral,5000,1000,0.00475645,2.5369862581957898e-05
decoded,280000.0,neutral,10000,1000,0.02127658,0.00013358401997991373
decoded,280000.0,neutral,20000,1000,0.07530932,0.0005575150201880979
decoded,280000.0,neutral,30000,1000,0.12950883,0.0010057052350220968
decoded,280000.0,neutral,40000,1000,0.17544363,0.001364216873081366
decoded,280000.0,neutral,50000,1000,0.21370076,0.0016425913456947687
decoded,280000.0,selected,5000,99,0.0051778787878787895,0.00011072503999598467
decoded,280000.0,selected,10000,99,0.024466767676767674,0.0007324497238620739
decoded,280000.0,selected,20000,99,0.08562303030303033,0.003194620431311918
decoded,280000.0,selected,30000,99,0.14199939393939395,0.0050196456386917545
decoded,280000.0,selected,40000,99,0.18572626262626263,0.006157771631473976
decoded,280000.0,selected,50000,99,0.2210747474747475,0.0069754655893700425
decoded,330000.0,neutral,5000,1000,0.00476362,2.5331197468046497e-05
decoded,330000.0,neutral,10000,1000,0.021375579999999998,0.00013440628300980765
decoded,330000.0,neutral,20000,1000,0.07562026000000001,0.0005396048739145638
decoded,330000.0,neutral,30000,1000,0.12971778999999997,0.0009718195959863348
decoded,330000.0,neutral,40000,1000,0.17571838,0.001338378763239125
decoded,330000.0,neutral,50000,1000,0.21397692999999998,0.0016248751356586087
decoded,330000.0,selected,5000,99,0.005043434343434344,9.014866230580409e-05
decoded,330000.0,selected,10000,99,0.023385757575757577,0.0006513472249105402
decoded,330000.0,selected,20000,99,0.08127454545454545,0.00289266428114787
decoded,330000.0,selected,30000,99,0.1357650505050505,0.004722708657537684
decoded,330000.0,selected,40000,99,0.18078767676767676,0.0060983228105264305
decoded,330000.0,selected,50000,99,0.21725868686868685,0.007114849241470195
decoded,380000.0,neutral,5000,1000,0.0047621799999999995,2.5340880170345463e-05
decoded,380000.0,neutral,10000,1000,0.02147471,0.0001401895860466673
decoded,380000.0,neutral,20000,1000,0.07617376000000001,0.0005504678614859625
decoded,380000.0,neutral,30000,1000,0.13077972999999998,0.000981705908058527
decoded,380000.0,neutral,40000,1000,0.17743103999999998,0.001351034654461519
decoded,380000.0,neutral,50000,1000,0.21626632,0.0016615486798385033
decoded,380000.0,selected,5000,99,0.0049983838383838375,8.808748147327648e-05
decoded,380000.0,selected,10000,99,0.0228320202020202,0.0005116177989551874
decoded,380000.0,selected,20000,99,0.0789130303030303,0.002095122008071692
decoded,380000.0,selected,30000,99,0.13290060606060608,0.0038339723132257185
decoded,380000.0,selected,40000,99,0.1770967676767677,0.005147691302295503
decoded,380000.0,selected,50000,99,0.21206777777777783,0.006030005771585178
decoded,430000.0,neutral,5000,1000,0.004740359999999999,2.5147633564092545e-05
decoded,430000.0,neutral,10000,1000,0.021302849999999998,0.00013631463992748013
decoded,430000.0,neutral,20000,1000,0.07586648,0.0005765933916972591
decoded,430000.0,neutral,30000,1000,0.13033262,0.0010421009313337584
decoded,430000.0,neutral,40000,1000,0.17696976,0.0014350308249689312
decoded,430000.0,neutral,50000,1000,0.21574137000000002,0.0017496499802750769
decoded,430000.0,selected,5000,99,0.004898181818181818,8.009713280188718e-05
decoded,430000.0,selected,10000,99,0.022268888888888887,0.0005189025947937747
decoded,430000.0,selected,20000,99,0.07734131313131314,0.0018130853458611118
decoded,430000.0,selected,30000,99,0.1294816161616162,0.0029299346023429975
decoded,430000.0,selected,40000,99,0.1710225252525252,0.003746977126559502
decoded,430000.0,selected,50000,99,0.2054077777777778,0.004420205143861882
decoded,480000.0,neutral,5000,1000,0.004740650000000001,2.4910881749338573e-05
decoded,480000.0,neutral,10000,1000,0.02128118,0.00013439372113264772
