source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,10000,0,1,neutral,all,1000,0.0,0.114,1.0,0.0,0.183,0.114,0.001,0,183,0.0,0.0,0.114,0.0,0.0,0.114,0.0,0.0,0.114,0.0,0.0,0.114
decoded,5000,0.001,10000,0,1,selected,all,100,0.01,0.135,0.9666666666666667,0.006666666666666666,0.29,0.14,0.01,1,29,0.01,0.02,0.1325,0.01,0.02,0.1325,0.04,0.05,0.1025,0.05,0.05,0.1025
decoded,5000,0.001,10000,0,1,selected,nonfixed,99,0.010101010101010102,0.13636363636363635,0.9666666666666667,0.006734006734006734,0.29292929292929293,0.1414141414141414,0.010101010101010102,1,29,0.010101010101010102,0.020202020202020204,0.13383838383838384,0.010101010101010102,0.020202020202020204,0.13383838383838384,0.04040404040404041,0.050505050505050504,0.10353535353535354,0.050505050505050504,0.050505050505050504,0.10353535353535354
decoded,5000,0.001,10000,0,3,neutral,all,1000,0.0,0.08,1.0,0.0,0.1,0.08,0.001,0,100,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.08
decoded,5000,0.001,10000,0,3,selected,all,100,0.0,0.11,1.0,0.0,0.17,0.11,0.01,0,17,0.0,0.02,0.095,0.0,0.02,0.095,0.03,0.04,0.075,0.04,0.04,0.075
decoded,5000,0.001,10000,0,3,selected,nonfixed,99,0.0,0.1111111111111111,1.0,0.0,0.1717171717171717,0.1111111111111111,0.010101010101010102,0,17,0.0,0.020202020202020204,0.09595959595959595,0.0,0.020202020202020204,0.09595959595959595,0.030303030303030304,0.04040404040404041,0.07575757575757576,0.04040404040404041,0.04040404040404041,0.07575757575757576
decoded,5000,0.001,10000,0,5,neutral,all,1000,0.0,0.062,1.0,0.0,0.071,0.062,0.001,0,71,0.0,0.0,0.062,0.0,0.0,0.062,0.0,0.0,0.062,0.0,0.0,0.062
decoded,5000,0.001,10000,0,5,selected,all,100,0.0,0.09,1.0,0.0,0.12,0.09,0.01,0,12,0.0,0.02,0.075,0.0,0.02,0.075,0.02,0.03,0.065,0.03,0.03,0.065
decoded,5000,0.001,10000,0,5,selected,nonfixed,99,0.0,0.09090909090909091,1.0,0.0,0.12121212121212122,0.09090909090909091,0.010101010101010102,0,12,0.0,0.020202020202020204,0.07575757575757576,0.0,0.020202020202020204,0.07575757575757576,0.020202020202020204,0.030303030303030304,0.06565656565656566,0.030303030303030304,0.030303030303030304,0.06565656565656566
decoded,5000,0.001,10000,0,10,neutral,all,1000,0.0,0.03,1.0,0.0,0.031,0.03,0.001,0,31,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03
