cutoff_years,alpha,mode,both,decoded_only,truth_only,jaccard
5000,0.05,neutral,7729,39006,35330,0.0941814415402425
5000,0.05,selected,797,5057,2797,0.09212807767888105
5000,0.01,neutral,533,8799,7897,0.03093621220035986
5000,0.01,selected,111,1251,670,0.054625984251968504
5000,0.001,neutral,13,938,817,0.007352941176470588
5000,0.001,selected,10,187,57,0.03937007874015748
10000,0.05,neutral,3824,45667,43015,0.041337859165891944
10000,0.05,selected,627,6208,5176,0.05220214803097161
10000,0.01,neutral,247,9679,9042,0.013021931674398989
10000,0.01,selected,38,1865,1207,0.012218649517684888
10000,0.001,neutral,6,992,932,0.0031088082901554403
10000,0.001,selected,0,284,122,0.0
20000,0.05,neutral,5169,44727,44506,0.0547551958644944
20000,0.05,selected,1249,4847,5254,0.11004405286343612
20000,0.01,neutral,295,9684,9636,0.015039510578638797
20000,0.01,selected,203,1321,1327,0.07120308663626798
20000,0.001,neutral,1,994,993,0.0005030181086519115
20000,0.001,selected,11,181,298,0.022448979591836733
30000,0.05,neutral,8147,41800,41744,0.08885277726276297
30000,0.05,selected,1553,4133,5184,0.14287028518859246
30000,0.01,neutral,716,9273,9258,0.03720060269132852
30000,0.01,selected,285,1081,1630,0.09512683578104139
30000,0.001,neutral,21,979,975,0.010632911392405063
30000,0.001,selected,8,169,228,0.019753086419753086
40000,0.05,neutral,11647,38316,38307,0.13194743400928968
40000,0.05,selected,1718,3903,4364,0.17205808713069604
40000,0.01,neutral,1250,8742,8742,0.06672360414220134
40000,0.01,selected,319,1018,1193,0.12608695652173912
40000,0.001,neutral,32,968,967,0.01626842907981698
40000,0.001,selected,26,139,213,0.06878306878306878
50000,0.05,neutral,14960,35007,34997,0.17607457276022787
50000,0.05,selected,2271,3224,4196,0.2343411412650913
50000,0.01,neutral,1759,8237,8233,0.09649459652202534
50000,0.01,selected,525,775,1379,0.1959686450167973
50000,0.001,neutral,50,950,948,0.02566735112936345
50000,0.001,selected,45,110,409,0.0797872340425532
