source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,af,0.01,3000000,-2000000,100,1,0.01,1000,11,0.011
truth,af,0.01,4000000,-1000000,100,0,0.0,1000,8,0.008
truth,af,0.01,4500000,-500000,100,5,0.05,1000,12,0.012
truth,af,0.01,4800000,-200000,100,18,0.18,1000,9,0.009
truth,af,0.01,4900000,-100000,100,41,0.41,1000,13,0.013
truth,af,0.01,4950000,-50000,100,54,0.54,1000,10,0.01
truth,af,0.01,4980000,-20000,100,84,0.84,1000,9,0.009
truth,af,0.01,4990000,-10000,100,89,0.89,1000,7,0.007
truth,af,0.01,5000000,0,100,99,0.99,1000,9,0.009
truth,af,0.01,5010000,10000,100,90,0.9,1000,10,0.01
truth,af,0.01,5020000,20000,100,85,0.85,1000,9,0.009
truth,af,0.01,5050000,50000,100,69,0.69,1000,11,0.011
truth,af,0.01,5100000,100000,100,44,0.44,1000,9,0.009
truth,af,0.01,5200000,200000,100,17,0.17,1000,11,0.011
truth,af,0.01,5500000,500000,100,4,0.04,1000,7,0.007
truth,af,0.01,6000000,1000000,100,0,0.0,1000,8,0.008
truth,af,0.01,7000000,2000000,100,1,0.01,1000,8,0.008
truth,af,0.05,3000000,-2000000,100,5,0.05,1000,44,0.044
truth,af,0.05,4000000,-1000000,100,7,0.07,1000,50,0.05
truth,af,0.05,4500000,-500000,100,14,0.14,1000,49,0.049
truth,af,0.05,4800000,-200000,100,32,0.32,1000,45,0.045
truth,af,0.05,4900000,-100000,100,59,0.59,1000,50,0.05
truth,af,0.05,4950000,-50000,100,76,0.76,1000,47,0.047
truth,af,0.05,4980000,-20000,100,95,0.95,1000,51,0.051
truth,af,0.05,4990000,-10000,100,95,0.95,1000,61,0.061
truth,af,0.05,5000000,0,100,100,1.0,1000,51,0.051
truth,af,0.05,5010000,10000,100,94,0.94,1000,47,0.047
truth,af,0.05,5020000,20000,100,89,0.89,1000,49,0.049
truth,af,0.05,5050000,50000,100,84,0.84,1000,47,0.047
truth,af,0.05,5100000,100000,100,65,0.65,1000,51,0.051
truth,af,0.05,5200000,200000,100,47,0.47,1000,53,0.053
truth,af,0.05,5500000,500000,100,13,0.13,1000,57,0.057
truth,af,0.05,6000000,1000000,100,11,0.11,1000,48,0.048
truth,af,0.05,7000000,2000000,100,9,0.09,1000,57,0.057
truth,all_5000,0.01,3000000,-2000000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,4000000,-1000000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,4500000,-500000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,4800000,-200000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,4900000,-100000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,4950000,-50000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,4980000,-20000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,4990000,-10000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,5000000,0,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,5010000,10000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,5020000,20000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,5050000,50000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,5100000,100000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,5200000,200000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,5500000,500000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,6000000,1000000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,7000000,2000000,100,0,0.0,1000,10,0.01
truth,all_5000,0.05,3000000,-2000000,100,3,0.03,1000,44,0.044
truth,all_5000,0.05,4000000,-1000000,100,0,0.0,1000,40,0.04
truth,all_5000,0.05,4500000,-500000,100,1,0.01,1000,41,0.041
truth,all_5000,0.05,4800000,-200000,100,4,0.04,1000,42,0.042
truth,all_5000,0.05,4900000,-100000,100,1,0.01,1000,39,0.039
truth,all_5000,0.05,4950000,-50000,100,2,0.02,1000,42,0.042
truth,all_5000,0.05,4980000,-20000,100,2,0.02,1000,38,0.038
truth,all_5000,0.05,4990000,-10000,100,3,0.03,1000,42,0.042
truth,all_5000,0.05,5000000,0,100,2,0.02,1000,39,0.039
truth,all_5000,0.05,5010000,10000,100,3,0.03,1000,42,0.042
truth,all_5000,0.05,5020000,20000,100,2,0.02,1000,40,0.04
