source,method,fold,alpha,calibration_positions,strict_score_threshold
decoded,af,0,0.01,400,0.3425
decoded,af,0,0.05,400,0.1825
decoded,af,1,0.01,400,0.31
decoded,af,1,0.05,400,0.1825
decoded,af,2,0.01,400,0.3175
decoded,af,2,0.05,400,0.1725
decoded,af,3,0.01,400,0.3175
decoded,af,3,0.05,400,0.1375
decoded,af,4,0.01,400,0.33
decoded,af,4,0.05,400,0.1325
decoded,all_10000,0,0.01,400,0.0367
decoded,all_10000,0,0.05,400,0.0303
decoded,all_10000,1,0.01,400,0.0382
decoded,all_10000,1,0.05,400,0.0313
decoded,all_10000,2,0.01,400,0.0506
decoded,all_10000,2,0.05,400,0.0346
decoded,all_10000,3,0.01,400,0.0444
decoded,all_10000,3,0.05,400,0.0328
decoded,all_10000,4,0.01,400,0.0369
decoded,all_10000,4,0.05,400,0.0303
decoded,all_20000,0,0.01,400,0.1388
decoded,all_20000,0,0.05,400,0.112
decoded,all_20000,1,0.01,400,0.1614
decoded,all_20000,1,0.05,400,0.1222
decoded,all_20000,2,0.01,400,0.1932
decoded,all_20000,2,0.05,400,0.1375
decoded,all_20000,3,0.01,400,0.1932
decoded,all_20000,3,0.05,400,0.1324
decoded,all_20000,4,0.01,400,0.1536
decoded,all_20000,4,0.05,400,0.1205
decoded,all_30000,0,0.01,400,0.3013
decoded,all_30000,0,0.05,400,0.2049
decoded,all_30000,1,0.01,400,0.2902
decoded,all_30000,1,0.05,400,0.2137
decoded,all_30000,2,0.01,400,0.293
decoded,all_30000,2,0.05,400,0.2452
decoded,all_30000,3,0.01,400,0.2812
decoded,all_30000,3,0.05,400,0.2417
decoded,all_30000,4,0.01,400,0.295
decoded,all_30000,4,0.05,400,0.2221
decoded,all_40000,0,0.01,400,0.4318
decoded,all_40000,0,0.05,400,0.2841
decoded,all_40000,1,0.01,400,0.3891
decoded,all_40000,1,0.05,400,0.2997
decoded,all_40000,2,0.01,400,0.3891
decoded,all_40000,2,0.05,400,0.3235
decoded,all_40000,3,0.01,400,0.3819
decoded,all_40000,3,0.05,400,0.325
decoded,all_40000,4,0.01,400,0.4434
decoded,all_40000,4,0.05,400,0.2963
decoded,all_5000,0,0.01,400,0.0071
decoded,all_5000,0,0.05,400,0.0064
decoded,all_5000,1,0.01,400,0.0076
decoded,all_5000,1,0.05,400,0.0066
decoded,all_5000,2,0.01,400,0.0076
decoded,all_5000,2,0.05,400,0.0066
decoded,all_5000,3,0.01,400,0.0075
decoded,all_5000,3,0.05,400,0.0065
decoded,all_5000,4,0.01,400,0.0075
decoded,all_5000,4,0.05,400,0.0065
decoded,all_50000,0,0.01,400,0.5324
decoded,all_50000,0,0.05,400,0.361
decoded,all_50000,1,0.01,400,0.4489
decoded,all_50000,1,0.05,400,0.3669
decoded,all_50000,2,0.01,400,0.4511
decoded,all_50000,2,0.05,400,0.3888
decoded,all_50000,3,0.01,400,0.4776
decoded,all_50000,3,0.05,400,0.3897
decoded,all_50000,4,0.01,400,0.5271
decoded,all_50000,4,0.05,400,0.3766
decoded,mass_10000,0,0.01,400,0.0101
decoded,mass_10000,0,0.05,400,0.0039
decoded,mass_10000,1,0.01,400,0.0103
decoded,mass_10000,1,0.05,400,0.0031
decoded,mass_10000,2,0.01,400,0.0095
decoded,mass_10000,2,0.05,400,0.0031
decoded,mass_10000,3,0.01,400,0.0094
decoded,mass_10000,3,0.05,400,0.002
decoded,mass_10000,4,0.01,400,0.0094
decoded,mass_10000,4,0.05,400,0.0019
decoded,mass_20000,0,0.01,400,0.0329
decoded,mass_20000,0,0.05,400,0.0133
decoded,mass_20000,1,0.01,400,0.0328
decoded,mass_20000,1,0.05,400,0.0101
decoded,mass_20000,2,0.01,400,0.0331
decoded,mass_20000,2,0.05,400,0.0084
decoded,mass_20000,3,0.01,400,0.0286
decoded,mass_20000,3,0.05,400,0.0059
decoded,mass_20000,4,0.01,400,0.029
decoded,mass_20000,4,0.05,400,0.0058
decoded,mass_30000,0,0.01,400,0.0576
decoded,mass_30000,0,0.05,400,0.0167
decoded,mass_30000,1,0.01,400,0.055
decoded,mass_30000,1,0.05,400,0.016
decoded,mass_30000,2,0.01,400,0.0532
decoded,mass_30000,2,0.05,400,0.0133
decoded,mass_30000,3,0.01,400,0.0437
decoded,mass_30000,3,0.05,400,0.0082
decoded,mass_30000,4,0.01,400,0.0491
decoded,mass_30000,4,0.05,400,0.0094
decoded,mass_40000,0,0.01,400,0.072
decoded,mass_40000,0,0.05,400,0.0215
decoded,mass_40000,1,0.01,400,0.0667
decoded,mass_40000,1,0.05,400,0.0215
decoded,mass_40000,2,0.01,400,0.0667
decoded,mass_40000,2,0.05,400,0.015
decoded,mass_40000,3,0.01,400,0.0521
