source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
decoded,af,0.01,0.005,100,99,0.99,1000,9,0.009
decoded,af,0.05,0.005,100,100,1.0,1000,51,0.051
decoded,all_10000,0.01,0.005,100,26,0.26,1000,14,0.014
decoded,all_10000,0.05,0.005,100,49,0.49,1000,46,0.046
decoded,all_20000,0.01,0.005,100,33,0.33,1000,14,0.014
decoded,all_20000,0.05,0.005,100,55,0.55,1000,50,0.05
decoded,all_30000,0.01,0.005,100,40,0.4,1000,9,0.009
decoded,all_30000,0.05,0.005,100,60,0.6,1000,55,0.055
decoded,all_40000,0.01,0.005,100,41,0.41,1000,8,0.008
decoded,all_40000,0.05,0.005,100,64,0.64,1000,56,0.056
decoded,all_5000,0.01,0.005,100,11,0.11,1000,8,0.008
decoded,all_5000,0.05,0.005,100,23,0.23,1000,42,0.042
decoded,all_50000,0.01,0.005,100,41,0.41,1000,14,0.014
decoded,all_50000,0.05,0.005,100,61,0.61,1000,50,0.05
decoded,mass_10000,0.01,0.005,100,97,0.97,1000,8,0.008
decoded,mass_10000,0.05,0.005,100,100,1.0,1000,47,0.047
decoded,mass_20000,0.01,0.005,100,99,0.99,1000,10,0.01
decoded,mass_20000,0.05,0.005,100,100,1.0,1000,45,0.045
decoded,mass_30000,0.01,0.005,100,99,0.99,1000,10,0.01
decoded,mass_30000,0.05,0.005,100,100,1.0,1000,49,0.049
decoded,mass_40000,0.01,0.005,100,99,0.99,1000,11,0.011
decoded,mass_40000,0.05,0.005,100,100,1.0,1000,49,0.049
decoded,mass_5000,0.01,0.005,100,99,0.99,1000,9,0.009
decoded,mass_5000,0.05,0.005,100,100,1.0,1000,48,0.048
decoded,mass_50000,0.01,0.005,100,98,0.98,1000,10,0.01
decoded,mass_50000,0.05,0.005,100,100,1.0,1000,51,0.051
truth,af,0.01,0.001,92,14,0.15217391304347827,1000,9,0.009
truth,af,0.01,0.002,93,40,0.43010752688172044,1000,9,0.009
truth,af,0.01,0.003,95,57,0.6,1000,9,0.009
truth,af,0.01,0.004,94,74,0.7872340425531915,1000,9,0.009
truth,af,0.01,0.005,100,99,0.99,1000,9,0.009
truth,af,0.01,0.006,94,88,0.9361702127659575,1000,9,0.009
truth,af,0.01,0.007,94,92,0.9787234042553191,1000,9,0.009
truth,af,0.01,0.008,95,93,0.9789473684210527,1000,9,0.009
truth,af,0.01,0.009,95,95,1.0,1000,9,0.009
truth,af,0.01,0.01,95,95,1.0,1000,9,0.009
truth,af,0.05,0.001,92,39,0.42391304347826086,1000,51,0.051
truth,af,0.05,0.002,93,66,0.7096774193548387,1000,51,0.051
truth,af,0.05,0.003,95,75,0.7894736842105263,1000,51,0.051
truth,af,0.05,0.004,94,87,0.925531914893617,1000,51,0.051
truth,af,0.05,0.005,100,100,1.0,1000,51,0.051
truth,af,0.05,0.006,94,92,0.9787234042553191,1000,51,0.051
truth,af,0.05,0.007,94,93,0.9893617021276596,1000,51,0.051
truth,af,0.05,0.008,95,93,0.9789473684210527,1000,51,0.051
truth,af,0.05,0.009,95,95,1.0,1000,51,0.051
truth,af,0.05,0.01,95,95,1.0,1000,51,0.051
truth,all_10000,0.01,0.001,92,2,0.021739130434782608,1000,12,0.012
truth,all_10000,0.01,0.002,93,2,0.021505376344086023,1000,12,0.012
truth,all_10000,0.01,0.003,95,1,0.010526315789473684,1000,12,0.012
truth,all_10000,0.01,0.004,94,3,0.031914893617021274,1000,12,0.012
truth,all_10000,0.01,0.005,100,0,0.0,1000,12,0.012
truth,all_10000,0.01,0.006,94,2,0.02127659574468085,1000,12,0.012
truth,all_10000,0.01,0.007,94,2,0.02127659574468085,1000,12,0.012
truth,all_10000,0.01,0.008,95,3,0.031578947368421054,1000,12,0.012
truth,all_10000,0.01,0.009,95,2,0.021052631578947368,1000,12,0.012
truth,all_10000,0.01,0.01,95,0,0.0,1000,12,0.012
truth,all_10000,0.05,0.001,92,6,0.06521739130434782,1000,38,0.038
truth,all_10000,0.05,0.002,93,3,0.03225806451612903,1000,38,0.038
truth,all_10000,0.05,0.003,95,6,0.06315789473684211,1000,38,0.038
truth,all_10000,0.05,0.004,94,11,0.11702127659574468,1000,38,0.038
truth,all_10000,0.05,0.005,100,3,0.03,1000,38,0.038
truth,all_10000,0.05,0.006,94,12,0.1276595744680851,1000,38,0.038
truth,all_10000,0.05,0.007,94,5,0.05319148936170213,1000,38,0.038
truth,all_10000,0.05,0.008,95,8,0.08421052631578947,1000,38,0.038
truth,all_10000,0.05,0.009,95,5,0.05263157894736842,1000,38,0.038
truth,all_10000,0.05,0.01,95,5,0.05263157894736842,1000,38,0.038
truth,all_20000,0.01,0.001,92,3,0.03260869565217391,1000,10,0.01
truth,all_20000,0.01,0.002,93,1,0.010752688172043012,1000,10,0.01
truth,all_20000,0.01,0.003,95,7,0.07368421052631578,1000,10,0.01
truth,all_20000,0.01,0.004,94,12,0.1276595744680851,1000,10,0.01
truth,all_20000,0.01,0.005,100,18,0.18,1000,10,0.01
truth,all_20000,0.01,0.006,94,17,0.18085106382978725,1000,10,0.01
truth,all_20000,0.01,0.007,94,16,0.1702127659574468,1000,10,0.01
truth,all_20000,0.01,0.008,95,16,0.16842105263157894,1000,10,0.01
truth,all_20000,0.01,0.009,95,9,0.09473684210526316,1000,10,0.01
truth,all_20000,0.01,0.01,95,7,0.07368421052631578,1000,10,0.01
truth,all_20000,0.05,0.001,92,10,0.10869565217391304,1000,52,0.052
truth,all_20000,0.05,0.002,93,6,0.06451612903225806,1000,52,0.052
truth,all_20000,0.05,0.003,95,18,0.18947368421052632,1000,52,0.052
truth,all_20000,0.05,0.004,94,30,0.3191489361702128,1000,52,0.052
truth,all_20000,0.05,0.005,100,39,0.39,1000,52,0.052
truth,all_20000,0.05,0.006,94,49,0.5212765957446809,1000,52,0.052
truth,all_20000,0.05,0.007,94,44,0.46808510638297873,1000,52,0.052
truth,all_20000,0.05,0.008,95,35,0.3684210526315789,1000,52,0.052
truth,all_20000,0.05,0.009,95,18,0.18947368421052632,1000,52,0.052
truth,all_20000,0.05,0.01,95,23,0.24210526315789474,1000,52,0.052
truth,all_30000,0.01,0.001,92,3,0.03260869565217391,1000,12,0.012
truth,all_30000,0.01,0.002,93,5,0.053763440860215055,1000,12,0.012
truth,all_30000,0.01,0.003,95,16,0.16842105263157894,1000,12,0.012
truth,all_30000,0.01,0.004,94,25,0.26595744680851063,1000,12,0.012
truth,all_30000,0.01,0.005,100,36,0.36,1000,12,0.012
truth,all_30000,0.01,0.006,94,40,0.425531914893617,1000,12,0.012
truth,all_30000,0.01,0.007,94,38,0.40425531914893614,1000,12,0.012
truth,all_30000,0.01,0.008,95,33,0.3473684210526316,1000,12,0.012
truth,all_30000,0.01,0.009,95,27,0.28421052631578947,1000,12,0.012
truth,all_30000,0.01,0.01,95,27,0.28421052631578947,1000,12,0.012
truth,all_30000,0.05,0.001,92,7,0.07608695652173914,1000,50,0.05
truth,all_30000,0.05,0.002,93,11,0.11827956989247312,1000,50,0.05
truth,all_30000,0.05,0.003,95,33,0.3473684210526316,1000,50,0.05
truth,all_30000,0.05,0.004,94,40,0.425531914893617,1000,50,0.05
truth,all_30000,0.05,0.005,100,61,0.61,1000,50,0.05
truth,all_30000,0.05,0.006,94,62,0.6595744680851063,1000,50,0.05
truth,all_30000,0.05,0.007,94,61,0.648936170212766,1000,50,0.05
truth,all_30000,0.05,0.008,95,47,0.49473684210526314,1000,50,0.05
truth,all_30000,0.05,0.009,95,38,0.4,1000,50,0.05
truth,all_30000,0.05,0.01,95,39,0.4105263157894737,1000,50,0.05
truth,all_40000,0.01,0.001,92,1,0.010869565217391304,1000,11,0.011
truth,all_40000,0.01,0.002,93,3,0.03225806451612903,1000,11,0.011
truth,all_40000,0.01,0.003,95,17,0.17894736842105263,1000,11,0.011
truth,all_40000,0.01,0.004,94,28,0.2978723404255319,1000,11,0.011
truth,all_40000,0.01,0.005,100,47,0.47,1000,11,0.011
truth,all_40000,0.01,0.006,94,55,0.5851063829787234,1000,11,0.011
truth,all_40000,0.01,0.007,94,60,0.6382978723404256,1000,11,0.011
truth,all_40000,0.01,0.008,95,60,0.631578947368421,1000,11,0.011
truth,all_40000,0.01,0.009,95,48,0.5052631578947369,1000,11,0.011
truth,all_40000,0.01,0.01,95,51,0.5368421052631579,1000,11,0.011
truth,all_40000,0.05,0.001,92,4,0.043478260869565216,1000,53,0.053
truth,all_40000,0.05,0.002,93,13,0.13978494623655913,1000,53,0.053
truth,all_40000,0.05,0.003,95,34,0.35789473684210527,1000,53,0.053
truth,all_40000,0.05,0.004,94,46,0.48936170212765956,1000,53,0.053
truth,all_40000,0.05,0.005,100,76,0.76,1000,53,0.053
truth,all_40000,0.05,0.006,94,73,0.776595744680851,1000,53,0.053
truth,all_40000,0.05,0.007,94,74,0.7872340425531915,1000,53,0.053
truth,all_40000,0.05,0.008,95,74,0.7789473684210526,1000,53,0.053
truth,all_40000,0.05,0.009,95,64,0.6736842105263158,1000,53,0.053
