source,alpha,s,method,n,af_called,mass_called,mass_only,af_only,power_difference,paired_exact_p,interpretation
decoded,0.01,0.005,mass_10000,100,99,97,0,2,-0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_20000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_30000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_40000,100,99,99,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_5000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.01,0.005,mass_50000,100,99,98,0,1,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
decoded,0.05,0.005,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_10000,92,14,19,8,3,0.05434782608695651,0.2265625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_20000,92,14,20,7,1,0.06521739130434781,0.0703125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_30000,92,14,21,8,1,0.07608695652173911,0.0390625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_40000,92,14,16,5,3,0.021739130434782594,0.7265625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_5000,92,14,13,6,7,-0.010869565217391325,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.001,mass_50000,92,14,16,2,0,0.021739130434782594,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_10000,93,40,43,7,4,0.032258064516129004,0.548828125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_20000,93,40,38,3,5,-0.021505376344086002,0.7265625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_30000,93,40,40,6,6,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_40000,93,40,37,1,4,-0.03225806451612906,0.375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_5000,93,40,37,4,7,-0.03225806451612906,0.548828125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.002,mass_50000,93,40,42,3,1,0.021505376344086002,0.625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_10000,95,57,61,6,2,0.04210526315789476,0.2890625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_20000,95,57,63,7,1,0.06315789473684208,0.0703125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_30000,95,57,65,8,0,0.08421052631578951,0.0078125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_40000,95,57,59,3,1,0.021052631578947434,0.625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_5000,95,57,54,3,6,-0.03157894736842104,0.5078125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.003,mass_50000,95,57,58,1,0,0.010526315789473717,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_10000,94,74,80,8,2,0.06382978723404253,0.109375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_20000,94,74,78,5,1,0.04255319148936165,0.21875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_30000,94,74,81,7,0,0.07446808510638292,0.015625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_40000,94,74,75,1,0,0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_5000,94,74,67,2,9,-0.07446808510638303,0.0654296875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.004,mass_50000,94,74,75,1,0,0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_10000,100,99,100,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_20000,100,99,100,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_30000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_40000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_5000,100,99,97,0,2,-0.020000000000000018,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.005,mass_50000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_10000,94,88,89,1,0,0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_20000,94,88,89,1,0,0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_30000,94,88,88,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_40000,94,88,88,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_5000,94,88,86,0,2,-0.021276595744680882,0.5,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.006,mass_50000,94,88,88,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_10000,94,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_20000,94,92,93,1,0,0.010638297872340496,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_30000,94,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_40000,94,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_5000,94,92,91,0,1,-0.010638297872340385,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.007,mass_50000,94,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_10000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_20000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_30000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_40000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_5000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.008,mass_50000,95,93,93,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_10000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_20000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_30000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_40000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_5000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.009,mass_50000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_10000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_20000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_30000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_40000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_5000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.01,0.01,mass_50000,95,95,95,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_10000,92,39,48,11,2,0.09782608695652173,0.0224609375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_20000,92,39,50,12,1,0.11956521739130432,0.00341796875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_30000,92,39,44,5,0,0.05434782608695654,0.0625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_40000,92,39,43,5,1,0.043478260869565244,0.21875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_5000,92,39,40,6,5,0.010869565217391297,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.001,mass_50000,92,39,43,5,1,0.043478260869565244,0.21875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_10000,93,66,63,2,5,-0.032258064516129115,0.453125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_20000,93,66,68,3,1,0.021505376344086002,0.625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_30000,93,66,67,1,0,0.010752688172043001,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_40000,93,66,66,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_5000,93,66,57,1,10,-0.09677419354838712,0.01171875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.002,mass_50000,93,66,66,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_10000,95,75,77,4,2,0.021052631578947323,0.6875,exploratory; unadjusted across time cutoffs and selection arms
