source,method,alpha,s,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr,selected_calibration_positions,neutral_calibration_positions,calibration
decoded,af,0.001,0.005,100,90,0.9,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_10000,0.001,0.005,100,12,0.12,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_20000,0.001,0.005,100,14,0.14,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_30000,0.001,0.005,100,17,0.17,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_40000,0.001,0.005,100,24,0.24,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_5000,0.001,0.005,100,5,0.05,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,all_50000,0.001,0.005,100,23,0.23,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_10000,0.001,0.005,100,85,0.85,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_20000,0.001,0.005,100,82,0.82,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_30000,0.001,0.005,100,88,0.88,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_40000,0.001,0.005,100,89,0.89,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_5000,0.001,0.005,100,91,0.91,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
decoded,mass_50000,0.001,0.005,100,92,0.92,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.001,92,2,0.021739130434782608,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.002,93,17,0.1827956989247312,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.003,95,39,0.4105263157894737,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.004,94,59,0.6276595744680851,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.005,100,90,0.9,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.006,94,84,0.8936170212765957,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.007,94,91,0.9680851063829787,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.008,95,93,0.9789473684210527,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.009,95,95,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,af,0.001,0.01,95,95,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.001,92,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.002,93,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.003,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.004,94,1,0.010638297872340425,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.005,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.006,94,1,0.010638297872340425,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.007,94,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.008,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.009,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_10000,0.001,0.01,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.001,92,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.002,93,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.003,95,3,0.031578947368421054,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.004,94,3,0.031914893617021274,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.005,100,7,0.07,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.006,94,9,0.09574468085106383,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.007,94,8,0.0851063829787234,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.008,95,6,0.06315789473684211,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.009,95,3,0.031578947368421054,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_20000,0.001,0.01,95,4,0.042105263157894736,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.001,92,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.002,93,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.003,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.004,94,2,0.02127659574468085,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.005,100,3,0.03,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.006,94,7,0.07446808510638298,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.007,94,10,0.10638297872340426,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.008,95,4,0.042105263157894736,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.009,95,6,0.06315789473684211,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_30000,0.001,0.01,95,7,0.07368421052631578,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.001,92,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.002,93,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.003,95,10,0.10526315789473684,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.004,94,13,0.13829787234042554,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.005,100,20,0.2,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.006,94,37,0.39361702127659576,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.007,94,32,0.3404255319148936,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.008,95,41,0.43157894736842106,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.009,95,34,0.35789473684210527,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_40000,0.001,0.01,95,33,0.3473684210526316,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.001,92,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.002,93,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.003,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.004,94,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.005,100,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.006,94,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.007,94,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.008,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.009,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_5000,0.001,0.01,95,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.001,92,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.002,93,0,0.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.003,95,6,0.06315789473684211,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.004,94,13,0.13829787234042554,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.005,100,42,0.42,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.006,94,50,0.5319148936170213,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.007,94,56,0.5957446808510638,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.008,95,71,0.7473684210526316,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.009,95,61,0.6421052631578947,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,all_50000,0.001,0.01,95,71,0.7473684210526316,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.001,92,5,0.05434782608695652,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.002,93,24,0.25806451612903225,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.003,95,48,0.5052631578947369,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.004,94,69,0.7340425531914894,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.005,100,95,0.95,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.006,94,87,0.925531914893617,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.007,94,92,0.9787234042553191,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.008,95,93,0.9789473684210527,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.009,95,95,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_10000,0.001,0.01,95,95,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.001,92,6,0.06521739130434782,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.002,93,15,0.16129032258064516,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.003,95,43,0.45263157894736844,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.004,94,61,0.648936170212766,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.005,100,93,0.93,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.006,94,88,0.9361702127659575,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.007,94,92,0.9787234042553191,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.008,95,93,0.9789473684210527,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.009,95,93,0.9789473684210527,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_20000,0.001,0.01,95,94,0.9894736842105263,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.001,92,9,0.09782608695652174,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.002,93,22,0.23655913978494625,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.003,95,51,0.5368421052631579,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.004,94,70,0.7446808510638298,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.005,100,98,0.98,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.006,94,87,0.925531914893617,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.007,94,92,0.9787234042553191,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.008,95,93,0.9789473684210527,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.009,95,95,1.0,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_30000,0.001,0.01,95,94,0.9894736842105263,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.001,92,1,0.010869565217391304,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.002,93,4,0.043010752688172046,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.003,95,26,0.2736842105263158,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.004,94,33,0.35106382978723405,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.005,100,55,0.55,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.006,94,65,0.6914893617021277,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.007,94,65,0.6914893617021277,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.008,95,66,0.6947368421052632,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.009,95,57,0.6,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_40000,0.001,0.01,95,63,0.6631578947368421,1000,1,0.001,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.001,92,1,0.010869565217391304,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.002,93,21,0.22580645161290322,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.003,95,36,0.37894736842105264,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.004,94,48,0.5106382978723404,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.005,100,79,0.79,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.006,94,81,0.8617021276595744,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
truth,mass_5000,0.001,0.007,94,84,0.8936170212765957,1000,0,0.0,1000,999,pooled neutral ranks; leave-one-out for neutral evaluation
