source,onset_years,cutoff_years,n,region_mean,average_position_sd,focal_mean,rmse_to_truth
mean,0,5000,1000,0.0046878195,0.0009679853519463283,0.004787499999999999,0.002204312975458501
mean,0,10000,1000,0.0210753888,0.005743848876027726,0.0212205,0.014768105662728912
mean,0,20000,1000,0.07529973629999999,0.026260615012557546,0.0748899,0.03909541411622003
mean,0,30000,1000,0.12947872940000002,0.04834990220629117,0.1287507,0.05409812665483483
mean,0,40000,1000,0.175364195,0.06703370765223081,0.17434789999999997,0.0644011570115146
mean,0,50000,1000,0.2133599184,0.08219126820960798,0.2121206,0.07302626115774528
mean,10000,5000,100,0.0047031619999999994,0.0009746058804319075,0.005143,0.00228279858296596
mean,10000,10000,100,0.021288376,0.0056218844169609065,0.022775000000000004,0.014878785610845956
mean,10000,20000,100,0.07553151300000001,0.02571826599139085,0.075909,0.038934891376341894
mean,10000,30000,100,0.12929765499999998,0.047438904016087094,0.12447799999999999,0.05260858274595611
mean,10000,40000,100,0.17465773200000004,0.06571361460327159,0.16227,0.0637535903933112
mean,10000,50000,100,0.212173955,0.08062812035318422,0.19266300000000006,0.07261667282442061
mean,50000,5000,100,0.004758718,0.0010025516140688775,0.005852,0.0023710120261324747
mean,50000,10000,100,0.021707531,0.006025123609419718,0.037319000000000005,0.015661364178016685
mean,50000,20000,100,0.07700955200000001,0.026876007172607706,0.16390500000000002,0.041496769472168404
mean,50000,30000,100,0.13159296399999998,0.04886275530607632,0.28850800000000004,0.05598595434739195
mean,50000,40000,100,0.17740748,0.06720048566584617,0.384741,0.06561771486799328
mean,50000,50000,100,0.215003845,0.0819029736612979,0.45207100000000006,0.0736816422659176
median,0,5000,1000,0.0096501139,0.0022517060154447605,0.0097689,0.007321608338192211
median,0,10000,1000,0.040195614000000005,0.012828897350713086,0.0402039,0.035116531918913396
median,0,20000,1000,0.1136879651,0.0422841018261441,0.11296479999999999,0.07958504189438026
median,0,30000,1000,0.17413150449999998,0.06702058685989817,0.1731729,0.09743959780202915
median,0,40000,1000,0.22082218280000002,0.0857251808145994,0.21928930000000002,0.10249554226134382
median,0,50000,1000,0.2576810796,0.10007120139472744,0.2557133,0.10421814002914635
median,10000,5000,100,0.009741548000000001,0.0022457371605307266,0.010642,0.007476065291778478
median,10000,10000,100,0.040479516,0.012614933941185732,0.042572,0.03529090120377415
median,10000,20000,100,0.113607585,0.04145110362433084,0.110808,0.07912638092585567
median,10000,30000,100,0.17342129399999998,0.0656968945743381,0.16116599999999998,0.09483615560434645
median,10000,40000,100,0.21952827600000005,0.08415102712458782,0.19813199999999997,0.10074025000839072
median,10000,50000,100,0.255914262,0.09845943857448375,0.22457200000000005,0.10252028999190445
median,50000,5000,100,0.009919302999999999,0.0023874582113890034,0.014660000000000001,0.007747195399683549
