onset_years,source,method,cutoff_years,policy,target,mode,n,called,region_call_rate
10000,mean,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,12,0.012
10000,mean,maximum_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
10000,mean,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,42,0.042
10000,mean,maximum_frac_recent,5000,neutral_target,0.05,selected,100,7,0.07
10000,mean,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,87,0.087
10000,mean,maximum_frac_recent,5000,neutral_target,0.1,selected,100,8,0.08
10000,mean,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,740,0.74
10000,mean,maximum_frac_recent,5000,selected_target,0.7,selected,100,70,0.7
10000,mean,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
10000,mean,maximum_frac_recent,10000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,45,0.045
10000,mean,maximum_frac_recent,10000,neutral_target,0.05,selected,100,3,0.03
10000,mean,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,102,0.102
10000,mean,maximum_frac_recent,10000,neutral_target,0.1,selected,100,8,0.08
10000,mean,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,679,0.679
10000,mean,maximum_frac_recent,10000,selected_target,0.7,selected,100,68,0.68
10000,mean,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,15,0.015
10000,mean,maximum_frac_recent,20000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,55,0.055
10000,mean,maximum_frac_recent,20000,neutral_target,0.05,selected,100,5,0.05
10000,mean,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,109,0.109
10000,mean,maximum_frac_recent,20000,neutral_target,0.1,selected,100,9,0.09
10000,mean,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,637,0.637
10000,mean,maximum_frac_recent,20000,selected_target,0.7,selected,100,68,0.68
10000,mean,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,14,0.014
10000,mean,maximum_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,55,0.055
10000,mean,maximum_frac_recent,30000,neutral_target,0.05,selected,100,8,0.08
10000,mean,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,102,0.102
10000,mean,maximum_frac_recent,30000,neutral_target,0.1,selected,100,12,0.12
10000,mean,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,651,0.651
10000,mean,maximum_frac_recent,30000,selected_target,0.7,selected,100,68,0.68
10000,mean,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,10,0.01
10000,mean,maximum_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,54,0.054
10000,mean,maximum_frac_recent,40000,neutral_target,0.05,selected,100,7,0.07
10000,mean,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,103,0.103
10000,mean,maximum_frac_recent,40000,neutral_target,0.1,selected,100,10,0.1
10000,mean,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,652,0.652
10000,mean,maximum_frac_recent,40000,selected_target,0.7,selected,100,67,0.67
10000,mean,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,10,0.01
10000,mean,maximum_frac_recent,50000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_frac_recent,50000,neutral_target,0.05,neutral,1000,49,0.049
10000,mean,maximum_frac_recent,50000,neutral_target,0.05,selected,100,6,0.06
10000,mean,maximum_frac_recent,50000,neutral_target,0.1,neutral,1000,98,0.098
10000,mean,maximum_frac_recent,50000,neutral_target,0.1,selected,100,10,0.1
10000,mean,maximum_frac_recent,50000,selected_target,0.7,neutral,1000,685,0.685
10000,mean,maximum_frac_recent,50000,selected_target,0.7,selected,100,69,0.69
10000,mean,maximum_standardized_frac_recent,5000,neutral_target,0.01,neutral,1000,13,0.013
10000,mean,maximum_standardized_frac_recent,5000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_standardized_frac_recent,5000,neutral_target,0.05,neutral,1000,46,0.046
10000,mean,maximum_standardized_frac_recent,5000,neutral_target,0.05,selected,100,7,0.07
10000,mean,maximum_standardized_frac_recent,5000,neutral_target,0.1,neutral,1000,91,0.091
10000,mean,maximum_standardized_frac_recent,5000,neutral_target,0.1,selected,100,9,0.09
10000,mean,maximum_standardized_frac_recent,5000,selected_target,0.7,neutral,1000,666,0.666
10000,mean,maximum_standardized_frac_recent,5000,selected_target,0.7,selected,100,67,0.67
10000,mean,maximum_standardized_frac_recent,10000,neutral_target,0.01,neutral,1000,11,0.011
10000,mean,maximum_standardized_frac_recent,10000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_standardized_frac_recent,10000,neutral_target,0.05,neutral,1000,50,0.05
10000,mean,maximum_standardized_frac_recent,10000,neutral_target,0.05,selected,100,3,0.03
10000,mean,maximum_standardized_frac_recent,10000,neutral_target,0.1,neutral,1000,97,0.097
10000,mean,maximum_standardized_frac_recent,10000,neutral_target,0.1,selected,100,12,0.12
10000,mean,maximum_standardized_frac_recent,10000,selected_target,0.7,neutral,1000,684,0.684
10000,mean,maximum_standardized_frac_recent,10000,selected_target,0.7,selected,100,69,0.69
10000,mean,maximum_standardized_frac_recent,20000,neutral_target,0.01,neutral,1000,10,0.01
10000,mean,maximum_standardized_frac_recent,20000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_standardized_frac_recent,20000,neutral_target,0.05,neutral,1000,59,0.059
10000,mean,maximum_standardized_frac_recent,20000,neutral_target,0.05,selected,100,4,0.04
10000,mean,maximum_standardized_frac_recent,20000,neutral_target,0.1,neutral,1000,104,0.104
10000,mean,maximum_standardized_frac_recent,20000,neutral_target,0.1,selected,100,7,0.07
10000,mean,maximum_standardized_frac_recent,20000,selected_target,0.7,neutral,1000,654,0.654
10000,mean,maximum_standardized_frac_recent,20000,selected_target,0.7,selected,100,68,0.68
10000,mean,maximum_standardized_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
10000,mean,maximum_standardized_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_standardized_frac_recent,30000,neutral_target,0.05,neutral,1000,53,0.053
10000,mean,maximum_standardized_frac_recent,30000,neutral_target,0.05,selected,100,5,0.05
10000,mean,maximum_standardized_frac_recent,30000,neutral_target,0.1,neutral,1000,95,0.095
10000,mean,maximum_standardized_frac_recent,30000,neutral_target,0.1,selected,100,9,0.09
10000,mean,maximum_standardized_frac_recent,30000,selected_target,0.7,neutral,1000,677,0.677
10000,mean,maximum_standardized_frac_recent,30000,selected_target,0.7,selected,100,66,0.66
10000,mean,maximum_standardized_frac_recent,40000,neutral_target,0.01,neutral,1000,10,0.01
10000,mean,maximum_standardized_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_standardized_frac_recent,40000,neutral_target,0.05,neutral,1000,48,0.048
10000,mean,maximum_standardized_frac_recent,40000,neutral_target,0.05,selected,100,6,0.06
10000,mean,maximum_standardized_frac_recent,40000,neutral_target,0.1,neutral,1000,97,0.097
10000,mean,maximum_standardized_frac_recent,40000,neutral_target,0.1,selected,100,8,0.08
10000,mean,maximum_standardized_frac_recent,40000,selected_target,0.7,neutral,1000,676,0.676
10000,mean,maximum_standardized_frac_recent,40000,selected_target,0.7,selected,100,67,0.67
10000,mean,maximum_standardized_frac_recent,50000,neutral_target,0.01,neutral,1000,11,0.011
10000,mean,maximum_standardized_frac_recent,50000,neutral_target,0.01,selected,100,0,0.0
10000,mean,maximum_standardized_frac_recent,50000,neutral_target,0.05,neutral,1000,51,0.051
10000,mean,maximum_standardized_frac_recent,50000,neutral_target,0.05,selected,100,4,0.04
10000,mean,maximum_standardized_frac_recent,50000,neutral_target,0.1,neutral,1000,97,0.097
10000,mean,maximum_standardized_frac_recent,50000,neutral_target,0.1,selected,100,7,0.07
10000,mean,maximum_standardized_frac_recent,50000,selected_target,0.7,neutral,1000,667,0.667
10000,mean,maximum_standardized_frac_recent,50000,selected_target,0.7,selected,100,68,0.68
10000,median,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,10,0.01
10000,median,maximum_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
10000,median,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,47,0.047
10000,median,maximum_frac_recent,5000,neutral_target,0.05,selected,100,3,0.03
10000,median,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,100,0.1
10000,median,maximum_frac_recent,5000,neutral_target,0.1,selected,100,13,0.13
10000,median,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,648,0.648
10000,median,maximum_frac_recent,5000,selected_target,0.7,selected,100,70,0.7
10000,median,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
10000,median,maximum_frac_recent,10000,neutral_target,0.01,selected,100,1,0.01
10000,median,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,58,0.058
10000,median,maximum_frac_recent,10000,neutral_target,0.05,selected,100,3,0.03
10000,median,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,99,0.099
10000,median,maximum_frac_recent,10000,neutral_target,0.1,selected,100,6,0.06
10000,median,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,692,0.692
10000,median,maximum_frac_recent,10000,selected_target,0.7,selected,100,71,0.71
10000,median,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,13,0.013
10000,median,maximum_frac_recent,20000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,53,0.053
10000,median,maximum_frac_recent,20000,neutral_target,0.05,selected,100,7,0.07
10000,median,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,97,0.097
10000,median,maximum_frac_recent,20000,neutral_target,0.1,selected,100,13,0.13
10000,median,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,655,0.655
10000,median,maximum_frac_recent,20000,selected_target,0.7,selected,100,70,0.7
10000,median,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,9,0.009
10000,median,maximum_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,52,0.052
10000,median,maximum_frac_recent,30000,neutral_target,0.05,selected,100,7,0.07
10000,median,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,97,0.097
10000,median,maximum_frac_recent,30000,neutral_target,0.1,selected,100,10,0.1
10000,median,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,673,0.673
10000,median,maximum_frac_recent,30000,selected_target,0.7,selected,100,67,0.67
10000,median,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,8,0.008
10000,median,maximum_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,45,0.045
10000,median,maximum_frac_recent,40000,neutral_target,0.05,selected,100,4,0.04
10000,median,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,102,0.102
10000,median,maximum_frac_recent,40000,neutral_target,0.1,selected,100,11,0.11
10000,median,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,663,0.663
10000,median,maximum_frac_recent,40000,selected_target,0.7,selected,100,70,0.7
10000,median,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,10,0.01
10000,median,maximum_frac_recent,50000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_frac_recent,50000,neutral_target,0.05,neutral,1000,42,0.042
10000,median,maximum_frac_recent,50000,neutral_target,0.05,selected,100,5,0.05
10000,median,maximum_frac_recent,50000,neutral_target,0.1,neutral,1000,95,0.095
10000,median,maximum_frac_recent,50000,neutral_target,0.1,selected,100,12,0.12
10000,median,maximum_frac_recent,50000,selected_target,0.7,neutral,1000,690,0.69
10000,median,maximum_frac_recent,50000,selected_target,0.7,selected,100,67,0.67
10000,median,maximum_standardized_frac_recent,5000,neutral_target,0.01,neutral,1000,12,0.012
10000,median,maximum_standardized_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
10000,median,maximum_standardized_frac_recent,5000,neutral_target,0.05,neutral,1000,57,0.057
10000,median,maximum_standardized_frac_recent,5000,neutral_target,0.05,selected,100,5,0.05
10000,median,maximum_standardized_frac_recent,5000,neutral_target,0.1,neutral,1000,105,0.105
10000,median,maximum_standardized_frac_recent,5000,neutral_target,0.1,selected,100,10,0.1
10000,median,maximum_standardized_frac_recent,5000,selected_target,0.7,neutral,1000,662,0.662
10000,median,maximum_standardized_frac_recent,5000,selected_target,0.7,selected,100,69,0.69
10000,median,maximum_standardized_frac_recent,10000,neutral_target,0.01,neutral,1000,12,0.012
10000,median,maximum_standardized_frac_recent,10000,neutral_target,0.01,selected,100,1,0.01
10000,median,maximum_standardized_frac_recent,10000,neutral_target,0.05,neutral,1000,55,0.055
10000,median,maximum_standardized_frac_recent,10000,neutral_target,0.05,selected,100,3,0.03
10000,median,maximum_standardized_frac_recent,10000,neutral_target,0.1,neutral,1000,93,0.093
10000,median,maximum_standardized_frac_recent,10000,neutral_target,0.1,selected,100,5,0.05
