haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,mean,maximum_frac_recent,5000,0,0.7,0.0075,400,400,80,50000
400,mean,maximum_frac_recent,10000,0,0.7,0.0431,400,400,80,50000
400,mean,maximum_frac_recent,20000,0,0.7,0.1907,400,400,80,50000
400,mean,maximum_frac_recent,30000,0,0.7,0.3583,400,400,80,50000
400,mean,maximum_frac_recent,40000,0,0.7,0.4974,400,400,80,50000
400,mean,maximum_frac_recent,50000,0,0.7,0.6134,400,400,80,50000
400,mean,maximum_standardized_frac_recent,5000,0,0.7,2.872000621683014,400,400,80,50000
400,mean,maximum_standardized_frac_recent,10000,0,0.7,3.863226435745843,400,400,80,50000
400,mean,maximum_standardized_frac_recent,20000,0,0.7,4.559392298951537,400,400,80,50000
400,mean,maximum_standardized_frac_recent,30000,0,0.7,4.869711636586853,400,400,80,50000
400,mean,maximum_standardized_frac_recent,40000,0,0.7,5.093566553342257,400,400,80,50000
400,mean,maximum_standardized_frac_recent,50000,0,0.7,5.031011238219081,400,400,80,50000
400,mean,maximum_frac_recent,5000,1,0.7,0.0075,400,400,80,50000
400,mean,maximum_frac_recent,10000,1,0.7,0.0454,400,400,80,50000
400,mean,maximum_frac_recent,20000,1,0.7,0.1913,400,400,80,50000
400,mean,maximum_frac_recent,30000,1,0.7,0.3664,400,400,80,50000
400,mean,maximum_frac_recent,40000,1,0.7,0.5061,400,400,80,50000
400,mean,maximum_frac_recent,50000,1,0.7,0.6073,400,400,80,50000
400,mean,maximum_standardized_frac_recent,5000,1,0.7,2.8426626100352084,400,400,80,50000
400,mean,maximum_standardized_frac_recent,10000,1,0.7,4.165413902452497,400,400,80,50000
400,mean,maximum_standardized_frac_recent,20000,1,0.7,4.6141461664660826,400,400,80,50000
400,mean,maximum_standardized_frac_recent,30000,1,0.7,4.881176052418897,400,400,80,50000
400,mean,maximum_standardized_frac_recent,40000,1,0.7,4.960198765744153,400,400,80,50000
400,mean,maximum_standardized_frac_recent,50000,1,0.7,4.94056649113537,400,400,80,50000
400,mean,maximum_frac_recent,5000,2,0.7,0.0075,400,400,80,50000
400,mean,maximum_frac_recent,10000,2,0.7,0.0417,400,400,80,50000
400,mean,maximum_frac_recent,20000,2,0.7,0.1896,400,400,80,50000
400,mean,maximum_frac_recent,30000,2,0.7,0.3633,400,400,80,50000
400,mean,maximum_frac_recent,40000,2,0.7,0.499,400,400,80,50000
400,mean,maximum_frac_recent,50000,2,0.7,0.6165,400,400,80,50000
400,mean,maximum_standardized_frac_recent,5000,2,0.7,2.8236089613079898,400,400,80,50000
400,mean,maximum_standardized_frac_recent,10000,2,0.7,3.379287148608725,400,400,80,50000
400,mean,maximum_standardized_frac_recent,20000,2,0.7,4.562348585045021,400,400,80,50000
400,mean,maximum_standardized_frac_recent,30000,2,0.7,5.049283595994412,400,400,80,50000
400,mean,maximum_standardized_frac_recent,40000,2,0.7,4.986814254746186,400,400,80,50000
400,mean,maximum_standardized_frac_recent,50000,2,0.7,4.946762937461167,400,400,80,50000
400,mean,maximum_frac_recent,5000,3,0.7,0.0075,400,400,80,50000
400,mean,maximum_frac_recent,10000,3,0.7,0.0431,400,400,80,50000
400,mean,maximum_frac_recent,20000,3,0.7,0.1939,400,400,80,50000
400,mean,maximum_frac_recent,30000,3,0.7,0.367,400,400,80,50000
400,mean,maximum_frac_recent,40000,3,0.7,0.5099,400,400,80,50000
400,mean,maximum_frac_recent,50000,3,0.7,0.6165,400,400,80,50000
400,mean,maximum_standardized_frac_recent,5000,3,0.7,2.893188279855823,400,400,80,50000
400,mean,maximum_standardized_frac_recent,10000,3,0.7,3.732418468946284,400,400,80,50000
400,mean,maximum_standardized_frac_recent,20000,3,0.7,4.857958297356326,400,400,80,50000
400,mean,maximum_standardized_frac_recent,30000,3,0.7,5.1552584573818265,400,400,80,50000
400,mean,maximum_standardized_frac_recent,40000,3,0.7,5.050020091211151,400,400,80,50000
400,mean,maximum_standardized_frac_recent,50000,3,0.7,5.038674216137941,400,400,80,50000
400,mean,maximum_frac_recent,5000,4,0.7,0.0075,400,400,80,50000
400,mean,maximum_frac_recent,10000,4,0.7,0.043,400,400,80,50000
400,mean,maximum_frac_recent,20000,4,0.7,0.1914,400,400,80,50000
400,mean,maximum_frac_recent,30000,4,0.7,0.3641,400,400,80,50000
400,mean,maximum_frac_recent,40000,4,0.7,0.4974,400,400,80,50000
400,mean,maximum_frac_recent,50000,4,0.7,0.6059,400,400,80,50000
