family,role,s,focal_choice_years,selection_onset_years,replicates,calibration_family,donor_Ne,split_years,pulse_years,pulse_fraction,Q
I50,null,0.0,50000,0,1000,I50,3600,500000,50000,0.02,1
I50,neutral_target,0.0,50000,0,100,I50,3600,500000,50000,0.02,1
I50,selected,0.001,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.002,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.003,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.004,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.005,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.006,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.007,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.008,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.009,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.01,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.02,50000,50000,100,I50,3600,500000,50000,0.02,1
I50,selected,0.03,50000,50000,100,I50,3600,500000,50000,0.02,1
I10,null,0.0,10000,0,1000,I10,3600,500000,50000,0.02,1
I10,neutral_target,0.0,10000,0,100,I10,3600,500000,50000,0.02,1
I10,selected,0.001,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.002,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.003,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.004,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.005,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.006,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.007,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.008,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.009,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.01,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.02,10000,10000,100,I10,3600,500000,50000,0.02,1
I10,selected,0.03,10000,10000,100,I10,3600,500000,50000,0.02,1
