unit_id	replicate_index	seed	panel_seed	scenario	selection_coefficient	mutation_origin_population	mutation_age_generations	pulse_generations	present_conditioning	pool_frequency_conditioning	terminal_af_target_or_band_conditioning	sample_detection_conditioning	pool_diploids	sample_diploids
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	1839679232	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	1411883774	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	67561364	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep003	3	1129284164	274876734	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep004	4	620790851	841156237	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep005	5	1763280095	2088557599	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep006	6	1297002618	483465079	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep007	7	1460108722	542083046	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep008	8	1865004246	1795665180	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep009	9	277435855	87876277	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep010	10	1179498635	592485645	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep011	11	1727742856	730728398	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep012	12	1622789100	845393002	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep013	13	1149305007	1925153885	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep014	14	462601412	800472956	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep015	15	1871899435	725446567	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep016	16	526996624	1719780199	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep017	17	1174350856	303687755	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep018	18	1563120563	1885691605	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep019	19	37168646	1575460241	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep020	20	762308789	563587506	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep021	21	841366823	1343431342	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep022	22	31898694	1349648554	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep023	23	1328895823	1757668744	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep024	24	1834161787	2035614313	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep025	25	429935074	1231662401	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep026	26	1728847987	909772670	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep027	27	1656936820	2125895394	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep028	28	549093476	1106557282	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep029	29	2044716059	1655245711	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	312707659	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	548802412	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	641274703	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	442884598	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	176351576	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	486875277	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	1967764241	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	1135977337	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	227817617	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	1380915025	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	754553756	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	602625054	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	1208984835	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	242164990	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
