unit_id	replicate_index	seed	panel_seed	scenario	selection_coefficient	mutation_origin_population	mutation_age_generations	pulse_generations	present_conditioning	pool_frequency_conditioning	terminal_af_target_or_band_conditioning	sample_detection_conditioning	pool_diploids	sample_diploids	status	error	decode_completion_sha256
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	1839679232	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		1aca55056cbf49898fd5f82ff2a1f076229d9a203ba6d0ee25c0757a29600161
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	1411883774	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		b605dacca4668a63e3390cae9346a6d1445f294f177038911e7f64e398ecc5a3
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	67561364	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		f869eb2de3ad543fa259fc6e419097606262dfc7f49f7547d098a9525b5a0642
ancient_eurasia_single_origin_survival__neutral__rep003	3	1129284164	274876734	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		a109dc9877938154d6b91d1403ca74e710188a428e33f7f2602c12d1b16c1a25
ancient_eurasia_single_origin_survival__neutral__rep004	4	620790851	841156237	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		a4de7a9352c3ca0dd83f6545c8fae5821222a928908833885e5285b6bad06273
ancient_eurasia_single_origin_survival__neutral__rep005	5	1763280095	2088557599	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		3322b651fd0f01ea7c5c4e0d3c20f1eaee555fa25c780703c2f0924e6b2008f5
ancient_eurasia_single_origin_survival__neutral__rep006	6	1297002618	483465079	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		a9dccfc1652276d7edf60419691d09ed28fc272b2e1807d3af1aee9af077acb7
ancient_eurasia_single_origin_survival__neutral__rep007	7	1460108722	542083046	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		79bd583374eff05c36b41f55622eba389c3133e54e8a4565919c7b3db60babab
ancient_eurasia_single_origin_survival__neutral__rep008	8	1865004246	1795665180	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		b95e2bbafdd42d6e7c5590f5f41e3e55d354bd194041d72c8029ebb6e6a36338
ancient_eurasia_single_origin_survival__neutral__rep009	9	277435855	87876277	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		d7c3e0f428b51878cd80160ddf1265eab78deba4cb6ac4c25be5ac0a6422bb91
ancient_eurasia_single_origin_survival__neutral__rep010	10	1179498635	592485645	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		65e3caa6684edc007684333778807a9d2aa0c6e73a08e435bd6c2e6de74f5fd0
ancient_eurasia_single_origin_survival__neutral__rep011	11	1727742856	730728398	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		2fc9e66581f6f110c08244d42b65667c884e65ff27906af19336bafb32fbe57f
ancient_eurasia_single_origin_survival__neutral__rep012	12	1622789100	845393002	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		d9ea72007179be927b6a2c9b6b8e413b1ce01afb1f55e0feb852c7417fa8779c
ancient_eurasia_single_origin_survival__neutral__rep013	13	1149305007	1925153885	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		293283638132284ac2216b3a79a846da0da557b44f16aba19e0504837258a3e5
ancient_eurasia_single_origin_survival__neutral__rep014	14	462601412	800472956	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		87193c458dbfd4ac38cf91970210604b4325301e82dbf32b58a2ea44e997129e
ancient_eurasia_single_origin_survival__neutral__rep015	15	1871899435	725446567	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		309b43fa71d264fc0d492be6557ad3ba922bbe3a69a07179957c8d6550ac099f
ancient_eurasia_single_origin_survival__neutral__rep016	16	526996624	1719780199	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		fc470ef894b33ec2a09ee6e41911848cf03f8d242650cd306ab3f7a5abe28f4a
ancient_eurasia_single_origin_survival__neutral__rep017	17	1174350856	303687755	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		c6a8a5d80a65c9dc28558892d6e0d3e54b9dbecf647ac3ac7042f1821a689750
ancient_eurasia_single_origin_survival__neutral__rep018	18	1563120563	1885691605	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		a5c8aaddd1de5e99227f1ce3c5586c2860312e0f04e1115ae496b1c93394816f
ancient_eurasia_single_origin_survival__neutral__rep019	19	37168646	1575460241	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		476af229e2b6a1efb3d44171e7663e5fae028462420904f7079618ab394c7c3d
ancient_eurasia_single_origin_survival__neutral__rep020	20	762308789	563587506	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		fa19464a27a729329887b27332ea9dd51750352b3bab8afa98a16428f21feebc
ancient_eurasia_single_origin_survival__neutral__rep021	21	841366823	1343431342	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		bc690f5db40abec17d674fcac66be07f2696fe318227d006d99df718dad04521
ancient_eurasia_single_origin_survival__neutral__rep022	22	31898694	1349648554	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		0aa0f3874c82a040e8f48433be80b809580d85bf230f4620b5f6d5d9a0db99a0
ancient_eurasia_single_origin_survival__neutral__rep023	23	1328895823	1757668744	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		f7c05880de110046af1546c3cf2d5715f45ca6349285147c6bffb3509e782320
ancient_eurasia_single_origin_survival__neutral__rep024	24	1834161787	2035614313	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		7b748e5221d42bb1326e54577dc5fb93bf063bbd26566bd3a71cc75542949c1b
ancient_eurasia_single_origin_survival__neutral__rep025	25	429935074	1231662401	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		9cdbce21fa9ad9f61195947f9ae5f71afe7acc0458b797d55e44b957e3d9fb1f
ancient_eurasia_single_origin_survival__neutral__rep026	26	1728847987	909772670	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		4741ef448f1002b4c669e7f6617e4e4f21ce7418283bceb5b09740d73e882d79
