unit_id	replicate_index	seed	simulation_completion_sha256	final_census_alt_count	final_census_total_count	final_census_af	final_census_segregating	pool_diploids	pool_alt_count	pool_total_count	pool_af	pool_detected	pool_fixed	sample_diploids	sample_alt_count	sample_total_count	sample_af	sample_detected	sample_fixed	panel_seed
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	6fc56354bde7fbd5cc141e9ce641a12eda4a6a6e2ef40d5c33764b212d04fe16	310	2520	0.123015873016	True	500	121	1000	0.121	True	False	100	23	200	0.115	True	False	1839679232
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	b18aa845fd2decd2e4a8d556efe2c65af5a776c1da6d778b64644d6ea65098eb	883	2520	0.350396825397	True	500	347	1000	0.347	True	False	100	60	200	0.3	True	False	1411883774
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	60b9d6aa34ffd2320183f8afc5da4cd6d71555b4cbe248405113a01f845261c8	205	2520	0.0813492063492	True	500	82	1000	0.082	True	False	100	18	200	0.09	True	False	67561364
ancient_eurasia_single_origin_survival__neutral__rep003	3	1129284164	13a110fe91c6068772bf3d8b536e1d4c466208b180e80e762ddf682a518f8f42	383	2520	0.151984126984	True	500	149	1000	0.149	True	False	100	24	200	0.12	True	False	274876734
ancient_eurasia_single_origin_survival__neutral__rep004	4	620790851	d4900605f8ae1ea775b72d0e2dd1d689c2657a220dabd2f8884ff42499729f88	241	2520	0.0956349206349	True	500	101	1000	0.101	True	False	100	19	200	0.095	True	False	841156237
ancient_eurasia_single_origin_survival__neutral__rep005	5	1763280095	7b0c82298cd0269f2e8a186a033454b7aa9d322a42322ec351708e8bc662b933	146	2520	0.0579365079365	True	500	59	1000	0.059	True	False	100	11	200	0.055	True	False	2088557599
ancient_eurasia_single_origin_survival__neutral__rep006	6	1297002618	0e348fae4047f7922a9c70ca4f97226cb91d6e71f54a16cba691baf42d841e3b	18	2520	0.00714285714286	True	500	7	1000	0.007	True	False	100	3	200	0.015	True	False	483465079
ancient_eurasia_single_origin_survival__neutral__rep007	7	1460108722	20b9678043d331fd04c6f42f1b42f899241535b1160d716bab3815bc814bf220	482	2520	0.19126984127	True	500	197	1000	0.197	True	False	100	47	200	0.235	True	False	542083046
ancient_eurasia_single_origin_survival__neutral__rep008	8	1865004246	4f13766c257db8957e1bdfa24d9012f97ca962e3c0faabbdfd4a38c86d0471e5	278	2520	0.110317460317	True	500	115	1000	0.115	True	False	100	19	200	0.095	True	False	1795665180
ancient_eurasia_single_origin_survival__neutral__rep009	9	277435855	b3897feb55bbb5af285a2edcdbfb9135c2cae135c30daf0d42c2d4d4f5a2a174	668	2520	0.265079365079	True	500	268	1000	0.268	True	False	100	55	200	0.275	True	False	87876277
ancient_eurasia_single_origin_survival__neutral__rep010	10	1179498635	1116d96a04776bac8e2a4249e7ebf7dda9e294166287ce8912d9ff71c053da14	557	2520	0.221031746032	True	500	226	1000	0.226	True	False	100	43	200	0.215	True	False	592485645
ancient_eurasia_single_origin_survival__neutral__rep011	11	1727742856	979a2bf038acd9fdc2bd922621b9a5e887251a09a44f7ca5b80ea7f610d6bd9c	98	2520	0.0388888888889	True	500	34	1000	0.034	True	False	100	4	200	0.02	True	False	730728398
ancient_eurasia_single_origin_survival__neutral__rep012	12	1622789100	9b0cc23b87eec076fecccae2211571c3fd6fcd87b051997739b73bc42be07b72	1146	2520	0.454761904762	True	500	455	1000	0.455	True	False	100	91	200	0.455	True	False	845393002
ancient_eurasia_single_origin_survival__neutral__rep013	13	1149305007	227b7f33852b4e908328c4f891f317d93d77954911c2902a44c97ed7ef053a8a	98	2520	0.0388888888889	True	500	37	1000	0.037	True	False	100	9	200	0.045	True	False	1925153885
ancient_eurasia_single_origin_survival__neutral__rep014	14	462601412	ed8b272a7d55e7404009e593c2b1579fbb5b54f81c422e5a7c697f9a86efa853	95	2520	0.0376984126984	True	500	38	1000	0.038	True	False	100	8	200	0.04	True	False	800472956
ancient_eurasia_single_origin_survival__neutral__rep015	15	1871899435	edf3926fc4a93b471cfe4180eac78a72a1e7c6730fb0ffed6d0d0bcb2479dd87	46	2520	0.018253968254	True	500	19	1000	0.019	True	False	100	5	200	0.025	True	False	725446567
ancient_eurasia_single_origin_survival__neutral__rep016	16	526996624	6d7ed17c1ac10a42a50460842e0d1100f7d82d02c34670ca91a1fd49f859692f	168	2520	0.0666666666667	True	500	52	1000	0.052	True	False	100	6	200	0.03	True	False	1719780199
ancient_eurasia_single_origin_survival__neutral__rep017	17	1174350856	4bd8b2de4db804d83b86cc75af0109b7e8d80e605ddbf7ccaf56fc3c0d2b7a63	215	2520	0.0853174603175	True	500	77	1000	0.077	True	False	100	17	200	0.085	True	False	303687755
ancient_eurasia_single_origin_survival__neutral__rep018	18	1563120563	e3e9ac9f327ce665796723bc23cf9e4f0d83fb217903c59e8a82fc49dffd9392	104	2520	0.0412698412698	True	500	46	1000	0.046	True	False	100	9	200	0.045	True	False	1885691605
