unit_id	replicate_index	seed	source	threshold_years	overall_focal_p_tmrca_lt_threshold	final_pool_alt_count	final_pool_total_count	final_pool_af	sample_alt_count	sample_total_count	sample_af	sample_detected
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	1000	0.01434071354	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	4500	0.0391370936	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	10000	0.05537233573	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	20000	0.07084243555	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	30000	0.08372097904	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	40000	0.09529494319	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep000	0	239673673	gamma_smc	50000	0.1055206734	121	1000	0.121	23	200	0.115	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	1000	0.0121374521	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	4500	0.03769911358	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	10000	0.06019562068	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	20000	0.08648764055	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	30000	0.1067518567	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	40000	0.1236836959	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep001	1	458058410	gamma_smc	50000	0.1382267453	347	1000	0.347	60	200	0.3	True
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	gamma_smc	1000	0.004060322447	82	1000	0.082	18	200	0.09	True
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	gamma_smc	4500	0.01799118051	82	1000	0.082	18	200	0.09	True
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	gamma_smc	10000	0.03614066035	82	1000	0.082	18	200	0.09	True
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	gamma_smc	20000	0.06300137199	82	1000	0.082	18	200	0.09	True
ancient_eurasia_single_origin_survival__neutral__rep002	2	1751940351	gamma_smc	30000	0.08676582694	82	1000	0.082	18	200	0.09	True
