calibration_id	phase	processing_mode	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	candidate_pool_diploids	sample_diploids	exact_sample_alt_count	draw_index	seed	panel_seed	slim_scaling_factor	slim_burn_in	sequence_length_bp	focal_position_bp	origin_age_generations	origin_contract_sha256	event_contract_sha256	cell_contract_sha256	slim_sha256	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	pool_band_and_panel_hit	sample_alt_count	sample_af	n_hom_ref	n_heterozygous	n_hom_alt	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	elapsed_seconds	trajectory_sha256	panel_tree_sha256	panel_manifest_sha256	error
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw000	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	0	743035104	1077673966	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	82	0.082	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	299.04801425999995	05ae1169d305782c5ad805df79cdbd3da46621a3f5a051108012e7f625fde502	fdcf098167e9ee7c9a7d78c6b95ba200816448e5692b401f9df5ac83d29a0ede	f6dacf3ea1ae7c162876554abf3a2fd593ebbf2f8da61a7232fe218fc5ca3451	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw001	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	1	1281725940	1530413333	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	122	0.122	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	725.412743033	025830535369e65de48912a89d10866aaadaae59a207a42f88cd1eda4dbf9c21	c6cb06e43eec2a8e08133b5fc426cfe68e514688fc24bb8f2060878b40e54238	c3437abec0d24c58164fed16dff6367de88a5f764f7fc2f05171a13c9bd9d6cd	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw002	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	2	807248938	567482341	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	110	0.11	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	120.37919063599998	8361aaa868e4a278d99a23026b95cfd69f8450fc988bffccca53958accd8f7c7	1aeb6657db29796da131e93294ca24560eef79307cbc68bb7ac7a4ed0eaa7f10	fa465248cdfb6024c76c3b24c242f7620cffd6bd71e5d08c575d85386c5bd3ea	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw003	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	3	2062488914	1067650536	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	116	0.116	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	409.31044988400004	7ee133138d6d9f53a4bb389bf3c21a074f0f3dd1606ab2cc9ef82de1efda0b3b	db553374cec38d7ed0b41b240ab586d11d28dd778a8cd46efe77b4442a82f168	99d5bbaf979c4d0cd0fd0bfba7b78945ffbfe573fb2674566e0ee7e1fd6c294d	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw004	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	4	956111804	1833871398	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	82	0.082	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	110.17441965599983	77f0c2d8bcc1a0e30c6ab8e0a64683d17630a4846a545b740259da8d1170f67c	1eed1f3080c83390023ba2ee74c01f8bddff9bfa00fa9087cb5e7c8f17cf2c45	804b9c0fc763b05d2908c83bebfe973078ae3e0a741625b320ede646dedaba8f	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw005	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	5	1553256787	1931535965	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	85	0.085	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	190.06896750300007	c518ab4caef117a0533f71a471d1f8d407bba31fbe43d8ec8040753008f2c058	535d10ac587cacc894fa716a72d24437857c1fa3afbc6386e78be986bb594de4	9b203c5b259fb61d1b2193b6ac7d00439135d975bcb76d354c5053ce8547b63f	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw006	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	6	530258211	1828251114	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	90	0.09	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	185.25816390900013	2d508e62002bc5bd2c8033b0e7365abe0f75376b864e489d8e02a29643691928	55133f133ee0d12be5545eacfe1c99b51526b22111649db231d5cf394e633039	2611008069918ae95d51401ee4b3191e47f7f06b88a113e539c7d6a73b7a4a30	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw007	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	7	1004236345	2012763137	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	108	0.108	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	434.8516345390001	60f6cafbe62dc0fcf02b6ea805ba55296d8099fb501dc227ba1c04b85a0b6156	8ffc88173be0054987f27bd67636b09e0263b0ccf0397773223291f81f91bc45	1f5c41c24087a0d5e9384dbd91f277750e2265ca2703fa9b370d4e89641e1f00	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw008	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	8	1412005527	1050256159	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	123	0.123	True	True	True	20.0	0.1	83.0	14.0	3.0	True	True	430.2958992470001	40e88d0c94af77f61172746a4f7329c2663d7407bbfe29d5e5c16a814fb6fb39	966d32b4fb02412367c3c9015d5061d93caa3e2a13a1b95a5f43172e422c69ee	8dfcee985381cf2bf5e40852851892edf3a3005ae4213efdd2606a0e997ef164	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw009	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	9	2046032530	1691844106	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	125	0.125	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	1029.25835946	2903c887737d6f7bae0a94aede2898b58ba6240cc330d28f69be676ec49f6110	cab36ddb3b398cae0d3b934e4ad376bb4ad5fd37f8900924aec2516234732087	45b61d3e77500306a3c974621951b4200fe91ce9d5f8e8daba6a7c5cb294c08e	
