calibration_id	phase	processing_mode	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	candidate_pool_diploids	sample_diploids	exact_sample_alt_count	draw_index	seed	panel_seed	slim_scaling_factor	slim_burn_in	sequence_length_bp	focal_position_bp	origin_age_generations	origin_contract_sha256	event_contract_sha256	cell_contract_sha256	slim_sha256
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw000	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	0	663040401	1053271594	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw001	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	1	982568382	247827460	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw002	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	2	888874	936510909	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw003	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	3	1796218986	334485443	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw004	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	4	1726705776	67226700	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw005	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	5	1770977150	643796375	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw006	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	6	2067886026	193754741	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw007	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	7	168374476	1390157497	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw008	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	8	1173997366	2052989141	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw009	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	9	1378539739	409851711	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw010	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	10	684590961	1173863984	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw011	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	11	532047509	410580513	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__sensitivity10mb20__s0.010000__af0.100000__q5__draw012	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.01	0.1	0.07500000000000001	0.125	500	100	20	12	1916316502	657789708	5.0	0.1	10000000	5000000	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
