seed	source_group	source_role	source_record	original_status	prearchive_v2_exclusion_status
1768686	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw018	complete;evaluable=True	omitted
3062832	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw001	complete	omitted
26816574	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw007	complete	omitted
30159325	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw008	complete;evaluable=True	omitted
46865119	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw001	complete;evaluable=True	omitted
75003572	obsolete_selected_rep008	simulation_seed	attempt=71	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
75438093	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw001	complete	omitted
77574539	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw003	complete	omitted
91099300	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw004	complete	omitted
109057931	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw008	complete;evaluable=True	omitted
112286590	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw001;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw001	complete;complete	omitted
119353951	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw003	complete	omitted
133310697	obsolete_selected_rep008	simulation_seed	attempt=63	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
133757421	obsolete_selected_rep008	simulation_seed	attempt=65	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
144005153	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw004	complete	omitted
147483710	obsolete_selected_rep008	simulation_seed	attempt=84	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
184363379	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw002	complete;evaluable=True	omitted
185190042	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw004	complete;evaluable=True	omitted
196664447	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw002	complete	omitted
