tick,fitness_p3_mean,fitness_p3_sd
1,1.0,0.0
101,1.0,0.0
201,1.0,0.0
301,1.0,0.0
401,1.0,0.0
501,1.0,0.0
601,1.0,0.0
701,1.0,0.0
801,1.0,0.0
901,1.0,0.0
1001,1.0,0.0
1101,1.0,0.0
1201,1.0,0.0
1301,1.0,0.0
1401,1.0,0.0
1501,1.0,0.0
1601,1.0,0.0
1701,1.0,0.0
1801,1.0,0.0
1901,1.0,0.0
2001,1.0,0.0
2101,1.0,0.0
2201,1.0,0.0
2301,1.0,0.0
2401,1.0,0.0
2501,1.0,0.0
2601,1.0,0.0
2701,1.0,0.0
2801,1.0,0.0
2901,1.0,0.0
3001,1.0,0.0
3101,1.0,0.0
3201,1.0,0.0
3301,1.0,0.0
3401,1.0,0.0
3501,1.0,0.0
3601,1.0,0.0
3701,1.0,0.0
3801,1.0,0.0
3901,1.0,0.0
4001,1.0,0.0
4101,1.0,0.0
4201,1.0,0.0
4301,1.0,0.0
4401,1.0,0.0
4501,1.0,0.0
4601,1.0,0.0
4701,1.0,0.0
4801,1.0,0.0
4901,1.0,0.0
5001,1.0,0.0
5101,1.0,0.0
5201,1.0,0.0
5301,1.0,0.0
5401,1.0,0.0
5501,1.00125534188,0.00376113241106
5601,1.0,0.0
5701,1.0,0.0
5801,1.0,0.0
5901,1.0,0.0
